date,country,topic,mudando a,huir de Venezuela,huyendo de Venezuela,como salir de Venezuela,como irse de Venezuela,lugar seguro en Brasil,lugar seguro en Colombia,lugar seguro en Guayana,lugares seguros en Brasil,lugares seguros en Colombia,lugares seguros en Guayana,lugar para quedarse en Brasil,lugar para quedarse en Colombia,lugar para quedarse en Guayana,lugares para quedarse en Brasil,lugares para quedarse en Colombia,lugares para quedarse en Guayana,refugio seguro en Brasil,refugio seguro en Colombia,refugio seguro en Guayana,refugiado,refugiado de Venezuela,refugiada,refugiada de Venezuela,asilo,asilo en Brasil,asilo en Colombia,asilo en Guayana,emergencia en Venezuela,yéndose de Venezuela,saliendo de Venezuela,camino seguro de Venezuela,camino seguro a Brasil,camino seguro a Colombia,camino seguro a Guayana,ruta segura de Venezuela,ruta segura a Brasil,ruta segura a Colombia,ruta segura a Guayana,tener que salir de Venezuela,tengo que salir de Venezuela,salvoconducto,salida,salida de Venezuela,ayúdame a salir de Venezuela,necesito ayuda para salir de Venezuela,como salir mañana,tengo que irme de Venezuela
2019-02-01,VEN,general,0,0,0,27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,11.0,0.0,0.0,0.0,0.0
2019-03-01,VEN,general,0,0,0,44,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,73.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,68.0,6.0,0.0,0.0,0.0,0.0
2019-04-01,VEN,general,0,0,0,43,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,76.0,8.0,0.0,0.0,0.0,0.0
2019-05-01,VEN,general,0,0,0,0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,3.0,0.0,72.0,0.0,0.0,0.0,24.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,77.0,10.0,0.0,0.0,0.0,0.0
2019-06-01,VEN,general,0,0,0,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,90.0,0.0,8.0,0.0,22.0,0.0,5.787234042553191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,67.0,9.0,0.0,0.0,0.0,0.0
2019-07-01,VEN,general,0,0,0,87,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,9.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,69.0,5.0,0.0,0.0,0.0,0.0
2019-08-01,VEN,general,0,0,0,25,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,3.0,0.0,62.0,0.0,4.0,0.0,10.0,0.0,7.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,64.0,6.0,0.0,0.0,0.0,0.0
2019-09-01,VEN,general,0,0,0,0,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,57.0,0.0,7.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,62.0,3.0,0.0,0.0,0.0,0.0
2019-10-01,VEN,general,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,84.0,5.0,0.0,0.0,0.0,0.0
2019-11-01,VEN,general,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,0.0,0.0,90.0,0.0,6.666666666666666,0.0,16.0,0.0,4.180790960451977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,72.0,4.0,0.0,0.0,0.0,0.0
