date,country,topic,vivienda,viviendas,vivienda en Brasil,vivienda en Colombia,vivienda en Guayana,viviendas en Brasil,viviendas en Colombia,viviendas en Guayana,alojamiento en Brasil,alojamiento en Colombia,alojamiento en Guayana,ruta a Brasil,ruta a Colombia,ruta a Guayana,camino a Brasil,camino a Colombia,camino a Guayana,zona segura en Brasil,zona segura en Colombia,zona segura en Guayana,región segura en,frontera con Brasil,frontera con Colombia,frontera con Guayana,cruce,cruce de fronteras abiertas,fronteras abiertas,cruce de fronterizo más cercano,cruce seguro de fronteras,zonas seguras,regiones seguras,hogares en Brasil,hogares en Colombia,hogares en Guayana
2019-09-01,VEN,geography,39,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,29.0,0.0,19.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,VEN,geography,44,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,2.0,42.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
2019-11-01,VEN,geography,39,14,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,49.0,0.0,30.0,0.0,2.793103448275862,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,VEN,geography,22,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,VEN,geography,32,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,21.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,VEN,geography,37,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,VEN,geography,26,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,37.0,4.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,VEN,geography,31,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,26.0,3.0,27.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0
2020-05-01,VEN,geography,45,19,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,1.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,VEN,geography,31,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,13.0,2.0,31.0,0.0,1.9090909090909092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,VEN,geography,27,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,28.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0
2020-08-01,VEN,geography,21,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,15.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,VEN,geography,24,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,28.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,VEN,geography,43,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,0.0,34.0,0.0,1.9024390243902438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,VEN,geography,44,18,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,40.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,VEN,geography,19,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,0.0,26.0,0.0,2.9189189189189193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,VEN,geography,33,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.0,2.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,VEN,geography,34,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,22.0,5.0,62.0,0.0,1.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,VEN,geography,32,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,32.0,4.0,51.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0
2021-04-01,VEN,geography,31,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,40.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0
2021-05-01,VEN,geography,33,8,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,22.0,0.0,44.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2021-06-01,VEN,geography,32,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,18.0,2.0,32.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,VEN,geography,31,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,0.0,31.0,0.0,2.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,VEN,geography,27,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,2.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
