date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان
2020-08-01,YE,travel,11,0,0,17,0,0,0,48,0,0,0,54,48,0,0,0,33,0,42,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,YE,travel,30,0,0,0,0,0,0,47,0,0,0,56,36,0,0,0,0,0,59,0,0,64,15,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,YE,travel,15,0,0,11,0,0,5,30,0,0,0,45,27,0,0,0,23,0,35,0,0,78,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,YE,travel,0,0,0,14,0,0,14,48,0,0,0,63,50,0,0,0,0,0,55,0,0,92,16,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,YE,travel,0,0,0,11,0,0,0,48,0,0,0,45,34,0,0,0,0,0,41,0,0,94,8,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,YE,travel,0,0,0,12,0,0,0,42,7,0,4,31,38,0,0,9,9,0,22,0,6,97,18,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,YE,travel,0,0,0,0,0,0,7,43,12,0,6,30,29,0,0,14,13,0,54,0,9,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,YE,travel,20,0,0,34,0,0,9,32,5,0,3,30,46,0,0,6,13,0,38,0,4,59,18,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,YE,travel,0,0,0,30,0,0,8,41,6,0,3,23,63,0,0,8,7,0,26,0,5,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,YE,travel,0,0,0,13,0,0,0,37,10,0,5,40,42,0,0,12,0,0,26,0,7,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,YE,travel,0,0,0,22,0,0,0,48,0,0,0,36,30,0,0,0,59,0,34,0,0,70,6,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,YE,travel,0,0,0,0,0,0,0,27,5,0,3,41,52,0,0,6,24,0,0,0,4,64,10,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,YE,travel,0,0,0,0,0,0,0,38,0,0,0,39,32,0,0,0,11,0,31,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,YE,travel,0,0,0,47,0,0,0,14,0,0,0,47,36,0,0,0,25,0,29,0,0,59,7,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,YE,travel,0,0,0,22,0,0,0,37,0,0,0,52,53,0,0,0,16,0,40,0,0,65,4,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,YE,travel,0,0,0,21,0,0,0,41,6,0,3,40,47,0,0,7,17,0,49,0,5,49,14,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,YE,travel,0,0,0,13,0,0,0,18,0,0,0,32,34,0,0,0,0,0,40,0,0,51,5,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-01-01,YE,travel,19,0,0,36,0,0,10,66,9,0,5,26,48,0,0,10,12,0,42,0,7,58,11,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,YE,travel,0,0,0,22,0,0,4,76,9,0,5,34,48,0,0,11,22,0,45,0,7,62,5,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,YE,travel,0,0,0,41,0,0,0,100,0,0,0,44,49,0,0,0,11,0,65,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-04-01,YE,travel,12,0,0,27,0,0,0,33,14,0,8,22,100,0,0,16,18,0,89,0,10,41,7,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,YE,travel,19,0,0,0,0,0,0,41,9,0,5,48,48,0,0,10,23,0,42,0,7,36,10,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,YE,travel,0,0,0,0,0,0,0,47,4,0,2,43,42,0,0,5,5,0,63,0,3,67,20,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-01,YE,travel,0,0,0,51,0,0,19,49,0,0,0,38,46,0,0,0,34,0,53,0,0,68,13,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,YE,travel,0,0,0,0,0,0,0,44,0,0,0,35,49,0,0,0,17,0,76,0,0,67,17,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,YE,travel,0,0,0,44,0,0,0,48,7,0,4,27,43,0,0,8,43,0,50,0,5,54,16,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-10-01,YE,travel,10,0,0,34,0,0,0,42,0,0,0,37,62,0,0,0,33,0,66,0,0,69,8,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,YE,travel,13,0,0,29,0,0,0,34,0,0,0,37,50,0,0,0,61,0,35,0,0,51,9,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,YE,travel,0,0,0,28,0,0,0,42,4,0,2,40,56,0,0,5,45,0,46,0,3,45,8,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-01-01,YE,travel,0,0,0,16,0,0,0,46,4,0,2,22,57,0,0,5,46,0,51,0,3,57,15,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,YE,travel,0,0,0,0,0,0,6,63,8,0,4,18,67,0,0,9,49,0,58,0,6,39,12,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-03-01,YE,travel,0,0,0,0,0,0,0,36,8,0,4,12,67,0,0,9,39,0,100,0,6,45,17,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-04-01,YE,travel,0,0,0,0,0,0,0,55,0,0,0,21,90,0,0,0,34,0,48,0,0,62,5,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,YE,travel,13,0,0,35,0,0,7,57,9,0,5,19,55,0,0,11,24,0,56,0,7,47,14,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0
