date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2020-11-01,IQ,travel,25,0,0,80,0,0,2,31,4,0,1,13,17,0,0,6,23,0,36,0,3,76,11,0,0,75,0,0,0,0,0,0,0,0,0
2020-12-01,IQ,travel,55,0,0,34,0,0,0,31,5,0,1,14,15,0,0,7,14,0,23,0,3,75,9,0,0,64,0,0,0,0,0,0,0,0,0
2021-01-01,IQ,travel,0,0,0,62,0,0,2,24,2,0,0,13,17,0,0,3,19,0,25,0,1,75,7,0,0,46,0,0,0,0,0,0,0,0,0
2021-02-01,IQ,travel,0,0,0,27,0,0,0,26,2,0,0,13,22,0,0,3,25,0,42,0,1,86,7,0,0,50,0,0,0,0,0,0,0,0,0
2021-03-01,IQ,travel,19,0,0,48,0,0,2,100,11,0,2,12,30,0,0,15,26,0,34,0,7,85,9,0,0,62,0,0,0,0,0,0,0,0,0
2021-04-01,IQ,travel,22,0,0,68,0,0,3,50,0,0,0,11,27,0,0,0,28,0,32,0,0,67,10,0,0,70,0,0,0,0,0,0,0,0,0
2021-05-01,IQ,travel,31,0,0,58,0,0,2,43,5,0,1,14,22,0,0,7,36,0,38,0,3,68,6,0,0,43,0,0,0,0,0,0,0,0,0
2021-06-01,IQ,travel,0,0,0,63,0,0,0,28,4,0,1,14,19,0,0,6,34,0,42,0,3,68,9,0,0,60,0,0,0,0,0,0,0,0,0
2021-07-01,IQ,travel,0,0,0,0,0,0,6,35,3,0,1,13,20,0,0,4,47,0,25,0,2,48,9,0,0,62,0,0,0,0,0,0,0,0,0
2021-08-01,IQ,travel,29,0,0,48,0,0,4,34,0,0,0,10,21,0,0,0,41,0,27,0,0,45,11,0,0,73,0,0,0,0,0,0,0,0,0
2021-09-01,IQ,travel,35,0,0,44,0,0,6,44,6,0,1,11,19,0,0,8,47,0,32,0,4,43,12,0,0,85,0,0,0,0,0,0,0,0,0
2021-10-01,IQ,travel,15,0,0,67,0,0,0,43,4,0,1,13,16,0,0,5,41,0,22,0,2,48,8,0,0,52,0,0,0,0,0,0,0,0,0
2021-11-01,IQ,travel,18,0,0,20,0,0,2,36,10,0,2,13,16,0,0,13,31,0,40,0,6,54,9,0,0,63,0,0,0,0,0,0,0,0,0
2021-12-01,IQ,travel,39,0,0,41,0,0,0,31,6,0,1,12,13,0,0,8,33,0,29,0,4,50,6,0,0,42,0,0,0,0,0,0,0,0,0
2022-01-01,IQ,travel,25,0,0,73,0,0,0,33,3,0,1,9,19,0,0,4,23,0,38,0,2,46,9,0,0,60,0,0,0,0,0,0,0,0,0
2022-02-01,IQ,travel,24,0,0,18,0,0,5,46,2,0,0,11,22,0,0,3,25,0,41,0,1,58,10,0,0,70,0,0,0,0,0,0,0,0,0
2022-03-01,IQ,travel,16,0,0,60,0,0,2,55,4,0,1,11,19,0,0,6,26,0,42,0,3,44,9,0,0,65,0,0,0,0,0,0,0,0,0
2022-04-01,IQ,travel,31,0,0,70,0,0,0,45,5,0,1,8,28,0,0,7,32,0,38,0,3,36,9,0,0,62,0,0,0,0,0,0,0,0,0
2022-05-01,IQ,travel,22,0,0,88,0,0,0,39,4,0,1,11,23,0,0,5,53,0,35,0,2,40,8,0,0,53,0,0,0,0,0,0,0,0,0
2022-06-01,IQ,travel,38,0,0,84,0,0,3,56,3,0,1,12,20,0,0,4,51,0,45,0,2,44,11,0,0,75,0,0,0,0,0,0,0,0,0
2022-07-01,IQ,travel,21,0,0,60,0,0,5,56,6,0,1,10,24,0,0,8,54,0,35,0,4,39,11,0,0,77,0,0,0,0,0,0,0,0,0
2022-08-01,IQ,travel,25,0,0,71,0,0,5,45,7,0,1,8,24,0,0,10,48,0,33,0,5,41,15,0,0,100,0,0,0,0,0,0,0,0,0
2022-09-01,IQ,travel,21,0,0,77,0,0,7,41,2,0,0,7,21,0,0,3,42,0,28,0,1,52,9,0,0,64,0,0,0,0,0,0,0,0,0
2022-10-01,IQ,travel,0,0,0,78,0,0,1,37,7,0,1,9,17,0,0,9,33,0,33,0,4,42,10,0,0,69,0,0,0,0,0,0,0,0,0
2022-11-01,IQ,travel,28,0,0,41,0,0,1,30,0,0,0,7,16,0,0,0,65,0,38,0,0,32,8,0,0,55,0,0,0,0,0,0,0,0,0
2022-12-01,IQ,travel,23,0,0,75,0,0,5,35,5,0,1,8,19,0,0,7,100,0,35,0,3,31,9,0,0,60,0,0,0,0,0,0,0,0,0
2023-01-01,IQ,travel,27,0,0,57,0,0,0,36,5,0,1,9,17,0,0,7,83,0,28,0,3,32,7,0,0,48,0,0,0,0,0,0,0,0,0
2023-02-01,IQ,travel,15,0,0,54,0,0,4,34,6,0,1,9,23,0,0,8,35,0,23,0,4,40,7,0,0,46,0,0,0,0,0,0,0,0,0
2023-03-01,IQ,travel,38,0,0,64,0,0,2,36,6,0,1,7,22,0,0,7,33,0,37,0,3,34,11,0,0,74,0,0,0,0,0,0,0,0,0
2023-04-01,IQ,travel,0,0,0,53,0,0,0,39,6,0,1,9,31,0,0,8,37,0,38,0,4,29,11,0,0,79,0,0,0,0,0,0,0,0,0
2023-05-01,IQ,travel,0,0,0,33,0,0,4,42,4,0,1,10,24,0,0,5,45,0,37,0,2,38,11,0,0,74,0,0,0,0,0,0,0,0,0
