date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية
2019-09-01,JO,travel,0,0,0,36,0,0.0,64.0,0.0,0.0,18.0,26.0,0.0,0.0,17.333333333333332,0.0,66.66666666666666,0.0,34.07142857142858,2.5714285714285716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,JO,travel,14,0,0,72,0,5.0,62.0,5.0,0.0,32.5,57.5,0.0,0.0,44.473684210526315,0.0,99.21052631578948,0.0,104.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,JO,travel,0,0,0,63,0,0.0,66.0,6.0,0.0,30.0,60.0,0.0,0.0,30.0,0.0,66.52173913043478,0.0,96.52173913043478,2.608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,JO,travel,0,0,0,83,0,0.0,63.0,9.0,0.0,24.75,38.25,0.0,0.0,46.40625,0.0,91.265625,0.0,100.45588235294117,14.558823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,JO,travel,31,0,0,35,0,0.0,53.0,0.0,0.0,18.0,28.0,0.0,0.0,21.214285714285715,0.0,57.214285714285715,0.0,42.42857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,JO,travel,0,0,0,40,0,0.0,52.0,0.0,0.0,20.0,35.0,0.0,0.0,23.448275862068968,0.0,47.58620689655173,0.0,47.33333333333333,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,JO,travel,22,0,0,26,0,6.0,93.0,4.0,0.0,30.0,58.0,0.0,0.0,13.636363636363635,0.0,62.72727272727272,0.0,95.45454545454545,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,JO,travel,0,0,0,37,0,0.0,56.0,0.0,0.0,10.0,49.0,0.0,0.0,5.333333333333333,0.0,26.666666666666664,0.0,52.0,4.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,JO,travel,0,0,0,64,0,0.0,47.0,0.0,0.0,10.0,50.0,0.0,0.0,3.125,0.0,28.125,0.0,34.375,5.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,JO,travel,69,0,0,59,0,0.0,70.0,4.0,0.0,34.0,70.0,0.0,0.0,22.23076923076923,0.0,109.84615384615385,0.0,53.61538461538461,19.615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,JO,travel,21,0,0,53,0,6.0,59.0,6.0,0.0,30.0,52.0,0.0,0.0,22.17391304347826,0.0,82.17391304347827,0.0,61.30434782608696,5.217391304347826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,JO,travel,12,0,0,73,0,3.0,62.0,0.0,0.0,14.0,30.0,0.0,0.0,8.0,0.0,64.66666666666666,0.0,40.666666666666664,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,JO,travel,13,0,0,45,0,3.0,53.0,4.0,0.0,30.0,68.0,0.0,0.0,23.18181818181818,0.0,114.54545454545453,0.0,58.63636363636363,10.909090909090908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,JO,travel,0,0,0,72,0,2.0,49.0,4.0,0.0,26.0,70.0,0.0,0.0,18.2,0.0,58.5,0.0,84.5,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,JO,travel,61,0,0,79,0,0.0,58.0,3.0,0.0,33.0,93.0,0.0,0.0,43.3125,0.0,125.8125,0.0,144.375,10.3125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,JO,travel,25,0,0,43,0,0.0,59.0,0.0,0.0,17.0,39.0,0.0,0.0,10.200000000000001,0.0,35.36,0.0,55.760000000000005,4.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,JO,travel,24,0,0,52,0,8.0,60.0,0.0,0.0,11.0,44.0,0.0,0.0,19.9375,0.0,51.5625,0.0,67.375,4.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,JO,travel,37,0,0,43,0,0.0,81.0,0.0,0.0,12.0,34.0,0.0,0.0,9.333333333333332,0.0,52.666666666666664,0.0,63.1578947368421,4.421052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,JO,travel,0,0,0,62,0,5.0,75.0,0.0,0.0,12.0,37.0,0.0,0.0,12.0,0.0,46.666666666666664,0.0,49.89473684210526,3.1578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,JO,travel,0,0,0,39,0,0.0,61.0,8.0,0.0,18.666666666666664,128.0,0.0,0.0,30.545454545454543,0.0,120.48484848484847,0.0,123.87878787878786,5.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,JO,travel,43,0,0,88,0,3.0,79.0,4.0,0.0,28.0,84.0,0.0,0.0,42.0,0.0,82.6,0.0,82.66666666666666,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,JO,travel,16,0,0,31,0,3.0,80.0,3.0,0.0,60.0,138.0,0.0,0.0,62.0,0.0,162.0,0.0,154.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,JO,travel,0,0,0,34,0,0.0,77.0,0.0,0.0,13.0,34.0,0.0,0.0,35.75,0.0,40.300000000000004,0.0,31.85,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,JO,travel,22,0,0,18,0,0.0,94.0,6.0,0.0,26.0,56.0,0.0,0.0,76.63157894736842,0.0,109.47368421052632,0.0,67.05263157894737,9.578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,JO,travel,0,0,0,60,0,6.0,65.0,12.0,0.0,43.199999999999996,72.0,0.0,0.0,83.19999999999999,0.0,129.6,0.0,84.85714285714285,16.971428571428568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,JO,travel,21,0,0,50,0,5.0,70.0,9.0,0.0,36.0,60.75,0.0,0.0,37.5,0.0,103.5,0.0,79.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,JO,travel,32,0,0,74,0,0.0,76.0,0.0,0.0,13.0,28.0,0.0,0.0,27.36842105263158,0.0,47.21052631578947,0.0,34.89473684210527,2.736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,JO,travel,28,0,0,30,0,0.0,65.0,7.0,0.0,44.333333333333336,100.33333333333334,0.0,0.0,52.25000000000001,0.0,80.75000000000001,0.0,61.75000000000001,6.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
