date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر
2019-09-01,LB,travel,24,0,0,23,0,4.0,27.0,3.0,0.0,17.4,31.799999999999997,0.0,0.0,15.190476190476188,0.0,15.74285714285714,0.0,21.4047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,LB,travel,0,0,0,24,0,0.0,33.0,7.0,0.0,12.833333333333334,30.333333333333336,0.0,0.0,7.333333333333334,0.0,11.261904761904763,0.0,50.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,LB,travel,0,0,0,64,0,12.0,35.0,5.0,0.0,10.625,36.875,0.0,0.0,8.614864864864865,0.0,17.51689189189189,0.0,71.79054054054053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,LB,travel,0,0,0,0,0,4.0,33.0,3.0,0.0,16.8,30.0,0.0,0.0,12.944262295081968,0.0,17.626229508196722,0.0,49.051941328731665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,LB,travel,0,0,0,58,0,3.0,42.0,4.0,0.0,11.428571428571427,25.71428571428571,0.0,0.0,5.454545454545454,0.0,25.97402597402597,0.0,61.36363636363636,2.727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,LB,travel,21,0,0,37,0,0.0,25.0,0.0,0.0,18.0,46.0,0.0,0.0,10.8,0.0,21.6,0.0,65.88000000000001,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,LB,travel,0,0,0,35,0,0.0,23.0,0.0,0.0,27.0,47.0,0.0,0.0,11.25,0.0,22.05,0.0,73.125,10.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,LB,travel,23,0,0,0,0,0.0,33.0,3.0,0.0,12.75,43.5,0.0,0.0,10.736842105263158,0.0,3.3552631578947367,0.0,59.465587044534416,7.433198380566802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,LB,travel,66,0,0,28,0,0.0,17.0,2.0,0.0,11.5,26.5,0.0,0.0,4.37,0.0,10.81,0.0,34.96,3.745714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,LB,travel,0,0,0,37,0,3.0,21.0,3.0,0.0,18.75,42.0,0.0,0.0,11.11111111111111,0.0,23.26388888888889,0.0,39.31623931623931,4.273504273504273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,LB,travel,0,0,0,0,0,0.0,12.0,0.0,0.0,26.0,53.0,0.0,0.0,30.482758620689655,0.0,22.862068965517242,0.0,46.288633461047255,9.031928480204343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,LB,travel,0,0,0,0,0,0.0,17.0,0.0,0.0,31.0,50.0,0.0,0.0,31.44927536231884,0.0,15.72463768115942,0.0,35.94202898550724,15.724637681159418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,LB,travel,23,0,0,40,0,0.0,22.0,6.0,0.0,16.2,31.2,0.0,0.0,13.686206896551724,0.0,18.99310344827586,0.0,29.53339382940109,2.160980036297641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,LB,travel,0,0,0,39,0,0.0,25.0,0.0,0.0,24.0,72.0,0.0,0.0,14.76923076923077,0.0,27.230769230769234,0.0,59.07692307692308,9.088757396449704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,LB,travel,0,0,0,0,0,0.0,18.0,3.0,0.0,14.25,31.5,0.0,0.0,10.079268292682926,0.0,14.249999999999998,0.0,44.516768292682926,5.879573170731707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,LB,travel,0,0,0,22,0,0.0,22.0,8.0,0.0,16.0,37.33333333333333,0.0,0.0,13.283018867924527,0.0,22.641509433962263,0.0,48.44395116537181,6.2508324084350715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,LB,travel,26,0,0,0,0,0.0,19.0,0.0,0.0,15.0,45.0,0.0,0.0,18.18181818181818,0.0,6.363636363636363,0.0,67.04545454545453,7.954545454545453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,LB,travel,25,0,0,61,0,0.0,16.0,0.0,0.0,20.0,39.0,0.0,0.0,19.53488372093023,0.0,15.348837209302326,0.0,76.99042407660738,5.745554035567714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,LB,travel,33,0,0,0,0,0.0,24.0,0.0,0.0,17.0,57.0,0.0,0.0,16.52777777777778,0.0,27.38888888888889,0.0,99.16666666666667,9.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,LB,travel,0,0,0,22,0,0.0,31.0,4.0,0.0,12.666666666666666,61.33333333333333,0.0,0.0,12.048780487804876,0.0,22.24390243902439,0.0,36.14634146341463,3.012195121951219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,LB,travel,0,0,0,31,0,0.0,45.0,0.0,0.0,28.0,69.0,0.0,0.0,28.903225806451612,0.0,31.612903225806452,0.0,57.80645161290322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,LB,travel,0,0,0,0,0,2.0,63.0,0.0,0.0,31.0,40.0,0.0,0.0,23.36231884057971,0.0,40.88405797101449,0.0,55.624568668046926,13.349896480331262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,LB,travel,0,0,0,44,0,3.0,53.0,8.0,0.0,14.0,22.666666666666664,0.0,0.0,14.0,0.0,21.77777777777778,0.0,30.333333333333332,5.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,LB,travel,36,0,0,42,0,0.0,100.0,0.0,0.0,33.0,51.0,0.0,0.0,37.58333333333333,0.0,28.875,0.0,30.75,10.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,LB,travel,0,0,0,56,0,5.0,80.0,0.0,0.0,18.0,54.0,0.0,0.0,17.53846153846154,0.0,17.076923076923077,0.0,39.753846153846155,7.015384615384615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,LB,travel,25,0,0,0,0,0.0,27.0,5.0,0.0,14.444444444444445,44.44444444444444,0.0,0.0,9.463601532567049,0.0,15.191570881226053,0.0,11.35632183908046,6.309067688378033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,LB,travel,29,0,0,0,0,0.0,29.0,0.0,0.0,21.0,54.0,0.0,0.0,18.666666666666668,0.0,33.13333333333333,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,LB,travel,24,0,0,27,0,3.0,34.0,0.0,0.0,30.0,46.0,0.0,0.0,31.818181818181817,0.0,0.0,0.0,43.18181818181818,9.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,LB,travel,0,0,0,0,0,3.0,33.0,0.0,0.0,20.0,59.0,0.0,0.0,5.0,0.0,21.363636363636363,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,LB,travel,0,0,0,89,0,2.0,30.0,0.0,0.0,19.0,50.0,0.0,0.0,24.5609756097561,0.0,43.09756097560976,0.0,39.76538908246226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,LB,travel,37,0,0,20,0,0.0,43.0,3.0,0.0,16.8,34.8,0.0,0.0,8.941935483870969,0.0,16.8,0.0,27.513647642679903,4.814888337468983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-01,LB,travel,36,0,0,79,0,0.0,29.0,3.0,0.0,10.799999999999999,57.0,0.0,0.0,11.069999999999999,0.0,13.769999999999998,0.0,17.988749999999996,6.918749999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-01,LB,travel,0,0,0,21,0,0.0,35.0,3.0,0.0,21.0,45.75,0.0,0.0,17.951612903225804,0.0,21.677419354838708,0.0,27.354838709677416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-01,LB,travel,0,0,0,0,0,0.0,30.0,2.0,0.0,11.5,30.0,0.0,0.0,8.280000000000001,0.0,22.77,0.0,17.742857142857147,3.548571428571429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-01,LB,travel,0,0,0,46,0,3.0,32.0,3.0,0.0,14.399999999999999,33.0,0.0,0.0,15.466666666666667,0.0,14.133333333333333,0.0,23.53623188405797,8.742028985507247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
