date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا
2019-05-01,DZ,travel,0,0,0,54,0,3.0,39.0,31.0,0.0,29.0,63.0,0.0,0.0,36.0,0.0,36.0,0.0,61.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,DZ,travel,0,0,0,44,0,5.0,35.0,35.0,0.0,66.0,56.0,0.0,0.0,50.0,0.0,20.0,0.0,39.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,DZ,travel,0,0,0,36,0,1.0,46.0,55.0,0.0,59.0,56.0,0.0,0.0,54.0,0.0,18.0,0.0,30.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,DZ,travel,0,0,0,61,0,5.0,57.0,42.0,0.0,70.0,65.0,0.0,0.0,62.0,0.0,8.0,0.0,34.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,DZ,travel,45,0,0,52,0,5.625,275.625,225.0,0.0,270.0,196.36363636363637,0.0,0.0,257.14285714285717,0.0,122.14285714285715,0.0,412.5,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,DZ,travel,0,0,0,60,0,4.0,42.0,36.0,0.0,58.0,39.0,0.0,0.0,36.0,0.0,23.0,0.0,78.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,DZ,travel,0,0,0,34,0,2.0,43.0,38.0,0.0,71.0,56.0,0.0,0.0,29.0,0.0,40.0,0.0,79.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,DZ,travel,10,0,0,59,0,5.0,205.0,290.0,0.0,203.33333333333334,163.33333333333334,0.0,0.0,145.0,0.0,160.0,0.0,810.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,DZ,travel,11,0,0,48,0,11.0,275.0,275.0,0.0,264.0,205.33333333333331,0.0,0.0,198.0,0.0,137.5,0.0,473.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,DZ,travel,0,0,0,31,0,0.0,45.0,38.0,0.0,78.0,51.0,0.0,0.0,35.0,0.0,32.0,0.0,72.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,DZ,travel,0,0,0,40,0,7.0,28.0,35.0,0.0,80.0,53.0,0.0,0.0,19.0,0.0,22.0,0.0,74.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,DZ,travel,0,0,0,43,0,5.0,18.0,31.0,0.0,58.0,58.0,0.0,0.0,12.0,0.0,17.0,0.0,74.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,DZ,travel,12,0,0,74,0,24.0,144.0,180.0,0.0,228.0,272.0,0.0,0.0,90.0,0.0,108.0,0.0,372.0,324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,DZ,travel,22,0,0,23,0,22.0,143.0,181.5,0.0,325.6,162.8,0.0,0.0,117.33333333333333,0.0,161.33333333333331,0.0,462.0,425.3333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,DZ,travel,0,0,0,53,0,0.0,21.0,28.0,0.0,68.0,34.0,0.0,0.0,13.0,0.0,15.0,0.0,64.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,DZ,travel,28,0,0,70,0,22.4,235.2,196.0,0.0,332.0,136.0,0.0,0.0,140.0,0.0,154.0,0.0,399.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,DZ,travel,0,0,0,48,0,0.0,30.0,38.0,0.0,91.0,32.0,0.0,0.0,15.0,0.0,27.0,0.0,58.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,DZ,travel,0,0,0,42,0,3.0,31.0,39.0,0.0,80.0,36.0,0.0,0.0,15.0,0.0,16.0,0.0,74.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,DZ,travel,18,0,0,67,0,18.0,150.0,264.0,0.0,274.5,171.0,0.0,0.0,60.0,0.0,108.0,0.0,747.0,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,DZ,travel,13,0,0,32,0,39.0,221.0,273.0,0.0,294.66666666666663,173.33333333333331,0.0,0.0,71.5,0.0,130.0,0.0,650.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,DZ,travel,14,0,0,37,0,9.333333333333334,233.33333333333334,196.0,0.0,345.33333333333337,252.00000000000003,0.0,0.0,105.0,0.0,203.0,0.0,672.0,406.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
