date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد,امشي الى الكاميرون,امشي الى جمهورية أفريقيا الوسطى,امشي الى الأردن11,امشي الى إثيوبيا,امشي الى جيبوتي,امشي الى إريتريا,امشي الى صوماليلاند,امشي الى الأردن12,امشي الى جنوب السودان
2019-07-01,SD,travel,0,0,0,14,0,0,0,35,17,0,12,54,25,0,0,2,2,0,54,0,16,79,8,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-08-01,SD,travel,0,0,0,26,0,0,0,35,9,0,6,36,31,0,0,1,2,0,15,0,9,64,7,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-09-01,SD,travel,0,0,0,14,0,0,5,45,12,0,8,44,30,0,0,1,4,0,14,0,11,78,8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,SD,travel,0,0,0,12,0,0,10,32,0,0,0,31,32,0,0,0,2,0,11,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,SD,travel,0,0,0,0,0,0,5,36,8,0,5,37,24,0,0,1,2,0,12,0,7,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,SD,travel,0,0,0,22,0,0,0,27,16,0,11,41,29,0,0,2,2,0,14,0,15,79,17,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,SD,travel,0,0,0,18,0,0,11,20,6,0,4,37,40,0,0,1,3,0,8,0,6,67,8,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,SD,travel,0,0,0,20,0,0,0,44,28,0,19,32,35,0,0,3,2,0,9,0,26,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,SD,travel,0,0,0,0,0,0,0,67,8,0,5,35,41,0,0,1,2,0,7,0,7,62,13,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,SD,travel,0,0,0,19,0,0,0,36,19,0,13,28,62,0,0,2,0,0,7,0,17,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
