date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,الفندق4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية
2021-01-01,JO,travel,24,0,0,52,0,0,8,60,0,0,0,11,44,0,0,16,29,0,75,0,16,98,7,0,0,44,0,0,0,0,0,0,0,0
2021-02-01,JO,travel,37,0,0,43,0,0,0,81,0,0,0,12,34,0,0,18,14,0,79,0,19,100,7,0,0,41,0,0,0,0,0,0,0,0
2021-03-01,JO,travel,0,0,0,62,0,0,5,75,0,0,0,12,37,0,0,18,18,0,70,0,19,79,5,0,0,30,0,0,0,0,0,0,0,0
2021-04-01,JO,travel,0,0,0,39,0,0,0,61,8,0,3,7,48,0,0,11,18,0,71,0,11,73,3,0,0,18,0,0,0,0,0,0,0,0
2021-05-01,JO,travel,43,0,0,88,0,0,3,79,4,0,2,14,42,0,0,20,30,0,59,0,21,62,6,0,0,36,0,0,0,0,0,0,0,0
2021-06-01,JO,travel,16,0,0,31,0,0,3,80,3,0,1,20,46,0,0,30,31,0,81,0,30,77,5,0,0,33,0,0,0,0,0,0,0,0
2021-07-01,JO,travel,0,0,0,34,0,0,0,77,0,0,0,13,34,0,0,20,55,0,62,0,20,49,4,0,0,24,0,0,0,0,0,0,0,0
2021-08-01,JO,travel,22,0,0,18,0,0,0,94,6,0,3,13,28,0,0,19,56,0,80,0,19,49,7,0,0,42,0,0,0,0,0,0,0,0
2021-09-01,JO,travel,0,0,0,60,0,0,6,65,12,0,5,18,30,0,0,27,52,0,81,0,28,55,11,0,0,67,0,0,0,0,0,0,0,0
2021-10-01,JO,travel,21,0,0,50,0,0,5,70,9,0,4,16,27,0,0,24,25,0,69,0,24,53,3,0,0,18,0,0,0,0,0,0,0,0
2021-11-01,JO,travel,32,0,0,74,0,0,0,76,0,0,0,13,28,0,0,19,40,0,69,0,19,51,4,0,0,25,0,0,0,0,0,0,0,0
2021-12-01,JO,travel,28,0,0,30,0,0,0,65,7,0,3,19,43,0,0,28,33,0,51,0,28,39,4,0,0,27,0,0,0,0,0,0,0,0
2022-01-01,JO,travel,43,0,0,28,0,0,3,64,3,0,1,14,34,0,0,21,23,0,70,0,21,71,10,0,0,64,0,0,0,0,0,0,0,0
2022-02-01,JO,travel,17,0,0,49,0,0,0,71,0,0,0,10,40,0,0,16,40,0,60,0,16,44,11,0,0,71,0,0,0,0,0,0,0,0
2022-03-01,JO,travel,0,0,0,48,0,0,2,67,8,0,4,14,47,0,0,21,34,0,66,0,21,50,6,0,0,40,0,0,0,0,0,0,0,0
2022-04-01,JO,travel,14,0,0,70,0,0,0,50,10,0,5,11,79,0,0,16,31,0,69,0,16,41,9,0,0,53,0,0,0,0,0,0,0,0
2022-05-01,JO,travel,0,0,0,44,0,0,3,50,3,0,2,17,42,0,0,26,42,0,78,0,26,39,10,0,0,63,0,0,0,0,0,0,0,0
2022-06-01,JO,travel,42,0,0,36,0,0,5,72,2,0,1,12,35,0,0,17,51,0,86,0,18,58,8,0,0,51,0,0,0,0,0,0,0,0
2022-07-01,JO,travel,0,0,0,50,0,0,0,73,5,0,2,12,38,0,0,18,68,0,67,0,18,45,11,0,0,70,0,0,0,0,0,0,0,0
2022-08-01,JO,travel,10,0,0,43,0,0,2,100,8,0,4,15,33,0,0,22,55,0,99,0,22,41,10,0,0,60,0,0,0,0,0,0,0,0
2022-09-01,JO,travel,11,0,0,69,0,0,0,55,4,0,2,13,42,0,0,19,51,0,68,0,19,48,7,0,0,40,0,0,0,0,0,0,0,0
2022-10-01,JO,travel,20,0,0,44,0,0,0,58,5,0,2,11,44,0,0,16,48,0,61,0,16,42,8,0,0,52,0,0,0,0,0,0,0,0
2022-11-01,JO,travel,18,0,0,100,0,0,0,65,4,0,2,14,32,0,0,20,81,0,54,0,21,38,10,0,0,61,0,0,0,0,0,0,0,0
2022-12-01,JO,travel,14,0,0,22,0,0,4,66,7,0,3,12,40,0,0,17,57,0,50,0,17,36,7,0,0,43,0,0,0,0,0,0,0,0
2023-01-01,JO,travel,8,0,0,47,0,0,0,71,6,0,3,13,39,0,0,19,50,0,95,0,19,46,5,0,0,30,0,0,0,0,0,0,0,0
2023-02-01,JO,travel,20,0,0,44,0,0,0,60,8,0,4,13,47,0,0,20,36,0,59,0,20,58,5,0,0,32,0,0,0,0,0,0,0,0
2023-03-01,JO,travel,11,0,0,61,0,0,6,63,6,0,3,11,62,0,0,17,32,0,68,0,17,44,9,0,0,58,0,0,0,0,0,0,0,0
2023-04-01,JO,travel,0,0,0,70,0,0,2,54,4,0,2,9,100,0,0,14,32,0,53,0,14,25,10,0,0,60,0,0,0,0,0,0,0,0
2023-05-01,JO,travel,0,0,0,63,0,0,3,74,6,0,3,7,39,0,0,11,46,0,67,0,11,49,7,0,0,46,0,0,0,0,0,0,0,0
