date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى السودان,امشي الى تشاد
2019-04-01,LY,travel,0,0,0,20,0,0.0,44.0,14.0,0.0,37.8,40.599999999999994,0.0,0.0,21.0,0.0,69.0,0.0,77.63636363636364,7.636363636363637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,LY,travel,0,0,0,0,0,9.0,21.0,15.0,0.0,51.81818181818181,96.81818181818181,0.0,0.0,42.857142857142854,0.0,65.35714285714286,0.0,61.25,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,LY,travel,0,0,0,0,0,0.0,58.0,22.0,0.0,44.0,70.125,0.0,0.0,45.0,0.0,52.0,0.0,59.88888888888889,9.777777777777779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,LY,travel,0,0,0,24,0,0.0,79.0,9.0,0.0,34.5,82.5,0.0,0.0,30.0,0.0,100.0,0.0,60.42857142857143,7.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,LY,travel,0,0,0,74,0,0.0,48.0,0.0,0.0,27.0,56.0,0.0,0.0,67.0,0.0,50.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,LY,travel,0,0,0,0,0,0.0,52.0,21.0,0.0,42.0,53.199999999999996,0.0,0.0,28.35,0.0,65.10000000000001,0.0,59.294117647058826,35.82352941176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,LY,travel,43,0,0,51,0,0.0,37.0,0.0,0.0,17.0,59.0,0.0,0.0,25.0,0.0,45.0,0.0,42.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,LY,travel,58,0,0,43,0,12.0,74.0,0.0,0.0,41.0,69.0,0.0,0.0,49.0,0.0,72.0,0.0,66.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,LY,travel,40,0,0,0,0,0.0,25.0,22.0,0.0,50.875,96.25,0.0,0.0,34.0,0.0,67.0,0.0,66.0,18.333333333333336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,LY,travel,0,0,0,37,0,9.0,42.0,22.0,0.0,49.5,86.625,0.0,0.0,20.0,0.0,81.0,0.0,90.44444444444446,13.444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
