date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,القيادة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر
2020-06-01,MA,travel,7,0,0,60,0,0,2,44,12,0,24,27,45,0,0,9,19,0,10,0,19,47,18,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,MA,travel,14,0,0,44,0,0,2,57,19,0,39,19,31,0,7,6,33,0,6,0,10,57,27,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,MA,travel,32,0,0,49,0,0,3,50,16,0,33,18,31,0,0,6,26,0,11,0,20,50,15,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,MA,travel,0,0,0,22,0,0,0,35,12,0,24,19,32,0,0,6,21,0,9,0,17,49,14,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,MA,travel,0,0,0,58,0,0,1,41,13,0,26,22,60,0,0,7,21,0,13,0,24,77,19,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,MA,travel,13,0,0,21,0,0,0,40,16,0,33,16,58,0,0,5,23,0,8,0,15,95,16,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,MA,travel,12,0,0,42,0,0,0,40,19,0,40,20,34,0,0,7,19,0,12,0,22,97,19,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,MA,travel,9,0,0,52,0,0,3,43,18,0,37,16,31,0,2,5,24,0,12,0,23,100,19,0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,MA,travel,12,0,0,44,0,0,2,50,19,0,39,20,30,0,2,6,23,0,15,0,29,90,16,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,MA,travel,20,0,0,26,0,0,4,58,16,0,32,25,41,0,6,8,30,0,12,0,23,82,12,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,MA,travel,58,0,0,48,0,0,2,41,14,0,28,18,53,0,0,6,28,0,8,0,16,81,11,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,MA,travel,23,0,0,38,0,0,3,48,19,0,38,26,58,0,0,9,26,0,9,0,16,75,13,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,MA,travel,22,0,0,32,0,0,4,50,16,0,32,18,35,0,11,6,48,0,8,0,15,49,14,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,MA,travel,0,0,0,37,0,0,3,79,23,0,47,23,33,0,0,7,59,0,5,0,9,41,9,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,MA,travel,11,0,0,36,0,0,0,65,22,0,45,23,27,0,0,7,66,0,8,0,16,37,16,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,MA,travel,0,0,0,43,0,0,1,54,20,0,42,26,23,0,6,9,46,0,8,0,15,35,19,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,MA,travel,14,0,0,36,0,0,0,43,19,0,39,7,61,0,4,2,37,0,5,0,9,48,20,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
