date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2020-01-01,QA,travel,0,0,0,0,0,0.0,58.0,2.0,0.0,20.0,51.0,0.0,0.0,17.0,0.0,39.0,0.0,56.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,QA,travel,0,0,0,29,0,0.0,41.0,0.0,0.0,14.0,25.0,0.0,0.0,29.0,0.0,30.0,0.0,59.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,QA,travel,0,0,0,0,0,0.0,23.0,0.0,0.0,20.0,43.0,0.0,0.0,19.0,0.0,34.0,0.0,66.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,QA,travel,0,0,0,23,0,0.0,22.0,0.0,0.0,20.0,75.0,0.0,0.0,0.0,0.0,34.0,0.0,81.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,QA,travel,0,0,0,39,0,3.0,26.0,0.0,0.0,3.333333333333333,26.333333333333332,0.0,0.0,6.0,0.0,7.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,QA,travel,0,0,0,0,0,0.0,30.0,6.0,0.0,8.0,45.0,0.0,0.0,0.0,0.0,21.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,QA,travel,0,0,0,17,0,0.0,28.0,2.0,0.0,20.0,30.0,0.0,0.0,17.0,0.0,16.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,QA,travel,0,0,0,50,0,0.0,33.0,0.0,0.0,20.0,68.0,0.0,0.0,13.0,0.0,49.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,QA,travel,0,0,0,36,0,0.0,30.0,0.0,0.0,23.0,44.0,0.0,0.0,11.0,0.0,49.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,QA,travel,52,0,0,100,0,0.0,35.0,0.0,0.0,17.0,59.0,0.0,0.0,6.0,0.0,37.0,0.0,61.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,QA,travel,16,0,0,0,0,0.0,32.0,2.0,0.0,6.0,51.0,0.0,0.0,14.0,0.0,36.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,QA,travel,0,0,0,41,0,0.0,47.0,0.0,0.0,14.0,69.0,0.0,0.0,8.0,0.0,64.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,QA,travel,0,0,0,31,0,0.0,31.0,2.0,0.0,10.0,41.0,0.0,0.0,29.0,0.0,45.0,0.0,89.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,QA,travel,0,0,0,0,0,3.0,49.0,2.0,0.0,5.1,5.1,0.0,0.0,14.0,0.0,13.5,0.0,11.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,QA,travel,0,0,0,32,0,0.0,31.0,0.0,0.0,19.0,33.0,0.0,0.0,16.0,0.0,32.0,0.0,80.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,QA,travel,0,0,0,0,0,0.0,33.0,2.0,0.0,12.0,58.0,0.0,0.0,22.0,0.0,28.0,0.0,78.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,QA,travel,0,0,0,63,0,2.0,31.0,0.0,0.0,7.142857142857142,19.142857142857142,0.0,0.0,15.0,0.0,24.0,0.0,11.333333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,QA,travel,0,0,0,13,0,0.0,39.0,2.0,0.0,32.0,50.0,0.0,0.0,57.0,0.0,37.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,QA,travel,18,0,0,0,0,0.0,30.0,3.0,0.0,26.0,17.0,0.0,0.0,47.0,0.0,35.0,0.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,QA,travel,22,0,0,0,0,0.0,41.0,0.0,0.0,23.0,64.0,0.0,0.0,44.0,0.0,40.0,0.0,23.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,QA,travel,0,0,0,0,0,0.0,35.0,0.0,0.0,31.0,65.0,0.0,0.0,25.0,0.0,39.0,0.0,98.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,QA,travel,16,0,0,0,0,0.0,50.0,0.0,0.0,20.0,41.0,0.0,0.0,25.0,0.0,35.0,0.0,68.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,QA,travel,0,0,0,36,0,4.0,57.0,2.0,0.0,4.8,7.2,0.0,0.0,21.6,0.0,24.400000000000002,0.0,14.857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,QA,travel,0,0,0,0,0,0.0,58.0,0.0,0.0,31.0,43.0,0.0,0.0,75.0,0.0,33.0,0.0,17.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-01-01,QA,travel,38,0,0,0,0,7.0,39.0,2.0,0.0,3.5,18.083333333333336,0.0,0.0,13.125,0.0,12.6875,0.0,10.181818181818182,2.121212121212121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-02-01,QA,travel,33,0,0,21,0,0.0,39.0,0.0,0.0,20.0,26.0,0.0,0.0,30.0,0.0,34.0,0.0,52.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
