date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد
2019-11-01,LY,travel,58,0,0,43,0,0,12,74,0,0,0,41,69,0,0,0,49,0,72,0,0,66,17,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,LY,travel,40,0,0,0,0,0,0,25,22,0,16,37,70,0,0,22,34,0,67,0,18,54,15,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,LY,travel,0,0,0,37,0,0,9,42,22,0,16,36,63,0,0,22,20,0,81,0,18,74,11,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,LY,travel,0,0,0,0,0,0,0,38,33,0,24,31,46,0,0,33,14,0,62,0,27,57,24,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,LY,travel,0,0,0,0,0,0,0,40,14,0,10,35,59,0,0,14,21,0,34,0,12,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,LY,travel,0,0,0,64,0,0,6,38,13,0,9,37,64,0,0,13,10,0,39,0,10,55,9,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,LY,travel,0,0,0,100,0,0,0,27,12,0,9,39,79,0,0,12,14,0,53,0,10,54,19,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,LY,travel,0,0,0,53,0,0,0,50,8,0,6,40,58,0,0,8,0,0,65,0,6,44,18,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,LY,travel,0,0,0,0,0,0,0,66,26,0,19,37,54,0,0,26,0,0,59,0,21,51,27,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,LY,travel,28,0,0,67,0,0,0,60,13,0,9,39,41,0,0,13,23,0,47,0,10,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,LY,travel,90,0,0,0,0,0,0,60,16,0,12,35,50,0,0,16,9,0,45,0,13,45,18,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,LY,travel,0,0,0,43,0,0,5,57,15,0,11,42,56,0,0,15,9,0,43,0,12,89,13,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,LY,travel,0,0,0,69,0,0,12,16,0,0,0,24,51,0,0,0,19,0,68,0,0,78,19,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,LY,travel,0,0,0,0,0,0,0,17,12,0,9,24,67,0,0,12,6,0,40,0,10,72,26,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,LY,travel,0,0,0,28,0,0,0,13,16,0,12,30,51,0,0,16,7,0,67,0,13,70,30,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,LY,travel,0,0,0,0,0,0,6,36,26,0,19,34,58,0,0,26,19,0,43,0,21,67,19,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,LY,travel,21,0,0,32,0,0,0,48,11,0,8,39,55,0,0,11,31,0,22,0,9,67,15,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,LY,travel,0,0,0,58,0,0,0,33,9,0,7,26,81,0,0,9,26,0,55,0,8,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,LY,travel,22,0,0,64,0,0,7,36,0,0,0,26,69,0,0,0,21,0,39,0,0,53,18,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,LY,travel,0,0,0,92,0,0,0,49,12,0,9,60,42,0,0,12,32,0,52,0,10,72,31,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,LY,travel,35,0,0,32,0,0,0,60,9,0,7,32,29,0,0,9,48,0,34,0,8,41,9,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
