date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر
2020-02-01,IL,travel,0,0,0,50,0,14.0,54.0,0.0,0.0,5.0,37.0,0.0,0.0,8.333333333333334,0.0,19.166666666666668,0.0,160.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,IL,travel,0,0,0,0,0,8.0,67.0,10.0,0.0,20.0,70.0,0.0,0.0,0.0,0.0,27.272727272727273,0.0,220.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,IL,travel,0,0,0,49,0,0.0,52.0,0.0,0.0,11.0,58.0,0.0,0.0,3.52,0.0,20.24,0.0,138.60000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,IL,travel,0,0,0,0,0,9.0,46.0,8.0,0.0,26.0,106.0,0.0,0.0,8.96551724137931,0.0,31.379310344827587,0.0,130.0,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,IL,travel,0,0,0,53,0,0.0,49.0,0.0,0.0,18.0,28.0,0.0,0.0,6.428571428571428,0.0,19.71428571428571,0.0,66.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,IL,travel,0,0,0,26,0,0.0,34.0,0.0,0.0,12.0,26.0,0.0,0.0,3.1111111111111107,0.0,18.22222222222222,0.0,96.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,IL,travel,0,0,0,42,0,0.0,57.0,0.0,0.0,12.0,25.0,0.0,0.0,9.0,0.0,18.428571428571427,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,IL,travel,32,0,0,67,0,0.0,42.0,0.0,0.0,12.0,58.0,0.0,0.0,11.571428571428571,0.0,29.57142857142857,0.0,108.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,IL,travel,0,0,0,25,0,0.0,47.0,0.0,0.0,17.0,100.0,0.0,0.0,10.736842105263158,0.0,18.789473684210527,0.0,121.125,14.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,IL,travel,0,0,0,25,0,21.0,69.0,16.0,0.0,26.0,122.0,0.0,0.0,20.8,0.0,46.800000000000004,0.0,312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,IL,travel,17,0,0,76,0,8.0,68.0,0.0,0.0,5.0,75.0,0.0,0.0,0.0,0.0,37.5,0.0,166.66666666666669,8.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-01,IL,travel,42,0,0,46,0,0.0,47.0,10.0,0.0,26.0,96.0,0.0,0.0,20.8,0.0,55.46666666666667,0.0,367.7142857142857,18.571428571428573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-01,IL,travel,19,0,0,22,0,0.0,51.0,0.0,0.0,17.0,47.0,0.0,0.0,10.2,0.0,38.25,0.0,143.55555555555554,3.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-01,IL,travel,33,0,0,23,0,0.0,59.0,6.0,0.0,0.0,108.0,0.0,0.0,23.0,0.0,70.0,0.0,65.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-01,IL,travel,60,0,0,0,0,15.0,55.0,8.0,0.0,32.0,118.0,0.0,0.0,17.37142857142857,0.0,39.31428571428571,0.0,240.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-01,IL,travel,0,0,0,19,0,0.0,58.0,11.0,0.0,5.5,99.0,0.0,0.0,31.428571428571427,0.0,42.42857142857143,0.0,137.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,IL,travel,0,0,0,0,0,0.0,50.0,0.0,0.0,13.0,51.0,0.0,0.0,18.2,0.0,20.8,0.0,123.49999999999999,4.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-01,IL,travel,21,0,0,27,0,7.0,68.0,0.0,0.0,21.0,24.0,0.0,0.0,26.25,0.0,33.25,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-01,IL,travel,27,0,0,36,0,0.0,41.0,0.0,0.0,19.0,40.0,0.0,0.0,25.186046511627907,0.0,26.069767441860467,0.0,44.333333333333336,8.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-01,IL,travel,0,0,0,40,0,0.0,43.0,0.0,0.0,19.0,70.0,0.0,0.0,20.767441860465116,0.0,32.69767441860465,0.0,90.77777777777779,6.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-10-01,IL,travel,28,0,0,0,0,7.0,68.0,0.0,0.0,16.0,49.0,0.0,0.0,19.027027027027028,0.0,32.86486486486487,0.0,128.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-11-01,IL,travel,0,0,0,0,0,14.0,36.0,14.0,0.0,38.0,80.0,0.0,0.0,57.0,0.0,73.4090909090909,0.0,215.33333333333334,8.444444444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-12-01,IL,travel,0,0,0,0,0,0.0,57.0,0.0,0.0,23.0,42.0,0.0,0.0,20.830188679245282,0.0,41.660377358490564,0.0,79.45454545454545,12.545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
