date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,الفندق4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت
2020-12-01,KW,travel,0,0,0,0,0,0,3,24,0,0,0,17,84,0,0,4,4,0,40,0,16,59,4,0,0,29,0,0,0,0,0,0,0,0,0
2021-01-01,KW,travel,15,0,0,83,0,0,0,26,0,0,0,15,62,0,0,4,6,0,40,0,14,100,14,0,0,100,0,0,0,0,0,0,0,0,0
2021-02-01,KW,travel,0,0,0,28,0,0,0,24,0,0,0,18,59,0,0,4,5,0,35,0,16,72,7,0,0,47,0,0,0,0,0,0,0,0,0
2021-03-01,KW,travel,0,0,0,34,0,0,0,23,0,0,0,0,84,0,0,0,7,0,24,0,0,60,6,0,0,46,0,0,0,0,0,0,0,0,0
2021-04-01,KW,travel,0,0,0,67,0,0,1,20,0,0,0,13,92,0,0,3,4,0,16,0,12,60,8,0,0,59,0,0,0,0,0,0,0,0,0
2021-05-01,KW,travel,0,0,0,23,0,0,0,41,1,0,4,15,76,0,0,3,8,0,18,0,14,63,4,0,0,26,0,0,0,0,0,0,0,0,0
2021-06-01,KW,travel,0,0,0,60,0,0,0,23,2,0,5,10,57,0,0,2,10,0,25,0,9,48,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,KW,travel,0,0,0,74,0,0,2,28,0,0,0,7,59,0,0,2,15,0,21,0,6,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,KW,travel,0,0,0,61,0,0,0,31,0,0,0,22,58,0,0,5,19,0,21,0,20,35,8,0,0,60,0,0,0,0,0,0,0,0,0
2021-09-01,KW,travel,24,0,0,36,0,0,3,34,0,0,0,8,48,0,0,2,20,0,32,0,8,42,7,0,0,50,0,0,0,0,0,0,0,0,0
2021-10-01,KW,travel,0,0,0,42,0,0,1,31,0,0,0,17,69,0,0,4,16,0,35,0,16,59,5,0,0,35,0,0,0,0,0,0,0,0,0
2021-11-01,KW,travel,16,0,0,46,0,0,0,25,0,0,0,21,62,0,0,5,11,0,30,0,19,37,10,0,0,70,0,0,0,0,0,0,0,0,0
2021-12-01,KW,travel,30,0,0,0,0,0,0,21,0,0,0,18,64,0,0,4,11,0,100,0,16,27,5,0,0,33,0,0,0,0,0,0,0,0,0
2022-01-01,KW,travel,25,0,0,44,0,0,0,18,0,0,0,12,54,0,0,3,7,0,26,0,11,28,11,0,0,76,0,0,0,0,0,0,0,0,0
2022-02-01,KW,travel,0,0,0,88,0,0,0,19,4,0,11,17,63,0,0,4,17,0,28,0,16,28,6,0,0,45,0,0,0,0,0,0,0,0,0
2022-03-01,KW,travel,12,0,0,14,0,0,0,24,0,0,0,22,66,0,0,5,16,0,29,0,21,24,5,0,0,35,0,0,0,0,0,0,0,0,0
2022-04-01,KW,travel,13,0,0,59,0,0,0,21,1,0,2,13,100,0,0,3,15,0,21,0,12,20,4,0,0,30,0,0,0,0,0,0,0,0,0
2022-05-01,KW,travel,0,0,0,63,0,0,3,28,0,0,0,15,53,0,0,3,19,0,18,0,14,24,5,0,0,37,0,0,0,0,0,0,0,0,0
2022-06-01,KW,travel,12,0,0,71,0,0,0,23,0,0,0,19,65,0,0,4,27,0,23,0,17,27,3,0,0,21,0,0,0,0,0,0,0,0,0
2022-07-01,KW,travel,29,0,0,35,0,0,2,24,0,0,0,23,50,0,0,5,25,0,21,0,22,21,6,0,0,42,0,0,0,0,0,0,0,0,0
2022-08-01,KW,travel,19,0,0,57,0,0,2,30,1,0,3,21,51,0,0,5,26,0,21,0,20,33,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-09-01,KW,travel,14,0,0,42,0,0,0,23,1,0,3,22,54,0,0,5,15,0,20,0,21,30,3,0,0,22,0,0,0,0,0,0,0,0,0
2022-10-01,KW,travel,0,0,0,38,0,0,0,20,0,0,0,7,51,0,0,2,12,0,21,0,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-11-01,KW,travel,11,0,0,29,0,0,4,23,3,0,7,6,49,0,0,1,24,0,19,0,6,36,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-12-01,KW,travel,0,0,0,31,0,0,0,22,1,0,3,14,46,0,0,3,19,0,16,0,13,22,3,0,0,24,0,0,0,0,0,0,0,0,0
2023-01-01,KW,travel,0,0,0,41,0,0,1,21,0,0,0,13,49,0,0,3,20,0,16,0,12,31,7,0,0,49,0,0,0,0,0,0,0,0,0
2023-02-01,KW,travel,0,0,0,86,0,0,0,25,0,0,0,9,52,0,0,2,14,0,19,0,8,23,3,0,0,23,0,0,0,0,0,0,0,0,0
2023-03-01,KW,travel,0,0,0,19,0,0,1,18,1,0,4,10,75,0,0,2,12,0,22,0,9,31,10,0,0,71,0,0,0,0,0,0,0,0,0
2023-04-01,KW,travel,0,0,0,60,0,0,0,23,0,0,0,13,95,0,0,3,18,0,27,0,12,20,2,0,0,17,0,0,0,0,0,0,0,0,0
2023-05-01,KW,travel,0,0,0,31,0,0,0,25,0,0,0,19,74,0,0,4,18,0,30,0,17,17,2,0,0,18,0,0,0,0,0,0,0,0,0
