date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,الفندق4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن
2020-09-01,OM,travel,0,0,0,46,0,0,0,19,2,0,7,12,29,0,0,11,23,0,30,0,16,23,21,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,OM,travel,22,0,0,47,0,0,0,15,2,0,6,5,32,0,0,4,15,0,33,0,6,76,8,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,OM,travel,10,0,0,84,0,0,0,18,0,0,0,17,48,0,0,16,16,0,36,0,21,44,11,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,OM,travel,0,0,0,41,0,0,1,15,3,0,7,32,52,0,0,30,19,0,41,0,41,93,25,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,OM,travel,0,0,0,54,0,0,0,20,2,0,6,17,53,0,0,16,26,0,32,0,22,85,27,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,OM,travel,41,0,0,43,0,0,0,11,5,0,13,23,57,0,0,22,19,0,37,0,30,100,14,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,OM,travel,0,0,0,56,0,0,0,17,0,0,0,13,42,0,0,12,15,0,42,0,17,74,20,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,OM,travel,0,0,0,74,0,0,0,21,2,0,6,7,75,0,0,7,13,0,46,0,9,82,9,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,OM,travel,0,0,0,18,0,0,0,24,0,0,0,7,67,0,0,7,28,0,29,0,9,98,9,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,OM,travel,11,0,0,20,0,0,1,17,1,0,3,19,64,0,0,18,48,0,37,0,24,100,10,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,OM,travel,0,0,0,12,0,0,0,23,2,0,6,8,56,0,0,7,55,0,30,0,10,50,16,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,OM,travel,0,0,0,30,0,0,0,35,0,0,0,16,58,0,0,15,70,0,42,0,21,48,32,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,OM,travel,20,0,0,36,0,0,2,19,3,0,9,28,45,0,0,26,60,0,35,0,36,69,14,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,OM,travel,0,0,0,62,0,0,0,21,4,0,11,12,47,0,0,12,48,0,30,0,16,74,22,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0
