date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الجزائر
2019-04-01,MA,travel,37,0,0,28,0,4.0,37.0,18.0,0.0,9.243243243243244,21.891891891891895,0.0,0.0,49.2972972972973,0.0,13.864864864864865,0.0,41.5945945945946,12.233704292527822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,MA,travel,33,0,0,26,0,4.0,35.0,13.0,0.0,0.0,22.285714285714285,0.0,0.0,26.0,0.0,7.0,0.0,29.615384615384613,7.538461538461538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,MA,travel,0,0,0,39,0,2.0,43.0,11.0,0.0,9.08695652173913,13.869565217391305,0.0,2.391304347826087,53.007246376811594,0.0,12.115942028985508,0.0,26.655072463768118,8.885024154589372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,MA,travel,29,0,0,48,0,3.0,50.0,19.0,0.0,14.128205128205128,8.282051282051281,0.0,0.0,53.687179487179485,0.0,7.064102564102564,0.0,30.61111111111111,6.279202279202279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,MA,travel,0,0,0,51,0,4.0,52.0,26.0,0.0,10.30188679245283,13.735849056603774,0.0,0.0,72.11320754716981,0.0,10.30188679245283,0.0,32.62264150943396,12.877358490566039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,MA,travel,21,0,0,72,0,3.0,46.0,28.0,0.0,9.82456140350877,16.70175438596491,0.0,0.0,46.3157894736842,0.0,8.421052631578945,0.0,35.98086124401913,9.952153110047844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,MA,travel,8,0,0,42,0,4.0,40.0,13.0,0.0,12.0,18.0,0.0,0.0,46.5,0.0,10.5,0.0,58.96153846153846,7.269230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,MA,travel,0,0,0,47,0,4.0,47.0,15.0,0.0,4.838709677419355,18.387096774193548,0.0,0.0,50.00000000000001,0.0,12.903225806451614,0.0,66.3594470046083,11.9815668202765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,MA,travel,0,0,0,56,0,3.0,37.0,16.0,0.0,9.212121212121213,19.393939393939394,0.0,0.0,47.5959595959596,0.0,26.101010101010104,0.0,58.937764744216366,7.577712609970676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,MA,travel,10,0,0,34,0,4.0,36.0,16.0,0.0,6.303030303030303,17.454545454545453,0.0,0.0,47.27272727272727,0.0,17.333333333333332,0.0,57.77777777777777,14.031746031746032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,MA,travel,27,0,0,13,0,5.0,42.0,15.0,0.0,8.5,14.0,0.0,0.0,42.5,0.0,15.583333333333334,0.0,60.10714285714286,11.130952380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,MA,travel,17,0,0,35,0,3.0,37.0,17.0,0.0,4.857142857142857,30.114285714285714,0.0,2.914285714285714,30.76190476190476,0.0,8.095238095238095,0.0,54.23809523809524,12.142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,MA,travel,31,0,0,79,0,1.0,17.0,7.0,0.0,10.5,37.5,0.0,0.0,12.0,0.0,16.5,0.0,52.64285714285714,8.642857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,MA,travel,17,0,0,58,0,2.0,18.0,9.0,0.0,7.5,40.5,0.0,1.5,25.5,0.0,19.5,0.0,46.3125,14.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,MA,travel,7,0,0,60,0,2.0,44.0,12.0,0.0,13.5,22.5,0.0,0.0,28.5,0.0,15.0,0.0,37.10526315789474,14.210526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,MA,travel,14,0,0,44,0,2.0,57.0,19.0,0.0,9.256410256410255,15.102564102564102,0.0,3.41025641025641,50.91025641025641,0.0,9.256410256410255,0.0,52.76153846153846,24.99230769230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,MA,travel,32,0,0,49,0,3.0,50.0,16.0,0.0,8.727272727272727,15.030303030303031,0.0,0.0,37.81818181818181,0.0,15.999999999999998,0.0,40.0,11.999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,MA,travel,0,0,0,22,0,0.0,35.0,12.0,0.0,9.5,16.0,0.0,0.0,33.25,0.0,14.25,0.0,41.07352941176471,11.73529411764706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,MA,travel,0,0,0,58,0,1.0,41.0,13.0,0.0,11.0,30.0,0.0,0.0,33.0,0.0,20.428571428571427,0.0,65.54166666666667,16.172619047619047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,MA,travel,13,0,0,21,0,0.0,40.0,16.0,0.0,7.757575757575758,28.12121212121212,0.0,0.0,35.68484848484849,0.0,12.412121212121212,0.0,78.610101010101,13.23959595959596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,MA,travel,12,0,0,42,0,0.0,40.0,19.0,0.0,9.5,16.15,0.0,0.0,25.78571428571429,0.0,16.285714285714285,0.0,71.8051948051948,14.064935064935064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
