date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,حافلة3,تذكرة,فندق صغير,القيادة,أجرة الطيران,حافلة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا
2021-06-01,SY,travel,6,0,0,22,0,0,0,30,0,0,0,43,53,0,0,0,17,0,59,0,0,71,19,0,0,68,0,0,0
2021-07-01,SY,travel,6,0,0,35,0,0,0,24,5,0,6,37,42,0,0,13,40,0,44,0,8,58,23,0,0,80,0,0,0
2021-08-01,SY,travel,18,0,0,22,0,0,3,40,2,0,2,37,49,0,0,4,40,0,61,0,3,57,20,0,0,70,0,0,0
2021-09-01,SY,travel,0,0,0,14,0,0,2,24,2,0,3,37,41,0,0,6,38,0,37,0,4,60,17,0,0,59,0,0,0
2021-10-01,SY,travel,6,0,0,17,0,0,0,30,3,0,4,45,55,0,0,9,29,0,73,0,6,59,22,0,0,77,0,0,0
2021-11-01,SY,travel,9,0,0,11,0,0,0,24,5,0,6,32,46,0,0,13,20,0,75,0,8,46,18,0,0,65,0,0,0
2021-12-01,SY,travel,0,0,0,6,0,0,5,30,5,0,6,36,51,0,0,12,19,0,29,0,8,38,17,0,0,58,0,0,0
2022-01-01,SY,travel,7,0,0,18,0,0,0,67,2,0,3,22,57,0,0,5,36,0,58,0,3,83,29,0,0,100,0,0,0
2022-02-01,SY,travel,6,0,0,7,0,0,3,59,4,0,5,35,61,0,0,11,27,0,53,0,7,68,20,0,0,71,0,0,0
2022-03-01,SY,travel,5,0,0,24,0,0,2,46,3,0,4,30,61,0,0,8,29,0,59,0,5,53,21,0,0,75,0,0,0
2022-04-01,SY,travel,13,0,0,13,0,0,2,35,2,0,3,13,100,0,0,6,24,0,44,0,4,53,19,0,0,65,0,0,0
2022-05-01,SY,travel,11,0,0,11,0,0,0,26,5,0,6,43,57,0,0,14,31,0,44,0,8,45,13,0,0,46,0,0,0
2022-06-01,SY,travel,0,0,0,5,0,0,0,49,5,0,7,31,71,0,0,15,45,0,65,0,9,32,21,0,0,74,0,0,0
2022-07-01,SY,travel,5,0,0,22,0,0,0,31,4,0,5,41,62,0,0,12,32,0,52,0,7,41,19,0,0,67,0,0,0
2022-08-01,SY,travel,0,0,0,11,0,0,4,37,4,0,5,36,55,0,0,11,35,0,50,0,7,54,8,0,0,28,0,0,0
2022-09-01,SY,travel,11,0,0,100,0,0,9,45,8,0,10,33,61,0,0,22,27,0,48,0,14,44,21,0,0,72,0,0,0
2022-10-01,SY,travel,0,0,0,30,0,0,7,58,6,0,7,35,52,0,0,16,32,0,66,0,10,52,19,0,0,67,0,0,0
2022-11-01,SY,travel,0,0,0,10,0,0,3,35,2,0,3,27,44,0,0,6,53,0,48,0,4,42,17,0,0,58,0,0,0
2022-12-01,SY,travel,7,0,0,25,0,0,0,62,2,0,3,23,59,0,0,7,43,0,42,0,4,32,16,0,0,55,0,0,0
2023-01-01,SY,travel,5,0,0,23,0,0,5,52,2,0,3,30,64,0,0,6,32,0,40,0,4,60,20,0,0,71,0,0,0
2023-02-01,SY,travel,18,0,0,12,0,0,5,36,0,0,0,28,69,0,0,0,31,0,39,0,0,52,27,0,0,94,0,0,0
2023-03-01,SY,travel,6,0,0,20,0,0,0,35,3,0,4,19,81,0,0,8,31,0,42,0,5,38,19,0,0,65,0,0,0
2023-04-01,SY,travel,7,0,0,13,0,0,0,29,7,0,8,23,85,0,0,18,22,0,52,0,11,51,8,0,0,27,0,0,0
2023-05-01,SY,travel,4,0,0,20,0,0,1,32,2,0,3,33,67,0,0,6,40,0,52,0,4,39,18,0,0,62,0,0,0
