date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قطار سريع1,قافلة,محطة,حافلة,أمتعة السفر,قطار سريع2,الفندق,نزل,شقة مستأجرة,حركة السير,قطار سريع3,تذكرة,فندق صغير,القيادة,أجرة الطيران,قطار سريع4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الأردن7,امشي الى الإمارات العربية المتحدة,امشي الى اليمن,امشي الى عمان,امشي الى الصحراء الغربية,امشي الى الأردن8,امشي الى الجزائر,امشي الى مالي,امشي الى موريتانيا,امشي الى النيجر,امشي الى الأردن9,امشي الى تونس,امشي الى المغرب,امشي الى ليبيا,امشي الى السنغال,امشي الى الأردن10,امشي الى السودان,امشي الى تشاد,امشي الى الكاميرون,امشي الى جمهورية أفريقيا الوسطى,امشي الى الأردن11,امشي الى إثيوبيا,امشي الى جيبوتي
2019-09-01,EG,travel,17,0,0,36,21,0,0,37,1,0,2,39,40,0,0,0,33,0,20,0,2,52,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-10-01,EG,travel,13,0,0,41,5,0,0,38,1,0,0,43,38,0,0,0,34,0,17,0,1,76,5,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,EG,travel,16,0,0,42,10,0,0,34,1,0,1,43,41,0,0,0,35,0,17,0,1,78,5,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,EG,travel,24,0,0,39,13,0,0,28,0,0,1,35,39,0,0,0,32,0,17,0,1,66,5,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,EG,travel,19,0,0,47,18,0,0,31,0,0,1,44,40,0,0,0,35,0,18,0,2,59,3,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,EG,travel,0,0,0,77,8,0,1,31,1,0,1,36,43,0,0,0,34,0,16,0,1,71,4,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,EG,travel,12,0,0,56,9,0,0,22,0,0,1,35,62,0,0,0,16,0,12,0,1,82,5,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,EG,travel,11,0,0,45,0,0,0,14,1,0,0,33,64,0,0,0,7,0,11,0,0,71,3,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,EG,travel,12,0,0,41,0,0,0,16,0,0,0,41,60,0,0,0,8,0,26,0,0,100,4,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,EG,travel,42,0,0,54,7,0,0,20,0,0,0,42,55,0,0,0,14,0,30,0,1,85,4,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,EG,travel,61,0,0,48,0,0,0,29,0,0,0,45,53,0,0,0,27,0,31,0,0,63,2,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,EG,travel,16,0,0,46,10,0,0,40,1,0,1,46,51,0,0,0,43,0,33,0,1,65,3,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,EG,travel,25,0,0,34,7,0,0,37,1,0,1,42,53,0,0,0,38,0,30,0,1,66,2,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,EG,travel,13,0,0,48,6,0,0,34,1,0,0,41,48,0,0,0,29,0,22,0,1,65,4,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,EG,travel,29,0,0,41,0,0,0,34,1,0,0,46,48,0,0,0,27,0,20,0,0,71,5,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
