date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى سوريا,امشي الى مصر,امشي الى السعودية,امشي الى الكويت,امشي الى الإمارات العربية المتحدة,امشي الى اليمن
2019-06-01,OM,travel,0,0,0,63,0,2.0,12.0,0.0,0.0,24.0,42.0,0.0,0.0,85.09090909090908,0.0,57.81818181818181,0.0,16.8,9.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,OM,travel,0,0,0,19,0,0.0,18.0,3.0,0.0,12.0,11.142857142857142,0.0,0.0,37.84615384615385,0.0,20.76923076923077,0.0,15.666666666666666,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,OM,travel,0,0,0,27,0,0.0,22.0,4.0,0.0,5.6000000000000005,15.600000000000001,0.0,0.0,25.846153846153847,0.0,8.615384615384617,0.0,8.088888888888889,2.177777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,OM,travel,0,0,0,33,0,0.0,18.0,0.0,0.0,19.0,40.0,0.0,0.0,39.05555555555556,0.0,33.77777777777778,0.0,34.83333333333333,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,OM,travel,0,0,0,48,0,0.0,16.0,3.0,0.0,5.625,15.75,0.0,0.0,12.053571428571429,0.0,15.669642857142858,0.0,23.092105263157894,3.8486842105263155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,OM,travel,20,0,0,16,0,0.0,16.0,3.0,0.0,8.571428571428571,17.57142857142857,0.0,0.0,13.984962406015036,0.0,17.142857142857142,0.0,12.857142857142858,7.582417582417582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,OM,travel,0,0,0,68,0,0.0,11.0,0.0,0.0,13.0,46.0,0.0,0.0,29.249999999999996,0.0,31.416666666666664,0.0,39.0,6.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-01-01,OM,travel,0,0,0,35,0,0.0,20.0,3.0,0.0,10.666666666666666,8.333333333333332,0.0,0.0,8.533333333333331,0.0,7.111111111111111,0.0,8.38095238095238,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-01,OM,travel,15,0,0,85,0,0.0,13.0,1.0,0.0,4.0,12.0,0.0,0.0,12.0,0.0,16.727272727272727,0.0,16.8,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-01,OM,travel,0,0,0,56,0,0.0,11.0,2.0,0.0,3.333333333333333,16.333333333333332,0.0,0.0,4.333333333333333,0.0,8.333333333333332,0.0,20.256410256410255,3.5897435897435894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,OM,travel,7,0,0,16,0,0.0,15.0,3.0,0.0,6.666666666666666,26.0,0.0,0.0,3.508771929824561,0.0,13.68421052631579,0.0,15.641025641025639,3.846153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-05-01,OM,travel,0,0,0,17,0,0.0,11.0,0.0,0.0,3.0,50.0,0.0,0.0,18.0,0.0,29.0,0.0,46.5,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-06-01,OM,travel,8,0,0,26,0,0.0,10.0,0.0,0.0,26.0,42.0,0.0,0.0,26.0,0.0,35.75,0.0,29.823529411764703,19.11764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-01,OM,travel,0,0,0,42,0,0.0,11.0,2.0,0.0,3.333333333333333,18.666666666666664,0.0,0.0,2.962962962962963,0.0,23.333333333333332,0.0,10.0,6.41025641025641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-08-01,OM,travel,0,0,0,56,0,0.0,11.0,0.0,0.0,14.0,46.0,0.0,0.0,24.769230769230766,0.0,47.38461538461538,0.0,20.22222222222222,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-09-01,OM,travel,0,0,0,46,0,0.0,19.0,2.0,0.0,3.4285714285714284,8.285714285714285,0.0,0.0,7.1688311688311686,0.0,9.35064935064935,0.0,4.928571428571428,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-10-01,OM,travel,22,0,0,47,0,0.0,15.0,2.0,0.0,1.6666666666666665,10.666666666666666,0.0,0.0,6.249999999999999,0.0,13.749999999999998,0.0,21.111111111111107,2.222222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-11-01,OM,travel,10,0,0,84,0,0.0,18.0,0.0,0.0,17.0,48.0,0.0,0.0,17.0,0.0,38.25,0.0,35.61904761904762,8.904761904761905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-12-01,OM,travel,0,0,0,41,0,1.0,15.0,3.0,0.0,13.714285714285714,22.285714285714285,0.0,0.0,8.685714285714285,0.0,18.742857142857144,0.0,31.108013937282227,8.362369337979093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
