date,ISO,topic,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,أجرة السفر جوا1,قافلة,محطة,حافلة,أمتعة السفر,حافلة2,الفندق,نزل,شقة مستأجرة,حركة السير,الفندق3,تذكرة,فندق صغير,القيادة,أجرة الطيران,تذكرة4,الطرق,شاحنة,امشي الى إسرائيل,امشي الى لبنان,شاحنة5,امشي الى الأردن,امشي الى العراق,امشي الى تركيا,امشي الى فلسطين,امشي الى الأردن6,امشي الى سوريا,امشي الى مصر
2021-02-01,LB,travel,25,0,0,61,0,0,0,16,0,0,0,20,39,0,0,43,42,0,33,0,17,67,5,0,0,20,0,0,0,0,0,0,0
2021-03-01,LB,travel,33,0,0,0,0,0,0,24,0,0,0,17,57,0,0,36,35,0,58,0,14,84,8,0,0,35,0,0,0,0,0,0,0
2021-04-01,LB,travel,0,0,0,22,0,0,0,31,4,0,6,19,92,0,0,41,39,0,72,0,16,48,4,0,0,15,0,0,0,0,0,0,0
2021-05-01,LB,travel,0,0,0,31,0,0,0,45,0,0,0,28,69,0,0,62,64,0,70,0,25,50,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,LB,travel,0,0,0,0,0,0,2,63,0,0,0,31,40,0,0,69,52,0,91,0,21,50,12,0,0,49,0,0,0,0,0,0,0
2021-07-01,LB,travel,0,0,0,44,0,0,3,53,8,0,12,21,34,0,0,45,45,0,70,0,18,39,7,0,0,27,0,0,0,0,0,0,0
2021-08-01,LB,travel,36,0,0,42,0,0,0,100,0,0,0,33,51,0,0,72,82,0,63,0,33,27,9,0,0,37,0,0,0,0,0,0,0
2021-09-01,LB,travel,0,0,0,56,0,0,5,80,0,0,0,18,54,0,0,39,38,0,37,0,15,34,6,0,0,24,0,0,0,0,0,0,0
2021-10-01,LB,travel,25,0,0,0,0,0,0,27,5,0,9,26,80,0,0,58,38,0,61,0,15,18,10,0,0,42,0,0,0,0,0,0,0
2021-11-01,LB,travel,29,0,0,0,0,0,0,29,0,0,0,21,54,0,0,45,40,0,71,0,16,36,0,0,0,0,0,0,0,0,0,0,0
2021-12-01,LB,travel,24,0,0,27,0,0,3,34,0,0,0,30,46,0,0,66,70,0,0,0,28,38,8,0,0,31,0,0,0,0,0,0,0
2022-01-01,LB,travel,0,0,0,0,0,0,3,33,0,0,0,20,59,0,0,44,11,0,47,0,5,44,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,LB,travel,0,0,0,89,0,0,2,30,0,0,0,19,50,0,0,41,53,0,93,0,21,34,0,0,0,0,0,0,0,0,0,0,0
2022-03-01,LB,travel,37,0,0,20,0,0,0,43,3,0,5,28,58,0,0,62,33,0,62,0,13,40,7,0,0,28,0,0,0,0,0,0,0
2022-04-01,LB,travel,36,0,0,79,0,0,0,29,3,0,5,18,95,0,0,40,41,0,51,0,16,26,10,0,0,40,0,0,0,0,0,0,0
2022-05-01,LB,travel,0,0,0,21,0,0,0,35,3,0,4,28,61,0,0,62,53,0,64,0,21,32,0,0,0,0,0,0,0,0,0,0,0
2022-06-01,LB,travel,0,0,0,0,0,0,0,30,2,0,4,23,60,0,0,50,36,0,99,0,14,30,6,0,0,26,0,0,0,0,0,0,0
2022-07-01,LB,travel,0,0,0,46,0,0,3,32,3,0,5,24,55,0,0,54,58,0,53,0,23,35,13,0,0,53,0,0,0,0,0,0,0
2022-08-01,LB,travel,25,0,0,50,0,0,4,33,0,0,0,28,68,0,0,62,69,0,42,0,28,35,9,0,0,39,0,0,0,0,0,0,0
2022-09-01,LB,travel,0,0,0,92,0,0,0,12,0,0,0,21,56,0,0,46,42,0,58,0,17,33,5,0,0,21,0,0,0,0,0,0,0
2022-10-01,LB,travel,33,0,0,58,0,0,6,31,2,0,4,19,75,0,0,41,49,0,40,0,20,27,7,0,0,30,0,0,0,0,0,0,0
2022-11-01,LB,travel,19,0,0,19,0,0,2,19,0,0,0,15,47,0,0,34,48,0,50,0,19,22,11,0,0,44,0,0,0,0,0,0,0
2022-12-01,LB,travel,19,0,0,45,0,0,0,24,0,0,0,22,47,0,0,48,71,0,63,0,28,25,10,0,0,41,0,0,0,0,0,0,0
2023-01-01,LB,travel,34,0,0,35,0,0,0,17,5,0,7,7,63,0,0,15,62,0,57,0,25,33,12,0,0,49,0,0,0,0,0,0,0
2023-02-01,LB,travel,0,0,0,15,0,0,4,20,0,0,0,14,65,0,0,30,44,0,38,0,18,27,24,0,0,100,0,0,0,0,0,0,0
2023-03-01,LB,travel,0,0,0,17,0,0,2,27,2,0,3,16,98,0,0,35,48,0,44,0,19,33,6,0,0,23,0,0,0,0,0,0,0
2023-04-01,LB,travel,0,0,0,28,0,0,4,23,2,0,3,11,100,0,0,25,32,0,22,0,13,27,9,0,0,36,0,0,0,0,0,0,0
2023-05-01,LB,travel,0,0,0,52,0,0,0,20,3,0,5,24,54,0,0,52,39,0,81,0,15,34,17,0,0,69,0,0,0,0,0,0,0
