date,ISO,topic,مكان السكن,مكان آمن,لاجئ,حق اللجوء السياسي,اسعاف,لاجئ1,الطريق الآمن,طريق آمن,ممر آمن,يجب أن أغادر,الطريق الآمن2,مخرج,ساعدني في الخروج,كيف تغادر غدا,الهروب من سوريا,الطريق الآمن3,كيف الهروب من سوريا,كيف تغادر سوريا,مغادرة سوريا,الانتقال إلى إسرائيل,الطريق الآمن4,الانتقال إلى لبنان,الانتقال إلى الأردن,الانتقال إلى العراق,الانتقال إلى تركيا,الطريق الآمن5,الهروب من إسرائيل,كيف الهروب من إسرائيل,كيف تغادر إسرائيل,مغادرة إسرائيل,الطريق الآمن6,الانتقال إلى فلسطين,الانتقال إلى سوريا,الانتقال إلى مصر,الهروب من لبنان,الطريق الآمن7,كيف الهروب من لبنان,كيف تغادر لبنان,مغادرة لبنان,الهروب من الأردن,الطريق الآمن8,كيف الهروب من الأردن,كيف تغادر الأردن,مغادرة الأردن,الانتقال إلى السعودية,الطريق الآمن9,الهروب من العراق,كيف الهروب من العراق,كيف تغادر العراق,مغادرة العراق,الطريق الآمن10,الانتقال إلى الكويت
2019-10-01,IQ,generic_terms,0,0,0,0,100,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-11-01,IQ,generic_terms,0,0,0,0,97,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-12-01,IQ,generic_terms,0,0,10,0,44,23,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-01-01,IQ,generic_terms,0,0,17,0,47,40,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-02-01,IQ,generic_terms,0,0,0,0,81,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-03-01,IQ,generic_terms,0,0,0,0,75,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-04-01,IQ,generic_terms,0,0,22,0,59,52,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-05-01,IQ,generic_terms,0,0,11,0,64,27,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-06-01,IQ,generic_terms,0,0,0,0,33,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-07-01,IQ,generic_terms,0,0,10,0,52,23,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-08-01,IQ,generic_terms,0,0,0,0,39,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-09-01,IQ,generic_terms,0,0,15,0,47,35,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,IQ,generic_terms,0,0,0,0,59,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-11-01,IQ,generic_terms,0,0,0,0,57,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-12-01,IQ,generic_terms,0,0,19,0,47,45,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-01-01,IQ,generic_terms,0,0,7,0,56,18,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-02-01,IQ,generic_terms,0,0,0,0,43,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-03-01,IQ,generic_terms,0,0,15,0,48,37,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-04-01,IQ,generic_terms,0,0,13,0,53,32,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-05-01,IQ,generic_terms,0,0,0,0,60,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-06-01,IQ,generic_terms,0,0,0,0,33,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-01,IQ,generic_terms,0,0,11,0,29,25,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-01,IQ,generic_terms,0,0,0,0,72,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-09-01,IQ,generic_terms,0,0,11,0,34,26,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
