,geoName,geoCode,a,the,and,be,of,in,to,Київ,Харків,Одеса,Дніпро,Донецьк,Запоріжжя,Львів,Кривий Ріг,Миколаїв,Севастополь,Маріуполь,Луганськ,Вінниця,Макіївка,Сімферополь,Чернігів,Херсон,Полтава,Хмельницький,Черкаси,Чернівці,Житомир,Суми,Рівне,Горлівка,Івано-Франківськ,Тернопіль,Ужгород,Кропивницький,луцьк,Біла Церква
0,Cherkas'ka oblast,UA-71,0.03873744619799139,0.1764705882352941,0.04734576757532281,0.03873744619799139,0.1291248206599713,0.11385199240986715,0.1366223908918406,0.11385199240986715,0.02846299810246679,0.0,0.0348297213622291,0.0,0.020897832817337463,0.024264705882352938,0.019852941176470587,0.0,0.0,0.0,0.0,0.01745313510019392,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0320855614973262,0.0,0.02062643239113827,0.0,0.0,0.0,0.0,0.0,0.0196078431372549
1,Chernihivs'ka oblast,UA-74,0.1976284584980237,0.45454545454545453,0.07905138339920949,0.0,0.25691699604743085,0.0,0.2813852813852814,0.34632034632034636,0.0,0.0,0.0,0.0,0.0,0.0505050505050505,0.0,0.0,0.0,0.09469696969696968,0.0,0.08207070707070707,0.0,0.0,1.0,0.0,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08322663252240717,0.0,0.10243277848911651,0.0
2,Chernivets'ka oblast,UA-77,0.02631578947368421,0.05263157894736842,0.02631578947368421,0.013850415512465374,0.019390581717451522,0.023255813953488375,0.04651162790697675,0.0,0.0,0.0,0.011379800853485063,0.007112375533428165,0.0,0.01662049861495845,0.0,0.0,0.0,0.0,0.0,0.005205320994794679,0.0,0.0,0.014492753623188406,0.0,0.009153318077803204,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01077996195307546,0.0,0.0,0.0,0.0
3,Crimea,UA-43,0.0,0.7543859649122807,0.48496240601503765,0.08980785296574771,0.4670008354218881,0.3131413439258524,0.3558424362793777,0.0,0.0,0.07543859649122808,0.11315789473684212,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.088174982911825,0.0,0.1371610845295056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09323871476443919,0.0,0.0
4,Dnipropetrovsk Oblast,UA-12,0.27149321266968324,0.8823529411764706,0.2941176470588235,0.09049773755656108,0.7239819004524887,0.5595408895265422,0.6241032998565279,0.0860832137733142,0.0,0.0196078431372549,1.0,0.0,0.058823529411764705,0.078781512605042,0.48844537815126043,0.04726890756302521,0.078781512605042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06456241032998565,0.05380200860832137,0.0430416068866571,0.032281205164992825,0.0,0.0,0.0,0.0,0.0307797537619699,0.020519835841313266,0.0923392612859097,0.0,0.0
5,Donetsk Oblast,UA-14,0.71875,1.0,0.5625,0.0,0.84375,0.6956521739130435,0.4782608695652174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33333333333333337,0.0,0.0,0.14942528735632182,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1168831168831169,0.0,0.18181818181818182,0.1764705882352941,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0
6,Ivano-Frankivs'ka oblast,UA-26,0.12531328320802004,0.19047619047619047,0.06516290726817042,0.0,0.12030075187969924,0.13533834586466165,0.13032581453634084,0.045112781954887216,0.0,0.019789734075448363,0.03710575139146568,0.0,0.0,0.141991341991342,0.0,0.0,0.013852813852813853,0.03508771929824561,0.0,0.02506265664160401,0.0,0.0310077519379845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0310077519379845,0.0,0.0,0.0
7,Kharkiv Oblast,UA-63,0.3833333333333333,0.657142857142857,0.25555555555555554,0.073015873015873,0.4563492063492063,0.45714285714285713,0.6857142857142857,0.05714285714285714,1.0,0.0,0.11596638655462183,0.0,0.0,0.0,0.12517006802721087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12517006802721087,0.0,0.0,0.07125645438898451,0.06333907056798622,0.0,0.0,0.0,0.0,0.0,0.0,0.11596638655462183,0.0,0.0
8,Khersons'ka oblast,UA-65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038888888888888883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0026582278481012654,0.0,0.0,0.0,0.0031111111111111114,0.005777777777777778,0.0033333333333333335,0.0,0.0
9,Khmel'nyts'ka oblast,UA-68,0.06337848198313314,0.08791208791208792,0.012266802964477384,0.0,0.04088934321492461,0.03680040889343215,0.06951188346537183,0.010222335803731152,0.0,0.0,0.01733477789815818,0.0,0.01857297631945519,0.012397858551704707,0.012397858551704707,0.0,0.0,0.0,0.0,0.027761711972238284,0.0,0.0,0.0,0.011988011988011988,0.0,1.0,0.0,0.01098901098901099,0.0,0.0,0.047337278106508875,0.0,0.0,0.0,0.047337278106508875,0.0,0.0,0.0
10,Kirovohrads'ka oblast,UA-35,0.22312556458897922,0.23456790123456792,0.0,0.0,0.11442336645588679,0.1648314981648315,0.19019019019019018,0.04437771104437772,0.0,0.0,0.02932098765432099,0.032578875171467764,0.02932098765432099,0.19777293633502785,0.0,0.0,0.02759622367465505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028991538354834236,0.0,0.0,0.0,0.07407407407407408,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,Kyiv city,UA-30,0.1223865374808771,0.3018867924528302,0.1223865374808771,0.01631820499745028,0.25293217746047936,0.22641509433962265,0.33962264150943394,1.0,0.018867924528301886,0.025460331893612183,0.02909752216412821,0.0,0.007274380541032053,0.04728347351670834,0.0,0.0036371902705160265,0.01091157081154808,0.0,0.0,0.026251025430680888,0.0,0.0,0.00686106346483705,0.00686106346483705,0.0274442538593482,0.0035103115401491883,0.01755155770074594,0.010530934620447565,0.01755155770074594,0.0,0.019688269073010665,0.0,0.006562756357670222,0.01658718639850715,0.0066348745594028615,0.0,0.0066348745594028615,0.012578616352201259
12,Kyivs'ka oblast,UA-32,0.1933404940923738,0.489795918367347,0.1933404940923738,0.03866809881847476,0.37379162191192267,0.2653061224489796,0.2857142857142857,1.0,0.0,0.0,0.09329446064139943,0.0,0.0,0.09674981103552532,0.018140589569160998,0.0,0.0,0.03023431594860166,0.04232804232804233,0.04232804232804233,0.0,0.0,0.0,0.038523274478330656,0.022013299701903234,0.02577873254564984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5986394557823129
13,Luhans'ka oblast,UA-09,0.004666666666666667,0.01,0.0,0.0,0.007555555555555556,0.0,0.007543859649122807,0.0,0.0,0.008478260869565216,0.0,0.0032608695652173916,0.0,0.01702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
14,Lviv Oblast,UA-46,0.04424522845575477,0.0989010989010989,0.028629265471370735,0.005205320994794679,0.08328513591671487,0.07975895072669266,0.10847217298830203,0.025522864232541652,0.006380716058135413,0.003260475787948315,0.00652095157589663,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.004253810705423609,0.0031903580290677065,0.0,0.0,0.0,0.003058796873229863,0.011500127779197546,0.0,0.0,0.004600051111679018,0.003410382720727548,0.005683971201212581,0.0,0.005683971201212581,0.00723666577325114,0.0024122219244170464,0.004824443848834093,0.00723666577325114,0.002018389773491814
15,Mykolaivs'ka oblast,UA-48,0.37862318840579706,0.2638888888888889,0.1606280193236715,0.0,0.3442028985507246,0.04979035639412998,0.08962264150943397,0.09460167714884696,0.0,0.04295865633074935,0.0,0.0,0.0,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27465986394557823,0.0,0.0,0.0,0.0,0.05026455026455027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Odessa Oblast,UA-51,0.18166014776184267,0.6440677966101694,0.18166014776184267,0.03302911777488048,0.611038678835289,0.35130970724191063,0.43913713405238824,0.029275808936825885,0.0,1.0,0.05084745762711865,0.0,0.0,0.09425382389417114,0.0,0.0,0.04712691194708557,0.0,0.0,0.03389830508474576,0.0,0.054981397271599834,0.03141794129805705,0.054981397271599834,0.0,0.0,0.04847822125022781,0.0,0.0,0.02800294767870302,0.02800294767870302,0.0,0.0,0.07403078121955971,0.022209234365867914,0.0,0.0,0.0
17,Poltavs'ka oblast,UA-53,0.036467236467236465,0.08888888888888889,0.04786324786324787,0.0,0.0547008547008547,0.03685636856368564,0.049864498644986446,0.028184281842818428,0.013008130081300813,0.0,0.004993757802746568,0.00599250936329588,0.0,0.010986267166042448,0.0,0.0,0.0,0.0,0.007729468599033816,0.0,0.0,0.0,0.0,0.022222222222222223,1.0,0.0,0.004678362573099415,0.0,0.0,0.005108556832694763,0.008173690932311623,0.0,0.0,0.0,0.0,0.0,0.007729468599033816,0.005673758865248227
18,Rivnens'ka oblast,UA-56,0.029644268774703556,0.08695652173913043,0.025691699604743084,0.0,0.05533596837944664,0.0481036077705828,0.02960222016651249,0.020351526364477335,0.0,0.011594202898550723,0.03478260869565217,0.0,0.011594202898550723,0.019198193111236588,0.0,0.006775832862789384,0.0,0.0,0.0,0.007561436672967864,0.0,0.0,0.0,0.0,0.011857707509881422,0.007561436672967864,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015050167224080266,0.01839464882943144,0.0,0.04682274247491639,0.0
