date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,مأوى3,وثائق,قنصلية,سفارة,حماية,قنصلية4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2021-08-01,LB,safe_places,50,0,4,2,2,49,0,0,0,0,0,0,0,0,23,0,4,0,100,43,0,0,0,0,0,0,0
2021-09-01,LB,safe_places,46,0,6,4,2,78,0,4,0,0,0,2,0,0,18,5,7,0,90,27,0,0,0,0,0,0,0
2021-10-01,LB,safe_places,46,0,7,3,1,80,3,2,0,0,0,2,0,0,12,7,6,5,63,25,52,0,0,0,0,0,0
2021-11-01,LB,safe_places,49,0,7,3,1,84,9,3,0,10,5,3,0,0,13,9,0,4,76,38,41,0,0,0,0,0,0
2021-12-01,LB,safe_places,51,0,6,5,2,70,0,5,0,0,0,2,0,0,11,6,0,6,69,29,64,0,0,0,0,0,0
2022-01-01,LB,safe_places,54,0,7,5,2,85,5,0,0,7,3,4,0,0,20,12,0,7,45,57,71,0,0,0,0,0,0
2022-02-01,LB,safe_places,52,0,7,4,2,88,0,8,0,5,2,1,0,0,41,4,0,0,58,48,0,0,0,0,0,0,0
2022-03-01,LB,safe_places,51,0,7,4,2,80,1,3,0,13,6,0,0,0,30,0,5,0,50,41,0,0,0,0,0,0,0
2022-04-01,LB,safe_places,73,0,5,4,2,65,5,4,0,0,0,2,0,0,33,8,9,0,46,47,0,0,0,0,0,0,0
2022-05-01,LB,safe_places,43,0,8,3,1,100,0,0,0,6,3,0,0,0,26,0,0,0,48,51,0,0,0,0,0,0,0
2022-06-01,LB,safe_places,49,0,5,4,1,63,0,3,0,8,4,0,0,0,100,0,0,6,49,51,66,0,0,0,0,0,0
2022-07-01,LB,safe_places,47,0,4,3,2,51,0,0,0,2,1,3,0,0,60,8,0,7,47,49,75,0,0,0,0,0,0
2022-08-01,LB,safe_places,45,0,6,5,2,67,2,0,0,0,0,2,0,0,63,6,0,5,58,41,55,0,0,0,0,0,0
2022-09-01,LB,safe_places,50,0,5,3,1,66,0,5,0,0,0,0,0,0,66,0,5,3,59,44,32,0,0,0,0,0,0
2022-10-01,LB,safe_places,52,0,4,4,1,50,0,0,0,5,2,2,0,0,44,7,6,0,49,45,0,0,0,0,0,0,0
2022-11-01,LB,safe_places,47,0,4,3,1,48,3,0,0,4,2,4,0,0,30,11,3,2,36,48,25,0,0,0,0,0,0
2022-12-01,LB,safe_places,47,0,5,4,2,61,0,2,0,0,0,0,0,0,27,0,0,5,36,43,54,0,0,0,0,0,0
2023-01-01,LB,safe_places,50,0,6,4,1,70,0,0,0,3,1,2,0,0,42,5,0,0,48,42,0,0,0,0,0,0,0
2023-02-01,LB,safe_places,44,0,5,3,2,61,0,5,0,4,2,1,0,0,30,3,4,0,48,50,0,0,0,0,0,0,0
2023-03-01,LB,safe_places,55,0,5,4,1,64,0,0,0,3,1,1,0,0,23,3,6,2,47,41,25,0,0,0,0,0,0
2023-04-01,LB,safe_places,55,0,6,3,1,71,0,0,0,0,0,2,0,0,16,5,11,4,27,55,44,0,0,0,0,0,0
2023-05-01,LB,safe_places,46,0,5,4,1,63,2,2,0,8,4,1,0,0,58,2,3,3,57,56,35,0,0,0,0,0,0
