date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,ملجأ4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2021-08-01,SY,safe_places,47,0,5,1,0,69,2,1,0,9,3,2,0,0,10,8,7,0,21,29,50,0,0,0,0,0,0
2021-09-01,SY,safe_places,47,0,5,1,0,70,0,5,0,4,1,0,0,0,6,3,0,3,21,27,20,0,0,0,0,0,0
2021-10-01,SY,safe_places,55,0,4,1,0,61,0,2,0,3,1,1,0,0,10,3,9,0,16,35,17,0,0,0,0,0,0
2021-11-01,SY,safe_places,51,0,5,1,0,70,0,0,0,2,1,1,0,0,15,2,0,0,10,41,13,0,0,0,0,0,0
2021-12-01,SY,safe_places,52,0,5,1,0,69,0,2,0,8,3,0,0,0,29,7,0,2,12,31,43,0,0,0,0,0,0
2022-01-01,SY,safe_places,50,0,6,1,0,88,0,2,0,3,1,1,0,0,48,3,6,0,13,31,17,0,0,0,0,0,0
2022-02-01,SY,safe_places,51,0,6,2,0,92,0,3,0,2,1,1,0,0,67,2,2,0,15,45,10,0,0,0,0,0,0
2022-03-01,SY,safe_places,50,0,6,2,0,91,0,0,0,1,0,1,0,0,62,1,0,0,13,40,7,0,0,0,0,0,0
2022-04-01,SY,safe_places,65,0,6,2,0,88,0,2,0,2,1,1,0,0,64,2,5,0,11,38,13,0,0,0,0,0,0
2022-05-01,SY,safe_places,43,0,7,1,0,100,0,0,0,4,2,1,0,0,100,3,0,2,14,33,22,0,0,0,0,0,0
2022-06-01,SY,safe_places,47,0,6,2,0,95,3,2,0,2,1,0,0,0,28,1,0,3,16,36,10,0,0,0,0,0,0
2022-07-01,SY,safe_places,40,0,6,1,0,85,0,2,0,2,1,1,0,0,59,2,1,2,12,23,13,0,0,0,0,0,0
2022-08-01,SY,safe_places,44,0,6,1,0,91,0,2,0,0,0,0,0,0,39,0,1,1,16,30,0,0,0,0,0,0,0
2022-09-01,SY,safe_places,48,0,6,1,0,97,2,0,0,0,0,1,0,0,27,0,0,1,15,28,0,0,0,0,0,0,0
2022-10-01,SY,safe_places,52,0,6,2,0,84,2,2,0,5,2,0,0,0,16,5,1,1,18,50,31,0,0,0,0,0,0
2022-11-01,SY,safe_places,54,0,6,1,0,88,0,5,0,2,1,0,0,0,17,2,0,0,22,31,11,0,0,0,0,0,0
2022-12-01,SY,safe_places,46,0,6,1,0,85,2,1,0,5,2,1,0,0,14,4,2,2,10,26,27,0,0,0,0,0,0
2023-01-01,SY,safe_places,45,0,6,2,0,88,0,5,0,3,1,1,0,0,28,2,0,3,14,32,15,0,0,0,0,0,0
2023-02-01,SY,safe_places,41,0,6,2,0,84,0,3,0,7,3,2,0,0,20,6,2,2,14,26,41,0,0,0,0,0,0
2023-03-01,SY,safe_places,50,0,6,2,0,85,0,0,0,3,1,1,0,0,16,3,0,1,10,33,20,0,0,0,0,0,0
2023-04-01,SY,safe_places,49,0,6,1,0,94,0,3,0,3,1,1,0,0,12,3,3,0,12,33,17,0,0,0,0,0,0
2023-05-01,SY,safe_places,45,0,6,1,0,87,1,0,0,3,1,0,0,0,20,3,2,2,19,28,18,0,0,0,0,0,0
