date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,رخصة الشغل1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,رخصة الشغل2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,رخصة الشغل3,وثائق,قنصلية,سفارة,حماية,رخصة الشغل4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,رخصة الشغل5,يجب المغادرة
2021-08-01,TD,safe_places,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0
2021-09-01,TD,safe_places,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-10-01,TD,safe_places,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-11-01,TD,safe_places,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0
2021-12-01,TD,safe_places,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,20,0,0,0,0,0,0,0
2022-01-01,TD,safe_places,27,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-02-01,TD,safe_places,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0
2022-03-01,TD,safe_places,25,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2022-04-01,TD,safe_places,18,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-05-01,TD,safe_places,29,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0
2022-06-01,TD,safe_places,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,32,0,0,0,0,0,0,0,0
2022-07-01,TD,safe_places,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-08-01,TD,safe_places,19,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
2022-09-01,TD,safe_places,74,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0
2022-10-01,TD,safe_places,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,17,0,0,0,0,0,0,0,0
2022-11-01,TD,safe_places,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
2022-12-01,TD,safe_places,49,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,11,0,0,0,0,0,0,0
2023-01-01,TD,safe_places,51,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-02-01,TD,safe_places,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,13,0,0,0,0,0,0,0
2023-03-01,TD,safe_places,44,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,29,0,0,0,0,0,0,0
2023-04-01,TD,safe_places,38,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023-05-01,TD,safe_places,37,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,37,0,0,0,0,0,0,0
