date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,ملجأ4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2021-07-01,IQ,safe_places,40,0,4,1,0,61,2,1,0,0,0,0,0,0,26,0,11,18,24,59,0,0,0,0,0,0,0
2021-08-01,IQ,safe_places,42,0,3,1,0,57,2,2,0,2,6,7,0,0,34,4,6,9,37,50,9,0,0,0,0,0,0
2021-09-01,IQ,safe_places,42,0,6,1,0,92,6,2,0,2,5,8,0,0,39,3,7,16,25,55,7,0,0,0,0,0,0
2021-10-01,IQ,safe_places,42,0,5,1,0,82,0,0,0,2,6,3,0,0,32,4,20,8,26,51,8,0,0,0,0,0,0
2021-11-01,IQ,safe_places,42,0,6,1,0,98,3,3,0,0,0,4,0,0,29,0,8,10,18,51,0,0,0,0,0,0,0
2021-12-01,IQ,safe_places,42,0,4,1,0,68,0,0,0,6,18,9,0,0,20,11,9,4,8,57,26,0,0,0,0,0,0
2022-01-01,IQ,safe_places,41,0,5,1,0,77,1,2,0,0,0,6,0,0,35,0,3,7,26,54,0,0,0,0,0,0,0
2022-02-01,IQ,safe_places,44,0,6,1,0,93,0,1,0,9,26,5,0,0,45,16,10,7,27,56,38,0,0,0,0,0,0
2022-03-01,IQ,safe_places,43,0,5,1,0,88,2,4,0,8,22,4,0,0,40,14,17,10,20,75,32,0,0,0,0,0,0
2022-04-01,IQ,safe_places,51,0,5,1,0,87,1,2,0,4,11,7,0,0,48,7,8,8,19,60,15,0,0,0,0,0,0
2022-05-01,IQ,safe_places,39,0,6,1,0,100,0,1,0,2,6,5,0,0,48,4,7,7,23,58,8,0,0,0,0,0,0
2022-06-01,IQ,safe_places,42,0,6,1,0,93,1,1,0,2,6,9,0,0,55,4,10,13,27,69,9,0,0,0,0,0,0
2022-07-01,IQ,safe_places,41,0,6,1,0,98,0,2,0,4,10,5,0,0,55,7,11,10,30,42,15,0,0,0,0,0,0
2022-08-01,IQ,safe_places,39,0,6,1,0,94,1,2,0,4,12,6,0,0,51,8,6,14,25,44,18,0,0,0,0,0,0
2022-09-01,IQ,safe_places,38,0,5,1,0,84,0,2,0,3,8,5,0,0,47,5,8,9,26,56,11,0,0,0,0,0,0
2022-10-01,IQ,safe_places,36,0,4,1,0,73,1,1,0,3,10,0,0,0,31,6,7,9,23,50,14,0,0,0,0,0,0
2022-11-01,IQ,safe_places,33,0,4,1,0,71,1,2,0,3,8,6,0,0,28,5,3,8,17,42,11,0,0,0,0,0,0
2022-12-01,IQ,safe_places,36,0,5,1,0,80,1,0,0,4,11,5,0,0,31,7,8,5,18,43,16,0,0,0,0,0,0
2023-01-01,IQ,safe_places,32,0,5,1,0,81,1,3,0,4,11,6,0,0,43,7,5,7,23,49,15,0,0,0,0,0,0
2023-02-01,IQ,safe_places,34,0,6,1,0,92,3,6,0,8,22,3,0,0,31,14,10,14,18,50,31,0,0,0,0,0,0
2023-03-01,IQ,safe_places,41,0,5,1,0,83,0,4,0,16,45,9,0,0,100,28,6,5,13,47,66,0,0,0,0,0,0
2023-04-01,IQ,safe_places,43,0,6,1,0,91,3,3,0,4,10,0,0,0,35,7,7,9,20,53,15,0,0,0,0,0,0
2023-05-01,IQ,safe_places,38,0,5,1,0,86,3,2,0,4,12,0,0,0,50,7,10,12,18,55,17,0,0,0,0,0,0
