date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,قنصلية4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2021-08-01,SD,safe_places,38,0,2,1,0,50,0,10,0,3,9,0,0,0,26,7,6,26,30,60,77,0,0,0,0,0,0
2021-09-01,SD,safe_places,38,0,2,1,0,55,0,6,0,0,0,14,0,0,12,0,0,21,46,45,61,0,0,0,0,0,0
2021-10-01,SD,safe_places,42,0,1,0,0,37,0,0,0,0,0,0,0,0,26,0,17,0,63,54,0,0,0,0,0,0,0
2021-11-01,SD,safe_places,40,0,2,1,0,42,0,13,0,0,0,0,0,0,0,0,0,0,32,32,0,0,0,0,0,0,0
2021-12-01,SD,safe_places,42,0,2,0,0,57,0,0,0,3,8,9,0,0,28,7,13,7,43,38,20,0,0,0,0,0,0
2022-01-01,SD,safe_places,48,0,3,1,0,69,4,4,0,12,36,10,0,0,0,28,0,9,61,41,26,0,0,0,0,0,0
2022-02-01,SD,safe_places,51,0,2,1,0,58,0,14,0,8,23,21,0,0,43,18,6,0,60,80,0,0,0,0,0,0,0
2022-03-01,SD,safe_places,49,0,4,1,0,100,2,4,0,6,17,8,0,0,54,14,0,0,59,51,0,0,0,0,0,0,0
2022-04-01,SD,safe_places,94,0,3,1,0,74,0,0,0,5,14,36,0,0,31,11,0,8,20,68,22,0,0,0,0,0,0
2022-05-01,SD,safe_places,49,0,3,1,0,84,0,13,0,3,10,0,0,0,48,8,0,9,63,44,27,0,0,0,0,0,0
2022-06-01,SD,safe_places,45,0,3,0,0,86,0,0,0,10,30,0,0,0,75,23,0,8,70,83,24,0,0,0,0,0,0
2022-07-01,SD,safe_places,44,0,2,0,0,63,0,3,0,3,9,0,0,0,94,7,0,0,63,49,0,0,0,0,0,0,0
2022-08-01,SD,safe_places,49,0,2,1,0,58,2,0,0,0,0,0,0,0,84,0,10,6,86,76,17,0,0,0,0,0,0
2022-09-01,SD,safe_places,50,0,3,0,0,78,0,6,0,0,0,7,0,0,26,0,0,17,45,90,51,0,0,0,0,0,0
2022-10-01,SD,safe_places,47,0,3,0,0,75,6,4,0,0,0,0,0,0,8,0,10,0,48,84,0,0,0,0,0,0,0
2022-11-01,SD,safe_places,41,0,3,0,0,74,3,0,0,0,0,22,0,0,35,0,0,6,56,56,17,0,0,0,0,0,0
2022-12-01,SD,safe_places,49,0,3,1,0,73,2,0,0,5,16,7,0,0,49,13,0,21,43,74,63,0,0,0,0,0,0
2023-01-01,SD,safe_places,48,0,2,1,0,59,3,3,0,0,0,0,0,0,51,0,16,15,74,67,45,0,0,0,0,0,0
2023-02-01,SD,safe_places,45,0,3,1,0,75,0,3,0,0,0,16,0,0,16,0,11,0,66,68,0,0,0,0,0,0,0
2023-03-01,SD,safe_places,60,0,3,0,0,76,6,4,0,3,9,8,0,0,31,7,0,0,49,55,0,0,0,0,0,0,0
2023-04-01,SD,safe_places,71,0,4,1,0,94,0,4,0,8,24,0,0,0,69,19,0,0,65,64,0,0,0,0,0,0,0
2023-05-01,SD,safe_places,46,0,2,0,0,64,0,12,0,0,0,33,0,0,38,0,0,0,65,34,0,0,0,0,0,0,0
