date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,ملجأ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,ملجأ3,وثائق,قنصلية,سفارة,حماية,ملجأ4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2021-08-01,IL,safe_places,50,0,7,1,0,58,0,2,0,0,0,16,0,0,22,0,13,0,46,71,0,0,0,0,0,0,0
2021-09-01,IL,safe_places,70,0,9,1,0,74,0,0,0,2,15,0,0,0,44,14,0,20,36,81,15,0,0,0,0,0,0
2021-10-01,IL,safe_places,74,0,9,1,0,72,0,0,0,1,10,16,0,0,20,9,0,13,0,36,10,0,0,0,0,0,0
2021-11-01,IL,safe_places,74,0,12,1,1,100,0,0,0,1,11,0,0,0,36,10,0,0,18,64,11,0,0,0,0,0,0
2021-12-01,IL,safe_places,73,0,9,1,0,74,0,0,0,3,23,0,0,0,0,21,0,0,28,96,23,0,0,0,0,0,0
2022-01-01,IL,safe_places,60,0,8,1,0,65,0,0,0,1,10,41,0,0,30,9,0,0,0,64,10,0,0,0,0,0,0
2022-02-01,IL,safe_places,67,0,9,2,0,70,0,2,0,2,15,0,0,0,37,14,0,0,38,79,15,0,0,0,0,0,0
2022-03-01,IL,safe_places,70,0,10,1,0,78,0,1,0,1,10,0,0,0,40,9,0,0,16,73,10,0,0,0,0,0,0
2022-04-01,IL,safe_places,72,0,8,1,0,61,0,0,0,2,13,0,0,0,45,12,8,0,0,85,13,0,0,0,0,0,0
2022-05-01,IL,safe_places,50,0,12,1,0,95,0,0,0,1,8,0,0,0,76,8,0,0,24,44,8,0,0,0,0,0,0
2022-06-01,IL,safe_places,56,0,8,1,0,65,0,0,0,1,9,14,0,0,72,8,21,18,15,44,9,0,0,0,0,0,0
2022-07-01,IL,safe_places,50,0,8,1,0,67,0,0,0,0,0,0,0,0,30,0,8,0,16,38,0,0,0,0,0,0,0
2022-08-01,IL,safe_places,47,0,9,1,0,76,0,0,0,0,0,0,0,0,58,0,0,0,44,51,0,0,0,0,0,0,0
2022-09-01,IL,safe_places,48,0,6,1,0,46,0,0,0,0,0,0,0,0,49,0,0,0,25,58,0,0,0,0,0,0,0
2022-10-01,IL,safe_places,41,0,4,1,0,33,0,0,0,0,0,0,0,0,26,0,7,0,22,33,0,0,0,0,0,0,0
2022-11-01,IL,safe_places,36,0,3,1,0,27,0,1,0,2,20,0,0,0,29,18,13,0,25,40,20,0,0,0,0,0,0
2022-12-01,IL,safe_places,35,0,5,1,0,37,0,0,0,2,19,0,0,0,47,18,16,7,12,24,19,0,0,0,0,0,0
2023-01-01,IL,safe_places,36,0,3,1,0,24,0,3,0,0,0,0,0,0,35,0,0,0,0,19,0,0,0,0,0,0,0
2023-02-01,IL,safe_places,38,0,3,1,0,28,0,0,0,6,47,12,0,0,10,42,0,27,15,31,47,0,0,0,0,0,0
2023-03-01,IL,safe_places,39,0,2,1,0,19,0,0,0,0,0,0,0,0,16,0,0,0,0,26,0,0,0,0,0,0,0
2023-04-01,IL,safe_places,32,0,5,1,0,37,0,1,0,2,13,0,0,0,57,12,0,14,0,33,13,0,0,0,0,0,0
2023-05-01,IL,safe_places,33,0,4,1,0,29,0,0,0,2,13,0,0,0,41,12,0,19,0,33,13,0,0,0,0,0,0
