date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,إنقاذ2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,إنقاذ3,وثائق,قنصلية,سفارة,حماية,وثائق4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2021-08-01,LY,safe_places,26,0,3,0,0,65,7,0,0,0,0,39,0,0,24,0,0,0,4,15,0,0,0,0,0,0,0
2021-09-01,LY,safe_places,27,0,4,0,0,89,0,0,0,0,0,0,0,0,17,0,0,0,9,12,0,0,0,0,0,0,0
2021-10-01,LY,safe_places,25,0,4,1,0,79,3,2,0,0,9,0,0,0,20,2,3,0,8,13,31,0,0,0,0,0,0
2021-11-01,LY,safe_places,26,0,4,0,0,87,0,0,0,6,0,11,0,0,48,0,5,0,8,17,44,0,0,0,0,0,0
2021-12-01,LY,safe_places,26,0,3,0,0,73,5,0,0,0,0,0,0,0,58,0,3,0,9,19,24,0,0,0,0,0,0
2022-01-01,LY,safe_places,30,0,4,1,0,82,0,0,0,4,0,0,0,0,46,0,3,0,9,19,25,0,0,0,0,0,0
2022-02-01,LY,safe_places,32,0,4,1,0,92,0,5,0,0,18,25,0,0,33,3,4,0,9,24,35,0,0,0,0,0,0
2022-03-01,LY,safe_places,31,0,4,0,0,84,2,3,0,3,12,10,0,0,48,2,0,2,8,20,0,0,0,0,0,0,0
2022-04-01,LY,safe_places,54,0,4,0,0,87,4,3,0,0,10,0,0,0,48,2,0,0,7,14,0,0,0,0,0,0,0
2022-05-01,LY,safe_places,26,0,4,0,0,85,2,9,0,4,35,11,0,0,57,7,0,2,7,19,0,0,0,0,0,0,0
2022-06-01,LY,safe_places,30,0,4,1,0,79,0,7,0,0,26,0,0,0,61,5,2,4,9,21,18,0,0,0,0,0,0
2022-07-01,LY,safe_places,27,0,4,1,0,84,4,0,0,0,0,0,0,0,54,0,3,0,9,21,31,0,0,0,0,0,0
2022-08-01,LY,safe_places,28,0,4,0,0,79,0,3,0,2,13,8,0,0,60,2,3,0,13,18,26,0,0,0,0,0,0
2022-09-01,LY,safe_places,26,0,5,1,0,100,3,0,0,0,0,0,0,0,64,0,0,0,7,17,0,0,0,0,0,0,0
2022-10-01,LY,safe_places,25,0,4,1,0,78,0,0,0,0,0,0,0,0,53,0,3,2,12,16,28,0,0,0,0,0,0
2022-11-01,LY,safe_places,27,0,4,1,0,81,0,2,0,2,7,12,0,0,36,1,0,0,9,11,0,0,0,0,0,0,0
2022-12-01,LY,safe_places,27,0,3,0,0,67,0,0,0,2,0,0,0,0,32,0,2,0,8,16,20,0,0,0,0,0,0
2023-01-01,LY,safe_places,28,0,4,1,0,78,2,4,0,2,17,0,0,0,65,3,2,0,10,21,17,0,0,0,0,0,0
2023-02-01,LY,safe_places,26,0,4,1,0,83,7,2,0,3,8,0,0,0,51,1,0,1,5,19,0,0,0,0,0,0,0
2023-03-01,LY,safe_places,38,0,3,0,0,74,0,4,0,0,17,0,0,0,52,3,0,0,10,15,0,0,0,0,0,0,0
2023-04-01,LY,safe_places,35,0,4,1,0,93,0,4,0,2,15,16,0,0,49,3,5,0,8,15,48,0,0,0,0,0,0
2023-05-01,LY,safe_places,25,0,3,1,0,74,0,2,0,0,8,0,0,0,75,2,5,0,11,24,50,0,0,0,0,0,0
