date,ISO,topic,عمل,رخصة الشغل,عملة,مساعدة,الصليب الاحمر,عملة1,إعفاء,إنقاذ,"إسعاف,مساعدة إجتماعية",ملجأ,إعفاء2,مأوى,قدم طلبا,"تقديم طلب,دفع",جواز السفر,إعفاء3,وثائق,قنصلية,سفارة,حماية,وثائق4,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,أين الراحة5,يجب المغادرة
2021-08-01,JO,safe_places,26,0,2,0,0,64,5,2,0,2,14,6,0,0,54,8,0,4,49,61,0,0,0,0,0,0,0
2021-09-01,JO,safe_places,29,0,3,1,0,85,4,0,0,2,11,0,0,0,75,6,10,3,51,49,21,0,0,0,0,0,0
2021-10-01,JO,safe_places,28,0,2,1,0,70,2,0,0,2,5,6,0,0,64,3,47,0,21,58,100,0,0,0,0,0,0
2021-11-01,JO,safe_places,26,0,2,1,0,75,5,3,0,0,15,9,0,0,48,9,5,0,29,65,11,0,0,0,0,0,0
2021-12-01,JO,safe_places,27,0,2,0,0,71,2,0,0,0,7,8,0,0,54,4,7,2,38,51,15,0,0,0,0,0,0
2022-01-01,JO,safe_places,32,0,3,0,0,97,2,0,0,2,6,12,0,0,85,3,6,3,26,54,14,0,0,0,0,0,0
2022-02-01,JO,safe_places,28,0,3,1,0,87,4,5,0,2,13,5,0,0,74,7,8,4,34,54,17,0,0,0,0,0,0
2022-03-01,JO,safe_places,31,0,2,1,0,78,8,0,0,3,26,0,0,0,61,15,3,2,26,61,7,0,0,0,0,0,0
2022-04-01,JO,safe_places,39,0,2,1,0,71,5,1,0,0,15,4,0,0,63,9,4,2,22,58,9,0,0,0,0,0,0
2022-05-01,JO,safe_places,24,0,3,0,0,92,4,0,0,2,13,0,0,0,65,7,2,0,29,66,4,0,0,0,0,0,0
2022-06-01,JO,safe_places,24,0,3,0,0,91,6,0,0,2,18,11,0,0,80,10,3,2,35,70,6,0,0,0,0,0,0
2022-07-01,JO,safe_places,22,0,3,0,0,100,4,2,0,0,14,0,0,0,98,8,5,2,32,63,10,0,0,0,0,0,0
2022-08-01,JO,safe_places,23,0,3,0,0,88,4,0,0,2,12,3,0,0,92,7,3,0,41,61,7,0,0,0,0,0,0
2022-09-01,JO,safe_places,28,0,3,1,0,95,5,4,0,1,17,3,0,0,63,10,3,0,43,59,7,0,0,0,0,0,0
2022-10-01,JO,safe_places,31,0,2,1,0,73,4,1,0,2,11,5,0,0,67,6,5,0,33,58,10,0,0,0,0,0,0
2022-11-01,JO,safe_places,26,0,3,1,0,83,4,0,0,2,11,5,0,0,40,6,4,0,24,49,8,0,0,0,0,0,0
2022-12-01,JO,safe_places,24,0,2,0,0,75,3,0,0,2,9,4,0,0,66,5,6,0,21,54,12,0,0,0,0,0,0
2023-01-01,JO,safe_places,28,0,3,0,0,91,5,2,0,2,14,2,0,0,87,8,0,4,27,54,0,0,0,0,0,0,0
2023-02-01,JO,safe_places,28,0,3,1,0,86,3,2,0,3,9,6,0,0,70,5,9,0,31,43,19,0,0,0,0,0,0
2023-03-01,JO,safe_places,30,0,3,1,0,83,4,3,0,2,13,3,0,0,55,8,4,2,25,56,8,0,0,0,0,0,0
2023-04-01,JO,safe_places,30,0,3,1,0,99,6,0,0,3,18,0,0,0,65,10,5,2,26,67,12,0,0,0,0,0,0
2023-05-01,JO,safe_places,25,0,3,1,0,91,6,1,0,1,20,0,0,0,79,11,3,2,29,76,6,0,0,0,0,0,0
