date,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,امشي الى1,قطار سريع,قافلة,محطة,حافلة,حافلة2,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حافلة3,حركة السير,تذكرة,فندق صغير,القيادة,حافلة4,أجرة الطيران,الطرق,شاحنة,عمل,الطرق5,شغل,رخصة الشغل,رخصة العمل,عملة,شغل6,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,الصليب الاحمر7,إسعاف,مساعدة إجتماعية,ملجأ,قدم طلبا,الصليب الاحمر8,تقديم طلب,دفع,جواز السفر,وثائق,وثائق9,قنصلية,سفارة,حماية,أين الراحة,وثائق10,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرةالسكن,اين الملجأ11,منازل في العراق,مكان للإقامة,مكان السكن,الطريق إلى,اين الملجأ12,منطقة آمنة,حدود,اجتياز,فتح معبر حدودي,اجتياز13,أقرب معبر حدودي,معبر حدودي آمن,الانتقال إلى العراق,الهروب من العراق,أقرب معبر حدودي14,يف الهروب من العراق,مكان آمن,لاجئ,حق اللجوء السياسي,أقرب معبر حدودي15,اسعاف,مغادرة العراق,الطريق الآمن,طريق آمن,أقرب معبر حدودي16,ممر آمن,مخرج,ساعدني في الخروج,كيف تغادر غدا
2019-03-01,0,0,0,0,42,0,0,0,36,8,2,0,9,10,0,10,0,25,0,18,0,0,3,1,59,54,26,0,0,47,57,44,10,8,0,16,0,0,22,0,6,2,31,21,3,5,0,25,59,0,16,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,18,0,0
2019-04-01,0,20,0,0,52,0,0,3,43,0,0,0,11,11,0,0,0,30,0,26,0,0,4,0,62,58,24,0,0,49,53,39,5,0,0,8,7,0,31,0,3,0,40,7,4,5,5,34,56,0,16,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,25,0,0
2019-05-01,0,0,0,0,69,0,0,6,31,6,1,0,100,15,0,7,0,33,0,21,0,0,4,0,87,64,25,0,0,47,56,39,8,0,0,14,7,0,13,0,5,4,62,20,8,11,8,25,61,0,37,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,22,0,0
2019-06-01,0,16,0,0,42,0,0,5,38,3,1,0,31,11,0,3,0,32,0,28,0,0,2,0,54,27,24,0,0,44,53,25,9,0,0,15,0,0,6,0,6,6,44,16,5,7,7,38,52,0,23,0,0,0,0,0,0,0,0,0,0,0,60,1,0,35,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,32,0,0
2019-07-01,0,27,0,0,50,0,0,19,28,8,2,0,23,13,0,10,0,35,0,15,0,0,2,1,56,34,28,0,0,55,64,30,5,0,3,9,0,0,14,0,3,6,38,15,7,9,17,29,59,0,30,0,0,0,0,0,0,0,0,100,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,37,0,0
2019-08-01,0,42,0,0,26,0,0,5,37,5,1,0,19,12,0,7,0,41,0,30,0,0,2,0,52,28,28,0,0,49,63,31,7,0,6,12,0,0,16,0,5,5,43,9,7,9,10,21,49,0,31,0,0,0,0,0,0,0,0,69,0,0,60,3,0,93,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,29,0,0
2019-09-01,0,0,0,0,17,0,0,4,28,10,2,0,15,14,0,12,0,33,0,22,0,0,2,0,56,37,27,0,0,51,60,22,0,0,0,0,0,0,12,0,0,12,38,9,6,8,10,34,72,0,28,0,0,0,0,0,0,0,0,82,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,26,0,0
2019-10-01,0,0,0,0,0,0,0,0,20,0,0,0,16,9,0,0,0,31,0,27,0,0,5,0,48,76,22,0,0,43,49,21,9,0,0,15,0,0,13,0,6,11,35,8,0,0,8,18,53,0,0,0,0,0,0,0,63,0,0,57,0,0,96,0,0,0,0,0,0,0,0,0,0,35,0,0,32,0,0,0,0,0,29,0,0
2019-11-01,0,0,0,0,36,0,0,0,20,5,1,0,16,10,0,6,0,16,0,26,0,0,4,0,47,59,21,0,0,51,47,36,5,4,5,8,0,0,0,0,3,4,37,13,22,29,6,25,46,0,100,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,32,0,0
2019-12-01,0,0,0,0,27,0,0,0,26,9,2,0,13,10,0,11,0,16,0,34,0,0,4,1,55,58,29,0,0,40,64,32,6,0,4,11,0,0,13,0,4,4,32,8,5,7,12,22,35,0,25,0,0,0,0,0,0,0,0,35,0,0,37,0,0,0,0,0,0,0,0,0,0,28,0,0,53,0,0,0,0,0,27,0,0
2020-01-01,0,0,0,0,53,0,0,0,22,2,1,0,16,10,0,3,0,26,0,25,0,0,4,0,53,62,23,0,0,48,52,34,6,7,0,10,0,0,5,0,4,4,46,11,7,9,16,40,49,0,30,0,0,0,0,0,36,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,22,0,0,51,0,0,0,0,0,33,0,0
2020-02-01,0,0,0,0,45,0,0,3,22,0,0,0,16,11,0,0,0,13,0,24,0,0,4,1,50,63,29,0,0,47,65,34,9,3,5,15,0,0,28,0,6,6,55,11,5,6,12,29,65,0,22,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,32,0,0,87,0,0,0,0,0,31,0,0
2020-03-01,0,0,0,0,19,0,0,2,22,2,0,0,18,12,0,2,0,17,0,24,0,0,4,1,66,69,29,0,0,45,65,45,5,3,0,8,0,0,4,0,3,4,66,6,3,3,2,19,43,0,12,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,37,0,0
2020-04-01,0,37,0,0,37,0,0,2,31,8,2,0,15,17,0,10,0,12,0,29,0,0,6,0,100,99,31,0,0,43,69,54,0,0,3,0,5,0,25,0,0,2,65,4,4,5,0,12,63,0,19,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,54,0,0
2020-05-01,0,0,0,0,30,0,0,3,31,7,1,0,13,20,0,8,0,17,0,21,0,0,4,0,83,66,32,0,0,46,71,47,0,0,4,0,0,0,18,0,0,8,89,0,8,11,4,13,69,0,38,0,0,0,0,0,33,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,78,0,0
2020-06-01,0,54,0,0,21,0,0,0,39,5,1,0,16,12,0,6,0,8,0,54,0,0,5,0,70,84,28,0,0,44,62,51,7,3,8,12,8,0,12,0,5,3,51,4,9,12,5,22,100,0,42,0,0,0,0,0,0,0,0,45,0,0,38,0,0,0,0,0,0,0,0,0,0,40,0,0,84,0,0,0,0,0,35,0,0
2020-07-01,0,0,0,0,26,0,0,7,34,7,1,0,14,16,0,9,0,15,0,42,0,0,5,1,60,82,27,0,0,50,61,40,7,0,3,11,0,0,13,0,4,6,66,13,2,3,0,15,71,0,10,0,0,0,0,0,44,0,0,32,0,0,40,2,0,53,0,0,0,0,0,0,0,44,0,0,62,0,0,0,0,0,39,0,0
2020-08-01,0,16,0,0,49,0,0,7,23,5,1,0,16,14,0,6,0,20,0,26,0,0,5,1,54,72,35,0,0,48,78,45,2,0,8,4,6,0,0,0,2,6,54,2,6,7,12,23,59,0,25,0,0,0,0,0,81,0,0,36,0,0,32,2,0,68,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,38,0,0
2020-09-01,0,33,0,0,50,0,0,6,25,8,2,0,11,13,0,10,0,16,0,32,0,0,4,1,48,68,21,0,0,49,47,47,3,0,0,5,6,0,0,0,2,3,57,10,12,16,7,33,65,0,54,0,0,0,0,0,0,0,0,51,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,0,44,0,0
2020-10-01,0,12,0,0,64,0,0,4,38,2,0,0,16,13,0,2,0,16,0,35,0,0,5,1,51,79,29,0,0,48,66,44,7,0,3,12,0,0,0,0,4,5,45,13,6,7,7,19,43,0,26,0,0,0,0,0,76,0,0,30,0,0,84,1,0,37,0,0,0,0,0,0,0,21,0,0,54,0,0,0,0,0,32,0,0
2020-11-01,0,0,0,0,45,0,0,0,29,3,1,0,14,17,0,3,0,23,0,31,0,0,5,1,46,75,29,0,0,47,64,31,3,0,4,4,0,0,7,0,2,11,54,13,2,2,11,21,54,0,7,0,0,0,0,0,32,0,0,63,0,0,68,1,0,43,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,28,0,0
2020-12-01,0,31,0,0,51,0,0,0,31,6,1,0,13,16,0,8,0,12,0,21,0,0,5,1,45,74,26,0,0,55,59,35,4,5,6,6,0,0,7,0,2,7,33,13,3,4,6,17,42,0,13,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,22,0,0,49,0,0,0,0,0,40,0,0
2021-01-01,0,18,0,0,47,0,0,7,25,2,0,0,14,17,0,3,0,17,0,27,0,0,5,1,45,77,37,0,0,55,83,36,5,0,3,9,0,0,18,0,3,9,54,12,5,7,6,20,47,0,24,0,0,0,0,0,21,0,0,31,0,0,43,0,0,0,0,0,0,0,0,0,0,24,0,0,60,0,0,0,0,0,36,0,0
2021-02-01,0,17,0,0,42,0,0,0,25,2,0,0,12,21,0,2,0,24,0,34,0,0,6,0,47,86,27,0,0,80,61,39,11,0,4,19,4,0,46,0,7,4,51,11,6,8,10,24,64,0,26,0,0,0,0,0,0,0,0,95,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,34,0,0
2021-03-01,0,26,0,0,12,0,0,0,100,0,0,0,12,31,0,0,0,24,0,29,0,0,5,1,41,85,33,0,0,58,74,39,6,9,8,10,0,0,26,0,4,6,44,10,2,3,7,20,59,0,9,0,0,0,0,0,32,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,32,0,0
2021-04-01,0,34,0,0,43,0,0,3,48,0,0,0,11,29,0,0,0,30,0,31,0,0,4,1,56,69,27,0,0,70,61,62,3,0,8,5,0,0,0,0,2,4,55,14,16,21,6,17,55,0,73,0,0,0,0,0,0,0,0,79,0,0,33,1,0,27,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,45,0,0
2021-05-01,0,30,0,0,42,0,0,2,40,5,1,0,15,22,0,6,0,33,0,38,0,0,4,0,49,69,27,0,0,70,61,41,7,0,0,12,0,0,7,0,5,10,84,10,4,5,14,18,51,0,19,0,0,0,0,0,48,0,0,70,0,0,39,0,0,0,0,0,0,0,0,0,0,100,0,0,67,0,0,0,0,0,45,0,0
2021-06-01,0,13,0,0,35,0,0,0,32,3,1,0,14,19,0,4,0,31,0,38,0,0,4,1,44,67,22,0,0,67,49,39,12,0,0,21,0,0,5,0,8,11,56,14,12,15,9,31,57,0,54,0,0,0,0,0,0,0,0,39,0,0,37,0,0,0,0,0,0,0,0,0,0,24,0,0,43,0,0,0,0,0,33,0,0
2021-07-01,0,0,0,0,0,0,0,3,35,2,0,0,13,22,0,3,0,48,0,25,0,0,3,1,42,50,32,0,0,61,71,28,11,0,0,18,0,0,0,0,7,8,56,13,11,14,16,27,64,0,49,0,0,0,0,0,0,0,0,60,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,28,0,0
