date,ISO,امشي الى,مأوى,أجرة السفر جوا,مطار بالقرب مني,قارب,قطار سريع,قافلة,محطة,حافلة,أمتعة السفر,الفندق,نزل,شقة مستأجرة,حركة السير,تذكرة,فندق صغير,القيادة,أجرة الطيران,الطرق,شاحنة,عمل,شغل,رخصة الشغل,رخصة العمل,عملة,مساعدة,الصليب الاحمر,إعفاء,إنقاذ,إسعاف,مساعدة إجتماعية,ملجأ,قدم طلبا,تقديم طلب,دفع,جواز السفر,وثائق,قنصلية,سفارة,حماية,أين الراحة,اين الملجأ,إيجاد مأوى,يجب أن أغادر,يجب المغادرةالسكن,منازل في العراق,مكان للإقامة,مكان السكن,الطريق إلى,منطقة آمنة,حدود,اجتياز,فتح معبر حدودي,أقرب معبر حدودي,معبر حدودي آمن,الانتقال إلى العراق,الهروب من العراق,يف الهروب من العراق,مكان آمن,لاجئ,حق اللجوء السياسي,اسعاف,مغادرة العراق,الطريق الآمن,طريق آمن,ممر آمن,مخرج,ساعدني في الخروج,كيف تغادر غدا
2018-11-01,IQ,0,41,0,0,0,0.0,3.0,67.0,0.0,0.0,11.0,9.0,0.0,0.0,19.0,0.0,25.0,0.0,3.0,0.0,64.0,1.7058823529411764,0.0,0.0,1.9411764705882353,0.5944741532976827,0.18092691622103385,0.0,0.1033868092691622,0.0,0.0,0.31662210338680924,0.0,0.0,1.266488413547237,0.5427807486631016,0.58801247771836,0.2075338156653035,0.6917793855510117,2.1099271259305854,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,29.0,0.0,34.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
2018-12-01,IQ,0,0,0,0,41,0.0,0.0,49.0,5.0,0.0,50.0,60.0,0.0,0.0,17.142857142857142,0.0,15.714285714285715,0.0,20.0,0.0,345.0,9.0625,0.0,0.0,11.25,5.080492424242424,0.9611742424242423,0.0,0.0,0.0,0.0,8.009785353535353,0.0,0.9611742424242422,5.959280303030302,3.460227272727272,1.5378787878787876,0.46136363636363625,3.0757575757575752,11.995454545454542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
2019-01-01,IQ,0,0,0,0,44,0.0,5.0,36.0,5.0,0.0,55.0,50.0,0.0,0.0,17.5,0.0,18.333333333333336,0.0,20.0,5.0,305.0,9.67741935483871,0.0,0.0,17.096774193548388,4.910929224843525,0.0,1.7332691381800673,0.0,0.0,0.0,85.0,0.0,7.0,40.0,14.0,6.0,0.0,10.5,49.5,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,37.0,0.0,35.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
2019-02-01,IQ,0,0,0,0,50,0.0,0.0,56.0,4.0,0.0,40.0,36.0,0.0,0.0,20.8,0.0,18.400000000000002,0.0,12.0,4.0,256.0,6.7924528301886795,0.0,0.0,10.415094339622641,2.881646655231561,0.0,0.0,0.0,0.0,0.0,62.0,0.0,10.0,47.0,22.0,5.0,4.285714285714286,17.142857142857142,35.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
2019-03-01,IQ,0,0,0,0,42,0.0,0.0,36.0,8.0,0.0,36.0,40.0,0.0,0.0,20.0,0.0,14.4,0.0,24.0,8.0,472.0,11.555555555555555,0.0,0.0,20.88888888888889,8.920077972709551,2.02729044834308,1.6218323586744638,0.0,0.0,0.0,2.7875243664717346,0.0,0.6757634827810266,10.474333983105913,7.095516569200779,1.01364522417154,0.0,5.0682261208577,11.96101364522417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
2019-04-01,IQ,0,20,0,0,52,0.0,3.0,43.0,0.0,0.0,11.0,11.0,0.0,0.0,30.0,0.0,26.0,0.0,4.0,0.0,62.0,1.6551724137931034,0.0,0.0,3.3793103448275863,1.2179570592062459,0.1561483409238777,0.0,0.0,0.13662979830839297,0.0,0.6050748210800261,0.0,0.0,2.081977878985036,0.3643461288223813,0.2081977878985036,0.2081977878985036,1.4157449577098244,2.33181522446324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
2019-05-01,IQ,0,0,0,0,69,0.0,6.0,31.0,6.0,0.0,600.0,90.0,0.0,0.0,28.285714285714285,0.0,18.0,0.0,24.0,0.0,522.0,9.375,0.0,0.0,17.625,6.529017857142857,1.3392857142857142,0.0,0.0,0.6696428571428571,0.0,1.2436224489795917,0.0,1.0714285714285714,16.607142857142858,5.357142857142857,2.142857142857143,1.5584415584415583,4.87012987012987,11.883116883116882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
2019-06-01,IQ,0,16,0,0,42,0.0,5.0,38.0,3.0,0.0,93.0,33.0,0.0,0.0,32.0,0.0,28.0,0.0,6.0,0.0,162.0,5.333333333333333,0.0,0.0,9.777777777777777,2.5157232704402515,0.9056603773584905,0.0,0.0,0.0,0.0,0.3622641509433962,0.0,0.9056603773584906,6.641509433962264,2.4150943396226414,0.7547169811320754,0.7547169811320754,4.097035040431266,5.606469002695418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
2019-07-01,IQ,0,27,0,0,50,0.0,19.0,28.0,8.0,0.0,92.0,52.0,0.0,0.0,28.0,0.0,12.0,0.0,16.0,8.0,448.0,13.176470588235293,0.0,0.0,25.88235294117647,6.1764705882352935,1.0294117647058822,0.0,0.6176470588235294,0.0,0.0,1.6013071895424833,0.0,2.0588235294117645,13.039215686274508,5.147058823529411,2.401960784313725,4.537037037037035,7.739651416122002,15.746187363834418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
2019-08-01,IQ,0,42,0,0,26,0.0,5.0,37.0,5.0,0.0,95.0,60.0,0.0,0.0,29.285714285714285,0.0,21.42857142857143,0.0,10.0,0.0,260.0,10.0,0.0,0.0,17.5,4.92063492063492,1.1111111111111112,0.0,0.9523809523809523,0.0,0.0,1.4814814814814816,0.0,1.1111111111111112,9.555555555555555,2.0,1.5555555555555556,1.728395061728395,3.6296296296296293,8.469135802469136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,60.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
2019-09-01,IQ,0,0,0,0,17,0.0,4.0,28.0,10.0,0.0,75.0,70.0,0.0,0.0,27.5,0.0,18.333333333333336,0.0,20.0,0.0,560.0,14.594594594594595,0.0,0.0,27.56756756756757,5.351351351351352,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,38.0,9.0,6.0,7.5,25.5,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0
2019-10-01,IQ,0,0,0,0,0,0.0,0.0,20.0,0.0,0.0,16.0,9.0,0.0,0.0,31.0,0.0,27.0,0.0,5.0,0.0,48.0,1.4473684210526314,0.0,0.0,2.8289473684210527,0.6203007518796992,0.26584317937701396,0.0,0.0,0.0,0.0,0.23039742212674544,0.0,0.48737916219119226,1.550751879699248,0.3544575725026853,0.0,8.0,18.0,53.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,57.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,32.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0
2019-11-01,IQ,0,0,0,0,36,0.0,0.0,20.0,5.0,0.0,80.0,50.0,0.0,0.0,13.333333333333334,0.0,21.666666666666668,0.0,20.0,0.0,235.0,7.11864406779661,0.0,0.0,17.28813559322034,5.452578434908041,0.7573025604038947,0.6058420483231157,0.7573025604038947,0.0,0.0,0.0,0.0,1.0097367472051928,9.340064911648033,3.2816444284168766,5.55355210962856,1.1490107813024608,4.787544922093587,8.8090826566522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0
2019-12-01,IQ,0,0,0,0,27,0.0,0.0,26.0,9.0,0.0,58.5,45.0,0.0,0.0,13.090909090909092,0.0,27.81818181818182,0.0,36.0,9.0,495.0,18.0,0.0,0.0,24.82758620689655,9.0,1.6875,0.0,1.125,0.0,0.0,1.9943181818181819,0.0,1.6875,13.5,3.375,2.109375,3.6160714285714284,6.629464285714286,10.546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,53.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
2020-01-01,IQ,0,0,0,0,53,0.0,0.0,22.0,2.0,0.0,32.0,20.0,0.0,0.0,17.333333333333332,0.0,16.666666666666664,0.0,8.0,0.0,106.0,2.967741935483871,0.0,0.0,6.193548387096774,1.9404466501240694,0.3424317617866005,0.39950372208436724,0.0,0.0,0.0,0.17121588089330025,0.0,0.3424317617866005,3.937965260545906,0.9416873449131514,0.5992555831265509,1.065343258891646,2.6633581472291152,3.262613730355666,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,51.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0
2020-02-01,IQ,0,0,0,0,45,0.0,3.0,22.0,0.0,0.0,16.0,11.0,0.0,0.0,13.0,0.0,24.0,0.0,4.0,1.0,50.0,1.8412698412698412,0.0,0.0,2.984126984126984,0.9631257631257631,0.2549450549450549,0.08498168498168499,0.14163614163614163,0.0,0.0,0.4758974358974359,0.0,0.2549450549450549,2.3369963369963367,0.46739926739926735,0.21245421245421242,0.42490842490842484,1.0268620268620265,2.301587301587301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,87.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0
2020-03-01,IQ,0,0,0,0,19,0.0,2.0,22.0,2.0,0.0,36.0,24.0,0.0,0.0,17.0,0.0,24.0,0.0,8.0,2.0,132.0,3.36231884057971,0.0,0.0,5.217391304347826,2.3277591973244145,0.2586399108138238,0.1551839464882943,0.0,0.0,0.0,0.1293199554069119,0.0,0.34485321441843175,5.690078037904124,0.5172798216276476,0.2586399108138238,0.17242660720921588,1.6380527684875508,3.7071720549981415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
2020-04-01,IQ,0,37,0,0,37,0.0,2.0,31.0,8.0,0.0,60.0,68.0,0.0,0.0,9.600000000000001,0.0,23.200000000000003,0.0,48.0,0.0,800.0,15.030303030303031,0.0,0.0,20.848484848484848,11.762845849802373,0.0,0.0,0.6534914361001318,5.0,0.0,25.0,0.0,2.0,65.0,4.0,4.0,0.0,9.600000000000001,50.400000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0
2020-05-01,IQ,0,0,0,0,30,0.0,3.0,31.0,7.0,0.0,91.0,140.0,0.0,0.0,14.875,0.0,18.375,0.0,28.0,0.0,581.0,13.575757575757576,0.0,0.0,19.515151515151516,8.986769099445155,0.0,0.0,0.7648314127187367,0.0,0.0,18.0,0.0,8.0,89.0,0.0,8.0,2.909090909090909,9.454545454545455,50.18181818181818,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0
