date,country,topic,trabajo en Brasil,trabajo en Perú,trabajo en Panamá,trabajo en Venezuela,trabajo en Ecuador,visa de trabajo,moneda de Brasil,moneda de Perú,moneda de Panamá,moneda de Venezuela,moneda de Ecuador,ayuda en Brasil,ayuda en Perú,ayuda en Panamá,ayuda en Venezuela,ayuda en Ecuador,cruz roja,asistencia en Colombia,refugio en Brasil,refugio en Perú,refugio en Panamá,refugio en Venezuela,refugio en Ecuador,aplicar a,pasaporte,documentos,consulado,embajada,protección,donde encontrar ayuda en Colombia,como encontrar refugio en Brasil,como encontrar refugio en Perú,como encontrar refugio en Panamá,como encontrar refugio en Venezuela,como encontrar refugio en Ecuador
2019-03-01,COL,destination,37,0,0,45,73,205.55555555555554,143.88888888888889,45.222222222222214,32.888888888888886,115.1111111111111,57.55555555555555,0.0,0.0,0.0,0.0,0.0,2351.555555555555,62.917874396135254,0.0,0.0,0.0,0.0,0.0,4.0,27.0,31.200000000000003,4.800000000000001,13.600000000000001,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-01,COL,destination,11,28,0,59,56,187.0,80.66666666666666,0.0,11.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,61.0,11.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,32.0,5.2,13.600000000000001,10.8,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-01,COL,destination,15,0,19,51,35,320.0,195.0,20.0,15.0,85.0,120.0,0.0,0.0,0.0,0.0,0.0,1280.0,81.33333333333333,0.0,0.0,0.0,0.0,0.0,5.0,27.0,39.5,6.0,17.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-01,COL,destination,25,24,17,58,61,241.66666666666669,245.83333333333334,37.5,16.666666666666668,70.83333333333334,150.0,0.0,0.0,0.0,0.0,0.0,2062.5,68.91891891891892,0.0,0.0,0.0,0.0,0.0,4.0,30.0,31.6,6.0,14.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0
2019-07-01,COL,destination,35,10,22,34,31,350.0,201.25,35.0,35.0,83.125,74.375,0.0,0.0,0.0,0.0,0.0,2380.0,48.125,0.0,0.0,0.0,0.0,0.0,4.0,31.0,38.666666666666664,6.222222222222221,16.444444444444443,12.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-08-01,COL,destination,52,12,28,57,60,273.0,216.66666666666666,39.0,13.0,99.66666666666666,134.33333333333331,0.0,0.0,0.0,0.0,0.0,2340.0,56.91891891891891,0.0,0.0,0.0,0.0,0.0,4.0,27.0,33.6,5.6000000000000005,13.200000000000001,11.200000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2019-09-01,COL,destination,33,0,0,23,52,231.0,193.28571428571428,23.571428571428573,28.285714285714285,94.28571428571429,160.28571428571428,0.0,0.0,0.0,0.0,0.0,1320.0,102.96992481203007,0.0,0.0,0.0,0.0,0.0,5.0,25.0,35.90909090909091,5.909090909090909,16.818181818181817,13.636363636363637,0.0,0.0,0.0,0.0,0.0,0.0
2019-10-01,COL,destination,17,0,0,60,27,280.5,144.5,29.75,8.5,81.8125,107.84375,0.0,0.0,0.0,0.0,0.0,1933.75,37.42741935483871,0.0,0.0,0.0,0.0,0.0,4.0,25.0,32.0,4.800000000000001,12.4,11.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0
2019-11-01,COL,destination,11,0,0,35,28,297.0,203.5,33.0,0.0,93.5,126.5,0.0,0.0,0.0,0.0,0.0,1782.0,87.12,0.0,0.0,0.0,0.0,0.0,4.0,27.0,29.6,4.800000000000001,12.8,10.4,0.0,0.0,0.0,0.0,0.0,0.0
2019-12-01,COL,destination,0,0,31,52,33,37.0,36.0,5.0,0.0,13.0,19.0,0.0,0.0,0.0,0.0,0.0,405.0,6.25,0.0,0.0,0.0,0.0,0.0,3.0,27.0,23.25,4.125,10.125,8.25,0.0,0.0,0.0,0.0,0.0,0.0
