,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,21,37,9,3,30,29,18,33,20,0,100,0,0,0,0,100,0,0,0,0,89,0,8,3,0,48,0,0,52,0,100,0,0,0,0,97,0,0,3,0,81,19,0,0,0,100,0,0,0,0,97,0,0,3,0,41,0,0,59,0,100,0,0,0,0,94,0,3,3,0,81,19
1,Chernihivs'ka oblast,UA-74,34,22,11,0,33,11,39,11,39,0,100,0,0,0,0,67,0,0,33,0,25,0,0,75,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,67,0,0,0,33,25,0,0,75,0,100,0,0,0,0,100,0,0,0,0,67,33,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,17,34,17,4,28,34,21,31,14,0,100,0,0,0,0,97,0,3,0,0,100,0,0,0,0,63,0,0,0,37,90,0,0,0,10,93,4,3,0,0,90,10,0,0,0,93,0,0,4,3,97,0,0,3,0,56,0,6,0,38,82,0,3,0,15,93,4,3,0,0,90,10
3,Crimea,UA-43,26,32,16,2,24,31,36,33,0,0,100,0,0,0,0,39,0,0,61,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,19,32,18,2,29,28,32,36,4,0,90,0,10,0,0,91,0,3,4,2,97,0,2,0,1,98,0,1,1,0,99,0,0,0,1,96,0,0,0,4,88,0,1,0,11,95,0,0,1,4,97,2,0,0,1,96,0,2,2,0,97,1,0,0,2,93,1,0,1,5,100,0
5,Donetsk Oblast,UA-14,25,32,21,3,19,28,44,27,1,0,98,0,0,2,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,98,0,0,2,0,100,0,0,0,0,98,0,0,0,2,98,2
6,Ivano-Frankivs'ka oblast,UA-26,22,31,11,3,33,27,23,28,22,0,100,0,0,0,0,83,5,5,7,0,97,0,0,0,3,89,0,0,2,9,51,0,0,0,49,95,2,0,0,3,92,3,0,5,0,78,5,2,8,7,97,0,0,0,3,85,2,0,2,11,30,0,1,0,69,92,2,3,0,3,85,15
7,Kharkiv Oblast,UA-63,16,37,17,0,30,35,30,32,1,2,100,0,0,0,0,100,0,0,0,0,96,2,2,0,0,100,0,0,0,0,98,2,0,0,0,98,0,0,0,2,87,2,9,0,2,98,0,0,0,2,98,0,2,0,0,100,0,0,0,0,98,2,0,0,0,98,0,0,0,2,98,2
8,Khersons'ka oblast,UA-65,12,36,14,0,38,33,37,30,0,0,100,0,0,0,0,100,0,0,0,0,84,0,0,0,16,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,72,0,0,3,25,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,18,37,15,4,26,30,22,34,14,0,100,0,0,0,0,90,5,0,5,0,98,0,2,0,0,47,0,52,1,0,100,0,0,0,0,92,3,0,3,2,90,8,0,2,0,92,0,0,8,0,100,0,0,0,0,44,0,55,1,0,98,0,0,2,0,88,5,0,2,5,92,8
10,Kirovohrads'ka oblast,UA-35,13,38,19,3,27,34,33,28,5,0,100,0,0,0,0,91,0,9,0,0,100,0,0,0,0,96,0,0,4,0,100,0,0,0,0,72,0,0,28,0,100,0,0,0,0,91,0,0,0,9,100,0,0,0,0,91,0,0,9,0,91,9,0,0,0,65,0,3,29,3,96,4
11,Kyiv city,UA-30,17,34,15,5,29,17,21,16,46,0,97,0,2,0,1,97,1,0,2,0,95,1,1,3,0,97,0,0,2,1,98,1,0,1,0,98,0,0,1,1,88,10,0,0,2,95,0,2,3,0,96,0,1,3,0,97,0,0,2,1,95,3,0,1,1,97,0,0,1,2,86,14
12,Kyivs'ka oblast,UA-32,23,28,16,2,31,14,13,24,49,0,100,0,0,0,0,89,3,0,4,4,86,3,3,8,0,96,4,0,0,0,96,4,0,0,0,93,4,0,0,3,46,53,0,1,0,96,0,0,4,0,83,3,7,7,0,89,4,0,3,4,96,4,0,0,0,93,4,0,0,3,35,65
13,Luhans'ka oblast,UA-09,21,30,25,2,22,32,40,28,0,0,100,0,0,0,0,93,0,0,4,3,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,7,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,16,35,20,3,26,23,26,30,21,0,98,0,0,2,0,53,42,1,3,1,93,2,2,0,3,94,0,5,0,1,91,2,0,3,4,88,2,0,2,8,91,6,3,0,0,46,1,0,51,2,90,3,3,1,3,92,1,5,2,0,82,2,3,6,7,85,4,1,2,8,91,9
15,Mykolaivs'ka oblast,UA-48,17,37,15,0,31,36,30,29,5,0,100,0,0,0,0,71,0,26,3,0,95,0,0,0,5,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,0,5,0,71,0,0,0,29,95,0,0,0,5,100,0,0,0,0,100,0,0,0,0,91,0,5,0,4,100,0
16,Odessa Oblast,UA-51,20,31,17,4,28,30,37,33,0,0,89,11,0,0,0,94,0,0,6,0,99,1,0,0,0,99,0,1,0,0,100,0,0,0,0,100,0,0,0,0,83,0,0,17,0,99,0,0,0,1,99,0,1,0,0,99,0,1,0,0,100,0,0,0,0,99,0,1,0,0,100,0
17,Poltavs'ka oblast,UA-53,18,35,12,3,32,29,22,39,9,1,98,0,2,0,0,98,0,0,2,0,92,0,6,2,0,65,35,0,0,0,98,0,0,2,0,98,0,0,0,2,92,0,5,0,3,97,0,0,3,0,98,0,0,2,0,56,43,0,1,0,98,0,0,2,0,98,0,0,0,2,100,0
18,Rivnens'ka oblast,UA-56,27,37,11,1,24,35,30,21,14,0,96,0,0,4,0,87,9,0,4,0,100,0,0,0,0,100,0,0,0,0,33,1,0,64,2,91,0,0,0,9,96,0,0,4,0,87,4,0,9,0,100,0,0,0,0,100,0,0,0,0,31,1,0,67,1,87,4,0,0,9,91,9
19,Sevastopol' city,UA-40,18,27,29,4,22,36,25,37,2,0,100,0,0,0,0,4,0,0,96,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,21,23,20,0,36,27,38,35,0,0,100,0,0,0,0,100,0,0,0,0,89,0,11,0,0,100,0,0,0,0,42,0,58,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,31,0,69,0,0,89,0,0,11,0,100,0
21,Ternopil's'ka oblast,UA-61,22,29,13,6,30,23,24,30,22,1,92,0,4,4,0,100,0,0,0,0,92,0,4,0,4,84,4,8,0,4,88,0,0,4,8,35,62,2,0,1,88,4,4,0,4,88,8,0,4,0,92,4,0,0,4,84,4,8,0,4,84,0,0,8,8,31,67,1,0,1,88,12
22,Vinnyts'ka oblast,UA-05,21,31,15,1,32,27,28,27,18,0,100,0,0,0,0,92,0,2,6,0,41,55,3,0,1,90,8,2,0,0,95,0,2,0,3,92,0,2,0,6,90,8,2,0,0,95,0,0,0,5,34,0,65,0,1,88,7,5,0,0,95,0,2,0,3,90,0,2,2,6,83,17
23,Volyns'ka oblast,UA-07,25,36,13,1,25,35,24,29,11,1,92,0,4,4,0,92,8,0,0,0,96,0,4,0,0,96,0,4,0,0,96,0,0,4,0,52,0,0,0,48,88,4,4,0,4,88,4,0,8,0,100,0,0,0,0,96,0,4,0,0,82,3,0,7,8,48,0,0,0,52,92,8
24,Zakarpats'ka oblast,UA-21,37,26,12,1,24,23,32,33,12,0,97,0,3,0,0,100,0,0,0,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,61,2,35,0,2,86,9,3,0,2,97,0,0,3,0,94,3,0,3,0,100,0,0,0,0,94,0,3,0,3,57,2,38,2,1,86,14
25,Zaporiz'ka oblast,UA-23,19,39,14,0,28,38,29,31,2,0,89,0,0,0,11,98,0,0,2,0,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,82,0,18,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,96,0,4,0,0,98,2
26,Zhytomyrs'ka oblast,UA-18,8,36,13,4,39,32,24,25,19,0,100,0,0,0,0,95,0,0,0,5,100,0,0,0,0,95,0,5,0,0,55,42,0,3,0,90,0,0,0,10,95,5,0,0,0,95,0,0,0,5,95,5,0,0,0,95,0,5,0,0,44,51,0,5,0,85,0,0,0,15,90,10
