,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,20,40,13,3,24,31,29,30,10,0,94,4,0,2,0,100,0,0,0,0,91,0,5,2,2,47,0,0,52,1,98,2,0,0,0,100,0,0,0,0,82,8,2,8,0,96,2,0,2,0,94,0,2,2,2,37,0,0,62,1,98,2,0,0,0,98,0,0,2,0,89,11
1,Chernihivs'ka oblast,UA-74,23,36,14,1,26,32,29,15,23,1,100,0,0,0,0,100,0,0,0,0,51,0,0,49,0,100,0,0,0,0,89,0,11,0,0,100,0,0,0,0,96,0,4,0,0,93,0,7,0,0,46,0,0,54,0,96,4,0,0,0,89,0,11,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,28,30,12,6,24,27,36,30,7,0,98,0,0,0,2,95,0,0,5,0,98,0,0,0,2,59,0,1,0,40,98,0,0,0,2,100,0,0,0,0,100,0,0,0,0,92,0,5,0,3,95,0,2,0,3,51,0,1,0,48,98,0,0,0,2,100,0,0,0,0,95,5
3,Crimea,UA-43,22,33,15,1,29,26,44,30,0,0,100,0,0,0,0,59,0,0,41,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1
4,Dnipropetrovsk Oblast,UA-12,22,33,20,2,23,36,32,30,2,0,82,0,14,2,2,98,1,0,1,0,96,1,0,1,2,99,1,0,0,0,98,1,0,1,0,98,1,0,1,0,80,0,3,0,17,93,2,3,2,0,95,1,2,0,2,98,2,0,0,0,97,1,0,2,0,98,1,0,1,0,98,2
5,Donetsk Oblast,UA-14,19,39,14,2,26,39,33,27,1,0,94,0,0,6,0,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,8,0,0,0,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,35,16,1,27,32,36,26,6,0,89,1,4,3,3,95,4,0,1,0,95,0,4,0,1,99,1,0,0,0,51,0,0,0,49,95,3,1,0,1,93,0,0,3,4,88,3,4,5,0,99,0,0,0,1,99,1,0,0,0,46,0,0,0,54,93,5,1,0,1,100,0
7,Kharkiv Oblast,UA-63,22,35,15,4,24,30,37,27,1,5,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,85,0,15,0,0,98,1,0,1,0,99,0,0,0,1,99,1,0,0,0,99,0,0,0,1,98,1,0,0,1,100,0
8,Khersons'ka oblast,UA-65,23,37,23,0,17,31,35,34,0,0,93,7,0,0,0,100,0,0,0,0,64,0,0,0,36,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,0,0,7,0,100,0,0,0,0,58,0,0,0,42,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,7
9,Khmel'nyts'ka oblast,UA-68,28,31,13,6,22,28,30,29,13,0,94,0,2,2,2,96,2,0,0,2,96,2,2,0,0,44,0,56,0,0,86,7,0,7,0,96,0,0,4,0,91,1,4,0,4,92,2,2,4,0,91,2,6,1,0,37,0,63,0,0,86,7,0,7,0,96,0,0,4,0,96,4
