,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,18,33,16,3,30,28,27,27,18,0,98,0,0,2,0,98,0,0,0,2,100,0,0,0,0,53,1,0,46,0,100,0,0,0,0,98,0,0,2,0,98,0,0,2,0,98,2,0,0,0,96,2,2,0,0,39,0,0,61,0,96,0,4,0,0,98,0,0,2,0,98,2
1,Chernihivs'ka oblast,UA-74,33,27,14,3,23,31,27,30,12,0,100,0,0,0,0,100,0,0,0,0,64,0,0,36,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,94,6,0,0,0,100,0,0,0,0,47,0,0,53,0,86,6,0,6,2,100,0,0,0,0,97,0,0,0,3,89,11
2,Chernivets'ka oblast,UA-77,20,33,16,2,29,32,35,29,4,0,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,69,0,1,0,30,96,0,0,0,4,96,4,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,64,0,1,0,35,96,0,0,0,4,96,4,0,0,0,98,2
3,Crimea,UA-43,22,32,19,2,25,31,35,34,0,0,100,0,0,0,0,48,0,0,52,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,34,16,3,27,34,33,32,1,0,93,0,7,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,88,0,1,1,10,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,1,0,1,98,2
5,Donetsk Oblast,UA-14,24,31,15,4,26,37,31,31,1,0,98,0,0,2,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,94,6,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,34,15,3,27,36,29,23,12,0,99,0,1,0,0,91,8,1,0,0,99,1,0,0,0,98,0,1,0,1,66,0,0,1,33,99,1,0,0,0,98,0,0,1,1,90,0,0,9,1,98,0,2,0,0,96,0,3,0,1,50,0,0,1,49,99,1,0,0,0,99,1
7,Kharkiv Oblast,UA-63,18,32,19,2,29,29,34,37,0,0,100,0,0,0,0,97,1,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,94,0,6,0,0,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,100,0
8,Khersons'ka oblast,UA-65,17,40,17,4,22,32,31,32,5,0,100,0,0,0,0,95,0,3,2,0,86,0,0,0,14,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,68,0,1,0,31,100,0,0,0,0,100,0,0,0,0,95,0,2,3,0,100,0
9,Khmel'nyts'ka oblast,UA-68,23,34,14,2,27,32,29,30,9,0,99,0,0,1,0,97,1,0,2,0,93,3,4,0,0,56,1,41,1,1,95,2,0,3,0,99,1,0,0,0,95,5,0,0,0,90,3,2,5,0,97,0,3,0,0,48,0,50,1,1,95,2,0,3,0,99,1,0,0,0,91,9
10,Kirovohrads'ka oblast,UA-35,27,28,18,3,24,33,32,28,7,0,100,0,0,0,0,97,0,3,0,0,100,0,0,0,0,90,0,0,10,0,100,0,0,0,0,64,0,0,36,0,93,0,0,7,0,93,0,0,0,7,100,0,0,0,0,87,3,0,10,0,100,0,0,0,0,53,0,0,47,0,97,3
