,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,16,41,15,2,26,38,23,27,12,0,99,0,0,1,0,92,2,1,3,2,99,0,0,1,0,51,1,0,48,0,99,1,0,0,0,97,0,0,3,0,97,2,0,1,0,91,2,1,5,1,97,2,0,1,0,42,0,0,58,0,97,1,0,2,0,97,0,0,3,0,99,1
1,Chernihivs'ka oblast,UA-74,14,35,10,6,35,31,30,22,16,1,100,0,0,0,0,95,5,0,0,0,50,0,0,50,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,5,5,0,0,90,0,0,5,5,44,0,0,56,0,100,0,0,0,0,100,0,0,0,0,95,0,0,0,5,90,10
2,Chernivets'ka oblast,UA-77,26,37,13,4,20,28,33,28,11,0,100,0,0,0,0,91,3,3,3,0,97,0,0,0,3,69,0,0,0,31,100,0,0,0,0,97,3,0,0,0,100,0,0,0,0,94,0,0,3,3,94,0,3,0,3,57,0,0,0,43,94,3,0,0,3,91,6,3,0,0,97,3
3,Crimea,UA-43,28,32,20,1,19,35,40,25,0,0,100,0,0,0,0,38,0,0,62,0,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,37,17,1,25,38,33,25,4,0,93,0,6,1,0,94,3,0,1,2,96,0,2,2,0,96,1,1,2,0,99,0,0,0,1,98,2,0,0,0,84,1,3,2,10,93,2,1,4,0,96,2,0,2,0,96,1,0,3,0,96,0,2,0,2,96,3,0,0,1,96,4
5,Donetsk Oblast,UA-14,21,39,16,1,23,41,27,32,0,0,89,0,3,8,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,0,0,3,88,8,4,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,100,0,0,0,0,97,3
6,Ivano-Frankivs'ka oblast,UA-26,19,35,14,2,30,29,26,34,10,1,91,0,0,4,5,90,3,0,0,7,98,2,0,0,0,98,0,2,0,0,52,0,0,0,48,98,2,0,0,0,91,2,4,2,1,82,7,5,6,0,88,8,3,0,1,97,1,2,0,0,43,0,0,0,57,98,2,0,0,0,91,9
7,Kharkiv Oblast,UA-63,20,35,17,2,26,34,24,30,2,10,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,73,0,25,2,0,95,0,0,3,2,100,0,0,0,0,98,0,0,2,0,95,0,0,2,3,98,0,0,0,2,100,0
8,Khersons'ka oblast,UA-65,10,36,18,3,33,45,33,20,2,0,100,0,0,0,0,100,0,0,0,0,77,0,0,0,23,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,87,0,13,0,0,65,3,0,0,32,100,0,0,0,0,96,0,4,0,0,100,0,0,0,0,96,4
9,Khmel'nyts'ka oblast,UA-68,22,31,20,2,25,29,26,34,11,0,96,2,0,0,2,94,2,4,0,0,98,2,0,0,0,42,0,58,0,0,86,12,2,0,0,98,0,0,2,0,96,0,2,2,0,88,0,4,4,4,98,0,2,0,0,34,0,65,0,1,83,12,3,2,0,94,0,4,2,0,96,4
