,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,24,31,15,2,28,23,21,26,30,0,98,0,2,0,0,96,0,2,2,0,100,0,0,0,0,36,0,0,64,0,100,0,0,0,0,100,0,0,0,0,87,10,0,2,1,98,0,0,0,2,96,0,4,0,0,28,0,0,72,0,98,0,0,0,2,98,0,0,2,0,84,16
1,Chernihivs'ka oblast,UA-74,18,28,23,4,27,22,29,21,28,0,100,0,0,0,0,97,3,0,0,0,45,3,0,52,0,100,0,0,0,0,97,0,3,0,0,100,0,0,0,0,87,7,3,0,3,93,0,0,4,3,38,0,4,58,0,100,0,0,0,0,97,0,3,0,0,97,0,0,0,3,90,10
2,Chernivets'ka oblast,UA-77,19,38,20,2,21,28,32,30,10,0,100,0,0,0,0,94,2,0,4,0,94,4,2,0,0,48,0,1,0,51,98,0,0,0,2,94,4,0,0,2,98,2,0,0,0,92,0,0,8,0,94,0,6,0,0,45,0,2,0,53,96,0,0,2,2,94,4,0,0,2,96,4
3,Crimea,UA-43,17,34,19,2,28,34,36,30,0,0,100,0,0,0,0,41,0,0,59,0,97,0,3,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,34,16,3,27,35,30,32,3,0,85,0,15,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,80,0,0,0,20,98,1,0,1,0,99,0,1,0,0,99,0,1,0,0,100,0,0,0,0,99,0,1,0,0,100,0
5,Donetsk Oblast,UA-14,20,34,17,3,26,40,27,32,1,0,96,0,0,4,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,94,6,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,15,35,19,5,26,31,31,25,13,0,100,0,0,0,0,96,2,1,0,1,99,0,0,0,1,99,0,1,0,0,48,0,0,0,52,98,2,0,0,0,99,1,0,0,0,88,1,0,10,1,96,1,0,0,3,98,0,1,0,1,39,0,1,0,60,96,3,1,0,0,99,1
7,Kharkiv Oblast,UA-63,17,34,18,2,29,32,31,36,0,1,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,0,10,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1
8,Khersons'ka oblast,UA-65,22,36,14,0,28,40,26,32,2,0,100,0,0,0,0,96,0,2,2,0,60,0,0,0,40,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,96,0,0,2,2,51,0,0,0,49,98,0,2,0,0,98,0,0,2,0,100,0,0,0,0,98,2
9,Khmel'nyts'ka oblast,UA-68,19,37,16,4,24,31,23,25,21,0,99,0,1,0,0,99,1,0,0,0,95,5,0,0,0,40,0,60,0,0,93,5,0,2,0,95,1,2,0,2,90,2,5,2,1,95,0,2,3,0,93,1,6,0,0,30,0,70,0,0,87,8,0,5,0,92,5,2,0,1,99,1
