,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,21,26,27,1,25,21,26,36,17,0,100,0,0,0,0,97,1,0,2,0,90,4,5,0,1,51,0,1,46,2,99,0,1,0,0,97,0,0,3,0,87,13,0,0,0,97,2,0,1,0,95,0,3,0,2,43,0,0,54,3,95,4,1,0,0,95,0,1,4,0,87,13
1,Chernihivs'ka oblast,UA-74,7,38,24,0,31,28,21,21,30,0,100,0,0,0,0,90,0,0,10,0,39,0,0,61,0,90,0,0,10,0,100,0,0,0,0,100,0,0,0,0,90,10,0,0,0,90,0,10,0,0,30,0,0,70,0,90,0,0,10,0,90,0,0,10,0,100,0,0,0,0,81,19
2,Chernivets'ka oblast,UA-77,25,30,16,3,26,18,32,37,13,0,98,2,0,0,0,95,0,5,0,0,100,0,0,0,0,65,0,0,0,35,100,0,0,0,0,100,0,0,0,0,95,0,4,1,0,91,0,2,0,7,97,0,0,3,0,58,1,1,0,40,98,2,0,0,0,93,1,2,2,2,97,3
3,Crimea,UA-43,24,29,23,1,23,26,40,34,0,0,100,0,0,0,0,45,0,0,55,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,16,31,18,2,33,32,28,37,3,0,79,0,19,0,2,95,3,0,2,0,91,0,0,0,9,97,2,1,0,0,100,0,0,0,0,98,0,0,2,0,73,2,1,0,24,90,1,2,4,3,90,0,0,0,10,97,1,2,0,0,100,0,0,0,0,97,0,0,2,1,96,4
5,Donetsk Oblast,UA-14,21,34,14,3,28,34,31,33,2,0,97,0,0,3,0,93,0,0,7,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,1,0,1,92,8,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,16,35,20,7,22,25,31,28,16,0,97,2,0,1,0,92,3,2,3,0,94,1,3,0,2,99,0,1,0,0,55,3,1,0,41,95,4,1,0,0,89,3,1,7,0,88,4,0,5,3,95,1,2,0,2,94,1,3,0,2,38,2,2,0,58,92,3,1,0,4,91,9
7,Kharkiv Oblast,UA-63,21,33,15,1,30,26,28,37,1,8,100,0,0,0,0,97,1,0,2,0,99,1,0,0,0,99,0,1,0,0,99,0,1,0,0,100,0,0,0,0,80,1,19,0,0,96,0,0,1,3,97,2,1,0,0,99,0,1,0,0,96,0,3,0,1,100,0,0,0,0,99,1
8,Khersons'ka oblast,UA-65,15,43,11,0,31,43,31,25,1,0,100,0,0,0,0,88,0,6,6,0,55,0,4,0,41,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,0,0,0,7,93,0,0,0,7,46,0,0,0,54,100,0,0,0,0,93,0,7,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,20,39,15,2,24,26,27,32,15,0,95,3,0,0,2,97,0,0,1,2,95,2,1,0,2,54,1,43,2,0,95,3,0,2,0,95,2,0,2,1,95,2,0,3,0,92,1,5,2,0,94,1,3,0,2,46,1,51,2,0,92,5,0,3,0,88,5,3,1,3,94,6
10,Kirovohrads'ka oblast,UA-35,23,36,17,3,21,30,34,27,9,0,92,4,4,0,0,96,0,4,0,0,92,4,4,0,0,96,4,0,0,0,100,0,0,0,0,65,0,0,35,0,88,0,0,8,4,88,4,4,0,4,92,0,4,4,0,92,4,0,4,0,100,0,0,0,0,54,2,0,44,0,92,8
11,Kyiv city,UA-30,17,33,17,2,31,16,18,20,46,0,97,3,0,0,0,92,5,0,3,0,98,2,0,0,0,98,0,2,0,0,94,1,2,0,3,96,1,2,0,1,90,6,1,2,1,90,1,2,7,0,96,0,3,0,1,95,2,2,1,0,93,1,2,0,4,96,1,1,0,2,88,12
