,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,18,37,14,2,29,31,35,23,11,0,98,0,0,2,0,98,2,0,0,0,92,4,0,0,4,50,3,0,47,0,100,0,0,0,0,100,0,0,0,0,92,2,2,4,0,89,3,2,6,0,87,0,4,0,9,42,2,0,56,0,100,0,0,0,0,98,0,0,2,0,98,2
1,Chernihivs'ka oblast,UA-74,28,32,14,0,26,23,36,22,19,0,100,0,0,0,0,95,0,0,5,0,58,0,0,42,0,100,0,0,0,0,95,0,5,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,50,0,0,50,0,100,0,0,0,0,91,0,9,0,0,100,0,0,0,0,95,5
2,Chernivets'ka oblast,UA-77,30,30,10,7,23,24,40,28,8,0,100,0,0,0,0,98,2,0,0,0,98,2,0,0,0,68,0,1,0,31,100,0,0,0,0,100,0,0,0,0,95,3,2,0,0,98,0,0,2,0,98,0,2,0,0,65,0,3,0,32,100,0,0,0,0,95,2,0,3,0,93,7
3,Crimea,UA-43,21,31,22,0,26,28,35,37,0,0,100,0,0,0,0,47,0,0,53,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,18,33,17,3,29,35,33,30,2,0,89,0,8,1,2,95,2,0,1,2,95,0,0,0,5,95,1,4,0,0,99,0,0,1,0,97,0,2,1,0,90,0,1,0,9,92,1,5,2,0,93,2,0,0,5,95,1,4,0,0,97,0,2,1,0,96,0,2,2,0,99,1
5,Donetsk Oblast,UA-14,18,34,19,1,28,31,37,32,0,0,99,0,0,1,0,93,0,0,6,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,3,0,0,0,99,1,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,16,36,15,2,31,26,33,29,11,1,98,0,0,2,0,93,6,0,1,0,93,0,2,1,4,98,2,0,0,0,56,1,0,0,43,89,5,6,0,0,96,0,4,0,0,83,5,1,11,0,94,0,0,2,4,98,2,0,0,0,47,0,0,0,53,88,5,7,0,0,96,4
7,Kharkiv Oblast,UA-63,19,32,15,1,33,27,37,31,0,5,100,0,0,0,0,98,2,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,86,0,14,0,0,95,0,3,2,0,98,0,2,0,0,98,2,0,0,0,100,0,0,0,0,98,0,0,0,2,100,0
8,Khersons'ka oblast,UA-65,24,30,20,2,24,39,34,25,2,0,100,0,0,0,0,82,6,6,6,0,60,0,0,0,40,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,87,0,0,0,13,87,0,0,7,6,40,0,6,0,54,93,0,7,0,0,87,0,7,6,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,11,43,22,2,22,31,28,25,16,0,98,0,0,2,0,98,2,0,0,0,92,0,5,3,0,38,0,60,1,1,95,0,0,5,0,87,8,0,2,3,90,8,0,2,0,92,3,2,3,0,95,0,3,2,0,33,0,65,1,1,90,0,2,8,0,87,8,0,2,3,85,15
10,Kirovohrads'ka oblast,UA-35,20,35,13,2,30,39,37,17,7,0,93,0,0,4,3,87,3,10,0,0,90,7,3,0,0,100,0,0,0,0,97,0,3,0,0,68,0,0,32,0,90,3,0,7,0,76,6,3,3,12,90,0,10,0,0,93,3,0,4,0,90,3,7,0,0,55,0,0,45,0,93,7
11,Kyiv city,UA-30,19,35,15,2,29,19,17,18,46,0,96,1,0,2,1,100,0,0,0,0,95,3,0,0,2,97,3,0,0,0,98,1,1,0,0,99,0,0,0,1,92,5,1,2,0,93,3,2,2,0,90,0,4,3,3,95,3,2,0,0,96,2,2,0,0,98,0,0,0,2,89,11
12,Kyivs'ka oblast,UA-32,14,33,18,3,32,17,19,19,45,0,98,2,0,0,0,93,3,0,4,0,88,3,0,1,8,96,0,0,4,0,98,0,2,0,0,96,2,0,2,0,46,53,0,1,0,89,2,4,5,0,88,0,4,1,7,95,0,2,3,0,91,1,8,0,0,96,2,0,2,0,37,63
13,Luhans'ka oblast,UA-09,17,25,15,5,38,31,35,33,1,0,100,0,0,0,0,96,0,0,4,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,19,32,20,2,27,27,24,29,20,0,91,1,3,3,2,48,51,0,0,1,95,4,0,0,1,91,0,3,3,3,95,0,0,4,1,91,4,0,0,5,87,5,3,2,3,40,1,1,58,0,88,4,4,0,4,86,4,4,3,3,93,0,0,5,2,86,6,2,0,6,90,10
15,Mykolaivs'ka oblast,UA-48,20,33,9,5,33,31,34,31,4,0,100,0,0,0,0,78,0,22,0,0,92,0,0,0,8,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,72,0,0,0,28,92,0,0,0,8,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
16,Odessa Oblast,UA-51,18,36,13,4,29,32,33,31,4,0,83,16,0,1,0,95,0,1,4,0,94,1,0,0,5,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,78,2,1,19,0,98,1,0,0,1,92,0,3,0,5,98,2,0,0,0,100,0,0,0,0,99,0,1,0,0,95,5
17,Poltavs'ka oblast,UA-53,20,30,20,3,27,30,34,31,5,0,97,0,0,2,1,93,1,0,2,4,92,2,1,2,3,64,33,2,0,1,99,0,1,0,0,99,0,0,0,1,97,0,3,0,0,93,3,2,2,0,87,4,5,1,3,53,43,3,0,1,92,1,7,0,0,99,0,0,0,1,100,0
