,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,19,37,15,1,28,33,34,24,9,0,96,2,0,2,0,100,0,0,0,0,96,2,2,0,0,60,0,0,40,0,100,0,0,0,0,100,0,0,0,0,94,2,0,4,0,86,4,0,8,2,98,0,2,0,0,49,0,0,51,0,100,0,0,0,0,100,0,0,0,0,92,8
1,Chernihivs'ka oblast,UA-74,19,36,18,0,27,30,25,17,28,0,100,0,0,0,0,100,0,0,0,0,62,0,0,38,0,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,4,0,0,54,0,0,46,0,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,21,36,17,0,26,28,34,30,8,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,56,0,2,0,42,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,52,0,1,0,47,97,0,0,3,0,100,0,0,0,0,100,0
3,Crimea,UA-43,20,38,12,3,27,31,43,26,0,0,100,0,0,0,0,48,0,0,52,0,99,0,1,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1
4,Dnipropetrovsk Oblast,UA-12,17,37,14,4,28,37,31,32,0,0,98,0,2,0,0,100,0,0,0,0,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,0,0,0,5,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,99,0,0,0,1,100,0,0,0,0,100,0
5,Donetsk Oblast,UA-14,21,36,17,3,23,38,34,28,0,0,98,0,0,2,0,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,25,32,20,2,21,36,26,27,11,0,100,0,0,0,0,100,0,0,0,0,96,2,2,0,0,98,0,2,0,0,50,1,1,1,47,93,4,0,2,1,98,0,2,0,0,96,0,0,4,0,98,0,2,0,0,96,0,2,2,0,41,0,1,0,58,91,6,0,2,1,98,2
7,Kharkiv Oblast,UA-63,19,36,15,3,27,32,30,37,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,4,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,22,31,14,3,30,35,30,33,2,0,98,2,0,0,0,100,0,0,0,0,79,0,0,0,21,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,0,0,8,0,95,0,3,0,2,76,2,0,0,22,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,21,29,13,4,33,30,26,29,15,0,100,0,0,0,0,94,3,0,3,0,97,3,0,0,0,39,0,60,0,1,94,3,0,3,0,94,6,0,0,0,100,0,0,0,0,88,3,0,9,0,94,0,6,0,0,31,0,66,1,2,90,7,0,3,0,90,10,0,0,0,97,3
10,Kirovohrads'ka oblast,UA-35,14,36,17,2,31,39,30,20,11,0,100,0,0,0,0,94,0,3,3,0,97,3,0,0,0,97,0,0,3,0,100,0,0,0,0,69,0,0,31,0,100,0,0,0,0,97,0,0,0,3,97,0,3,0,0,97,0,0,3,0,100,0,0,0,0,63,0,0,37,0,100,0
11,Kyiv city,UA-30,18,35,15,2,30,21,22,25,32,0,99,0,1,0,0,97,3,0,0,0,97,1,0,2,0,99,0,0,1,0,97,1,0,2,0,98,0,0,0,2,95,2,1,1,1,95,0,0,5,0,96,0,2,2,0,96,2,0,2,0,95,2,1,2,0,97,1,0,0,2,95,5
12,Kyivs'ka oblast,UA-32,16,37,16,4,27,23,23,21,33,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,99,0,0,1,0,98,1,0,1,0,99,1,0,0,0,70,30,0,0,0,97,0,0,2,1,97,0,3,0,0,99,0,0,1,0,91,6,0,3,0,99,1,0,0,0,61,39
13,Luhans'ka oblast,UA-09,31,22,24,3,20,24,40,36,0,0,100,0,0,0,0,97,0,0,0,3,97,0,3,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,88,12,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
