,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,20,35,14,5,26,28,26,27,19,0,100,0,0,0,0,97,0,1,0,2,97,0,1,2,0,58,0,0,42,0,93,3,3,1,0,99,0,0,1,0,95,3,1,0,1,93,3,0,1,3,96,1,1,2,0,42,0,0,58,0,92,3,3,1,1,95,1,1,3,0,93,7
1,Chernihivs'ka oblast,UA-74,20,32,13,5,30,28,29,22,21,0,98,0,0,2,0,100,0,0,0,0,61,1,3,35,0,98,2,0,0,0,98,0,2,0,0,100,0,0,0,0,95,2,0,3,0,93,2,5,0,0,45,1,3,51,0,95,5,0,0,0,93,0,2,5,0,98,0,0,0,2,98,2
2,Chernivets'ka oblast,UA-77,18,29,17,2,34,25,34,34,7,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,67,0,1,0,32,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,95,0,0,3,2,97,0,1,2,0,56,0,1,0,43,97,0,0,1,2,100,0,0,0,0,99,1
3,Crimea,UA-43,23,29,18,3,27,26,40,34,0,0,100,0,0,0,0,53,0,0,47,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,34,17,2,27,33,32,33,2,0,92,0,8,0,0,100,0,0,0,0,99,0,0,0,1,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,87,0,1,0,12,99,0,0,1,0,99,0,0,0,1,100,0,0,0,0,98,1,1,0,0,99,0,1,0,0,100,0
5,Donetsk Oblast,UA-14,23,32,17,3,25,30,36,33,1,0,96,0,0,4,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,8,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,25,31,18,4,22,25,27,36,12,0,99,1,0,0,0,97,1,2,0,0,97,1,2,0,0,96,0,0,0,4,45,0,0,0,55,94,5,0,1,0,99,0,0,1,0,89,3,0,7,1,99,0,1,0,0,96,0,0,0,4,34,0,0,0,66,90,9,0,1,0,99,1
7,Kharkiv Oblast,UA-63,19,33,17,2,29,30,31,38,0,1,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,0,10,0,0,98,0,2,0,0,100,0,0,0,0,99,1,0,0,0,99,1,0,0,0,100,0,0,0,0,99,1
8,Khersons'ka oblast,UA-65,21,31,20,2,26,31,30,36,3,0,94,6,0,0,0,96,0,0,4,0,72,0,3,0,25,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,94,0,0,6,0,96,0,4,0,0,58,1,0,0,41,98,0,0,2,0,100,0,0,0,0,98,0,2,0,0,96,4
9,Khmel'nyts'ka oblast,UA-68,19,39,16,1,25,34,27,29,10,0,100,0,0,0,0,96,0,1,1,2,86,6,6,2,0,43,0,57,0,0,96,1,0,1,2,97,3,0,0,0,97,2,0,1,0,96,1,0,1,2,87,3,7,3,0,34,0,65,0,1,91,1,2,5,1,91,6,0,0,3,92,8
