,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,18,27,27,2,26,21,30,32,17,0,98,2,0,0,0,96,2,0,2,0,91,0,7,0,2,47,0,1,51,1,98,0,2,0,0,96,0,0,4,0,86,13,0,1,0,92,4,0,2,2,98,0,0,0,2,39,0,0,60,1,92,4,2,0,2,92,0,2,4,2,83,17
1,Chernihivs'ka oblast,UA-74,17,33,30,0,20,31,19,22,28,0,100,0,0,0,0,76,12,0,12,0,31,0,0,69,0,86,0,0,14,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,78,0,11,11,0,21,0,0,79,0,88,0,0,12,0,100,0,0,0,0,88,0,0,0,12,86,14
2,Chernivets'ka oblast,UA-77,21,29,17,2,31,22,33,34,11,0,98,0,2,0,0,96,2,2,0,0,100,0,0,0,0,58,0,0,0,42,98,0,0,2,0,98,0,0,0,2,93,1,4,0,2,91,0,2,3,4,98,0,0,2,0,50,1,1,1,47,93,1,0,6,0,94,2,0,2,2,96,4
3,Crimea,UA-43,21,34,20,2,23,31,38,31,0,0,100,0,0,0,0,40,0,0,60,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,15,32,17,2,34,36,29,35,0,0,80,0,19,0,1,97,2,0,1,0,88,0,0,0,12,98,0,1,0,1,100,0,0,0,0,97,0,1,1,1,74,1,2,0,23,93,2,1,4,0,87,0,0,0,13,97,0,2,0,1,100,0,0,0,0,97,0,1,1,1,98,2
5,Donetsk Oblast,UA-14,19,30,21,4,26,33,27,39,1,0,96,0,1,3,0,96,0,0,4,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,1,0,2,94,6,0,0,0,99,0,0,1,0,97,0,2,0,1,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,19,31,20,5,25,22,32,31,15,0,99,0,0,1,0,90,6,1,3,0,96,1,1,0,2,99,0,1,0,0,54,2,2,0,42,93,3,3,0,1,91,4,1,3,1,85,4,1,6,4,96,1,1,0,2,95,1,3,0,1,34,2,2,0,62,91,3,2,0,4,89,11
7,Kharkiv Oblast,UA-63,20,30,13,1,36,29,26,35,2,8,100,0,0,0,0,97,0,0,3,0,98,2,0,0,0,97,0,3,0,0,98,0,2,0,0,100,0,0,0,0,78,1,21,0,0,95,0,0,0,5,97,2,1,0,0,97,0,3,0,0,97,0,3,0,0,100,0,0,0,0,98,2
8,Khersons'ka oblast,UA-65,11,42,12,0,35,39,31,28,2,0,100,0,0,0,0,88,0,4,8,0,67,0,0,0,33,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,0,0,4,96,0,0,0,4,53,0,0,0,47,100,0,0,0,0,96,0,4,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,22,35,19,3,21,24,28,32,16,0,94,4,0,1,1,94,0,3,0,3,94,2,1,1,2,52,1,45,2,0,91,4,0,5,0,95,4,0,0,1,95,2,0,3,0,88,3,5,1,3,89,3,5,1,2,42,0,56,2,0,85,6,0,6,3,88,8,1,0,3,94,6
