,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,23,32,21,2,22,32,28,25,15,0,94,0,2,2,2,100,0,0,0,0,91,2,5,2,0,44,0,0,56,0,100,0,0,0,0,91,0,0,7,2,91,3,2,2,2,94,4,2,0,0,96,0,2,2,0,35,0,0,65,0,98,2,0,0,0,89,0,0,7,4,98,2
1,Chernihivs'ka oblast,UA-74,31,28,13,7,21,20,31,22,27,0,100,0,0,0,0,90,0,0,10,0,46,0,2,49,3,95,0,0,5,0,95,5,0,0,0,100,0,0,0,0,95,0,0,0,5,100,0,0,0,0,39,0,0,59,2,95,0,0,5,0,95,5,0,0,0,100,0,0,0,0,95,5
2,Chernivets'ka oblast,UA-77,21,29,20,5,25,25,32,36,7,0,100,0,0,0,0,95,0,0,0,5,97,0,3,0,0,54,0,1,0,45,97,0,0,0,3,100,0,0,0,0,100,0,0,0,0,97,0,0,3,0,95,5,0,0,0,47,0,1,1,51,97,0,0,0,3,95,0,0,2,3,97,3
3,Crimea,UA-43,26,31,16,2,25,34,38,28,0,0,100,0,0,0,0,47,0,0,53,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,25,32,16,3,24,34,32,31,3,0,90,0,9,1,0,96,2,1,0,1,93,1,1,3,2,96,1,1,1,1,100,0,0,0,0,98,0,1,0,1,85,0,2,0,13,92,1,2,4,1,94,1,0,3,2,95,2,1,1,1,100,0,0,0,0,98,0,1,0,1,100,0
5,Donetsk Oblast,UA-14,26,30,19,2,23,32,29,39,0,0,87,0,1,12,0,98,0,0,2,0,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,87,13,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,100,0,0,0,0,98,2
6,Ivano-Frankivs'ka oblast,UA-26,16,38,16,5,25,31,25,34,10,0,95,0,0,5,0,96,4,0,0,0,98,2,0,0,0,95,2,0,2,1,59,0,0,0,41,95,4,0,0,1,95,2,2,1,0,82,5,1,12,0,96,0,2,0,2,91,6,0,2,1,45,0,0,0,55,91,4,2,0,3,93,7
7,Kharkiv Oblast,UA-63,17,33,16,3,31,35,38,23,2,2,97,0,0,3,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,82,0,14,1,3,95,4,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,0,1,2,99,1
8,Khersons'ka oblast,UA-65,31,29,6,8,26,44,29,27,0,0,100,0,0,0,0,100,0,0,0,0,68,0,0,0,32,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,0,0,10,0,100,0,0,0,0,55,0,0,0,45,90,0,10,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,22,38,17,3,20,29,36,23,12,0,96,1,0,0,3,99,1,0,0,0,94,0,1,1,4,53,1,46,0,0,97,2,0,0,1,93,6,0,0,1,97,0,1,2,0,93,0,3,4,0,91,0,3,1,5,46,1,53,0,0,96,3,0,0,1,91,6,0,0,3,100,0
