,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,15,41,7,4,33,28,28,22,22,0,100,0,0,0,0,94,0,3,3,0,94,0,6,0,0,39,2,1,58,0,100,0,0,0,0,97,0,0,3,0,91,3,3,3,0,97,0,0,0,3,97,0,0,0,3,31,2,1,66,0,100,0,0,0,0,94,0,0,3,3,97,3
1,Chernihivs'ka oblast,UA-74,15,41,3,0,41,26,34,14,26,0,88,0,0,12,0,100,0,0,0,0,27,7,0,66,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,88,12,0,0,0,24,0,6,70,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,23,32,9,4,32,26,33,28,12,1,96,0,4,0,0,92,4,0,4,0,96,0,0,0,4,51,0,0,0,49,96,0,0,0,4,100,0,0,0,0,92,0,4,0,4,92,0,0,4,4,92,0,4,0,4,48,0,0,0,52,96,0,0,0,4,100,0,0,0,0,96,4
3,Crimea,UA-43,22,34,20,1,23,32,36,32,0,0,100,0,0,0,0,47,0,0,53,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,22,34,19,2,23,36,30,32,1,1,84,0,12,3,1,94,1,0,2,3,94,2,1,1,2,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,81,0,3,0,16,91,5,3,1,0,91,4,2,1,2,100,0,0,0,0,98,0,0,0,2,98,0,1,1,0,100,0
5,Donetsk Oblast,UA-14,23,31,11,2,33,35,36,29,0,0,98,0,0,2,0,93,0,0,7,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,95,5
6,Ivano-Frankivs'ka oblast,UA-26,20,33,18,2,27,29,31,29,10,1,95,0,5,0,0,84,9,2,0,5,98,0,0,0,2,95,0,0,0,5,46,0,0,0,54,93,5,2,0,0,88,0,7,0,5,79,2,0,17,2,93,5,0,0,2,95,0,0,0,5,40,0,0,0,60,88,5,7,0,0,100,0
7,Kharkiv Oblast,UA-63,16,39,19,0,26,30,23,33,5,9,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,74,0,25,0,1,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,27,24,14,6,29,33,26,41,0,0,100,0,0,0,0,100,0,0,0,0,66,0,0,0,34,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,56,4,0,0,40,94,0,6,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,22,34,11,5,28,26,24,35,14,1,98,0,2,0,0,100,0,0,0,0,96,2,0,2,0,48,1,50,0,1,94,4,0,2,0,96,0,4,0,0,92,0,4,0,4,94,4,0,2,0,94,0,4,2,0,45,1,53,0,1,94,4,0,2,0,92,4,4,0,0,98,2
10,Kirovohrads'ka oblast,UA-35,23,33,24,1,19,26,38,25,6,5,95,0,0,5,0,95,0,5,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,51,0,0,49,0,79,0,21,0,0,90,5,0,0,5,95,0,0,0,5,95,5,0,0,0,100,0,0,0,0,42,0,0,58,0,100,0
11,Kyiv city,UA-30,16,35,18,5,26,19,18,19,44,0,98,0,0,1,1,95,0,1,3,1,96,0,0,4,0,97,1,0,2,0,99,0,0,1,0,100,0,0,0,0,91,7,1,1,0,95,1,0,3,1,94,1,2,3,0,95,1,1,3,0,98,1,0,1,0,99,1,0,0,0,89,11
12,Kyivs'ka oblast,UA-32,25,31,17,1,26,20,16,21,43,0,98,0,2,0,0,98,0,0,2,0,91,0,4,3,2,93,0,2,3,2,95,5,0,0,0,100,0,0,0,0,48,47,4,0,1,96,2,2,0,0,91,0,1,6,2,91,0,1,6,2,88,11,0,1,0,100,0,0,0,0,43,57
