,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
17,Poltavs'ka oblast,UA-53,15,41,15,1,28,29,27,24,20,0,97,3,0,0,0,93,0,0,4,3,80,2,1,7,10,60,39,0,1,0,87,0,13,0,0,100,0,0,0,0,82,10,4,4,0,99,0,0,1,0,78,2,2,8,10,49,49,1,1,0,81,1,17,1,0,99,0,0,1,0,84,16
18,Rivnens'ka oblast,UA-56,25,28,17,2,28,14,18,21,46,1,100,0,0,0,0,94,4,0,0,2,82,2,7,7,2,92,0,6,2,0,35,3,1,61,0,94,0,0,0,6,83,12,5,0,0,85,0,1,12,2,86,2,2,8,2,90,0,8,2,0,26,3,1,70,0,88,0,0,0,12,74,26
19,Sevastopol' city,UA-40,24,32,15,2,27,37,30,33,0,0,100,0,0,0,0,3,0,0,97,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,9,34,16,1,40,28,27,32,13,0,100,0,0,0,0,96,0,0,4,0,98,0,0,2,0,100,0,0,0,0,54,0,46,0,0,100,0,0,0,0,100,0,0,0,0,96,0,0,2,2,94,2,2,2,0,96,0,2,2,0,39,0,61,0,0,100,0,0,0,0,96,4
21,Ternopil's'ka oblast,UA-61,15,29,20,6,30,21,26,26,27,0,97,0,0,2,1,85,7,0,1,7,88,1,3,1,7,92,0,4,0,4,88,2,4,3,3,54,44,0,1,1,90,7,3,0,0,86,3,1,10,0,81,8,2,1,8,88,0,5,3,4,84,4,4,3,5,39,59,0,0,2,77,23
22,Vinnyts'ka oblast,UA-05,21,27,22,2,28,16,23,28,33,0,99,0,0,0,1,95,0,2,0,3,45,50,1,1,3,91,2,4,3,0,90,5,4,0,1,99,0,0,1,0,94,4,2,0,0,92,1,1,3,3,34,2,60,0,4,90,2,5,3,0,84,7,7,0,2,98,0,0,1,1,89,11
23,Volyns'ka oblast,UA-07,23,31,14,3,29,21,14,23,42,0,100,0,0,0,0,88,2,0,10,0,92,2,3,0,3,95,3,2,0,0,71,15,4,8,2,34,1,0,0,65,92,6,2,0,0,85,2,0,13,0,92,3,2,0,3,95,3,2,0,0,66,14,4,13,3,28,0,0,0,72,76,24
24,Zakarpats'ka oblast,UA-21,36,24,12,2,26,20,26,30,24,0,98,1,0,0,1,93,4,2,1,0,98,0,1,1,0,95,0,4,0,1,99,0,1,0,0,70,0,30,0,0,94,4,0,2,0,90,0,1,5,4,98,1,0,1,0,94,0,5,0,1,97,0,1,0,2,65,0,33,1,1,92,8
25,Zaporiz'ka oblast,UA-23,22,29,18,3,28,26,31,39,4,0,93,0,0,0,7,99,0,0,0,1,97,0,0,0,3,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,74,0,25,1,0,95,1,0,0,4,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2
26,Zhytomyrs'ka oblast,UA-18,25,36,15,2,22,22,18,17,43,0,97,3,0,0,0,91,6,3,0,0,79,6,5,5,5,87,5,8,0,0,29,65,2,3,1,91,0,9,0,0,86,9,3,2,0,88,0,0,9,3,84,0,6,5,5,81,5,14,0,0,24,73,1,2,0,81,2,9,3,5,70,30
