,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,19,33,19,2,27,28,26,24,22,0,99,0,1,0,0,99,1,0,0,0,95,3,1,1,0,47,0,0,53,0,100,0,0,0,0,99,0,0,1,0,93,4,0,2,1,99,0,0,1,0,93,1,4,2,0,35,0,0,65,0,100,0,0,0,0,98,0,1,1,0,94,6
1,Chernihivs'ka oblast,UA-74,15,43,7,5,30,34,25,19,22,0,100,0,0,0,0,100,0,0,0,0,72,0,0,28,0,98,2,0,0,0,96,2,2,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,55,0,0,45,0,98,2,0,0,0,96,2,2,0,0,96,2,0,2,0,98,2
2,Chernivets'ka oblast,UA-77,20,30,13,4,33,27,31,31,11,0,100,0,0,0,0,100,0,0,0,0,97,2,1,0,0,55,0,0,0,45,93,0,0,3,4,99,1,0,0,0,95,0,0,5,0,99,0,0,0,1,95,0,4,1,0,46,0,0,0,54,93,0,0,3,4,95,3,0,2,0,100,0
3,Crimea,UA-43,22,29,16,3,30,33,40,27,0,0,100,0,0,0,0,39,0,0,61,0,99,0,1,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,35,16,3,26,37,29,32,2,0,89,0,11,0,0,98,1,1,0,0,99,0,1,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,81,0,1,1,17,97,0,1,1,1,99,0,0,1,0,99,0,0,1,0,100,0,0,0,0,99,1,0,0,0,97,3
5,Donetsk Oblast,UA-14,17,35,15,2,31,38,30,30,2,0,92,0,0,8,0,96,0,0,3,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,86,13,0,1,0,97,1,2,0,0,99,1,0,0,0,99,0,1,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,24,33,15,2,26,28,25,37,10,0,100,0,0,0,0,96,3,0,1,0,99,0,0,0,1,91,2,0,0,7,49,0,0,0,51,90,8,1,0,1,99,0,0,1,0,97,0,0,3,0,99,0,0,0,1,91,2,0,0,7,38,0,0,0,62,90,8,1,0,1,97,3
7,Kharkiv Oblast,UA-63,19,32,18,3,28,27,31,38,2,2,99,0,0,1,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,85,0,15,0,0,99,1,0,0,0,99,0,1,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1
8,Khersons'ka oblast,UA-65,14,35,18,5,28,39,28,29,4,0,99,1,0,0,0,88,0,3,9,0,72,0,1,0,27,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,0,0,5,3,95,0,0,1,4,63,0,0,0,37,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1
9,Khmel'nyts'ka oblast,UA-68,22,40,10,3,25,35,25,24,16,0,100,0,0,0,0,99,0,0,1,0,94,3,3,0,0,47,0,51,0,2,94,4,0,2,0,94,5,0,0,1,98,1,1,0,0,94,1,1,4,0,95,0,4,1,0,39,0,59,0,2,91,6,0,3,0,93,6,0,0,1,98,2
10,Kirovohrads'ka oblast,UA-35,24,27,21,2,26,32,32,26,10,0,100,0,0,0,0,95,3,2,0,0,100,0,0,0,0,93,0,0,7,0,100,0,0,0,0,46,0,0,54,0,98,0,2,0,0,90,2,0,5,3,100,0,0,0,0,86,5,2,7,0,93,0,2,3,2,37,1,0,62,0,95,5
11,Kyiv city,UA-30,18,31,19,4,28,19,22,25,34,0,99,0,1,0,0,96,3,0,1,0,97,1,1,1,0,96,1,1,2,0,96,1,0,2,1,97,1,0,0,2,92,4,1,2,1,92,0,1,7,0,95,0,3,2,0,93,2,2,2,1,92,3,1,2,2,95,1,1,0,3,91,9
12,Kyivs'ka oblast,UA-32,18,34,18,4,26,23,18,25,34,0,100,0,0,0,0,98,1,0,0,1,99,0,1,0,0,99,0,1,0,0,98,1,0,0,1,97,0,2,0,1,62,37,0,1,0,94,1,0,4,1,98,0,2,0,0,97,0,1,2,0,97,2,1,0,0,96,0,3,0,1,53,47
13,Luhans'ka oblast,UA-09,19,37,12,3,29,39,24,34,3,0,99,0,0,1,0,87,0,0,1,12,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,98,1,0,1,0,80,20,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,20,32,19,3,26,28,30,33,9,0,100,0,0,0,0,40,60,0,0,0,99,0,1,0,0,100,0,0,0,0,98,0,0,1,1,97,1,1,0,1,99,0,0,1,0,34,0,0,66,0,99,1,0,0,0,100,0,0,0,0,96,0,0,2,2,94,2,3,0,1,97,3
15,Mykolaivs'ka oblast,UA-48,20,32,21,3,24,38,28,33,1,0,98,2,0,0,0,80,0,19,1,0,98,0,0,0,2,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,94,1,1,3,1,72,0,0,1,27,96,0,1,0,3,99,1,0,0,0,100,0,0,0,0,99,0,0,1,0,99,1
16,Odessa Oblast,UA-51,20,33,16,3,28,34,32,33,1,0,94,6,0,0,0,99,0,0,1,0,99,0,1,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,85,0,0,15,0,97,0,0,0,3,99,0,1,0,0,98,1,1,0,0,98,2,0,0,0,100,0,0,0,0,99,1
17,Poltavs'ka oblast,UA-53,18,32,17,2,31,29,30,28,13,0,99,1,0,0,0,99,1,0,0,0,98,1,1,0,0,61,39,0,0,0,98,1,0,1,0,100,0,0,0,0,95,0,4,1,0,96,0,1,3,0,98,0,1,1,0,47,53,0,0,0,94,1,4,1,0,99,0,1,0,0,93,7
18,Rivnens'ka oblast,UA-56,20,35,18,3,24,32,22,25,21,0,99,0,1,0,0,94,5,0,1,0,97,0,2,1,0,97,0,2,1,0,32,1,0,67,0,88,0,0,0,12,99,0,0,0,1,92,0,1,7,0,99,0,0,1,0,94,0,5,1,0,26,0,0,74,0,88,0,0,0,12,91,9
19,Sevastopol' city,UA-40,22,32,12,4,30,33,35,32,0,0,100,0,0,0,0,3,0,0,97,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,15,33,16,5,31,33,31,30,6,0,99,1,0,0,0,99,1,0,0,0,97,0,2,1,0,99,1,0,0,0,71,0,29,0,0,100,0,0,0,0,97,0,0,2,1,99,0,0,1,0,99,0,0,1,0,97,3,0,0,0,53,0,47,0,0,97,1,0,2,0,100,0
21,Ternopil's'ka oblast,UA-61,18,34,18,3,27,26,31,30,13,0,99,0,1,0,0,91,7,0,1,1,100,0,0,0,0,95,0,5,0,0,99,0,0,0,1,42,58,0,0,0,98,1,0,0,1,90,0,1,9,0,98,1,1,0,0,90,0,10,0,0,95,0,0,0,5,35,64,0,0,1,93,7
22,Vinnyts'ka oblast,UA-05,17,36,16,4,27,29,23,30,18,0,100,0,0,0,0,97,0,0,3,0,45,54,1,0,0,97,1,2,0,0,98,0,0,2,0,100,0,0,0,0,95,5,0,0,0,97,0,1,2,0,38,0,62,0,0,94,1,3,2,0,96,1,0,3,0,98,1,0,1,0,93,7
23,Volyns'ka oblast,UA-07,19,37,20,4,20,28,27,26,19,0,98,0,2,0,0,84,13,1,2,0,100,0,0,0,0,96,2,2,0,0,96,0,0,4,0,38,0,0,0,62,94,2,0,2,2,72,1,1,24,2,98,0,0,0,2,94,2,2,2,0,79,0,5,15,1,31,0,0,0,69,96,4
24,Zakarpats'ka oblast,UA-21,40,25,9,3,23,29,30,32,9,0,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,1,1,0,55,0,44,0,1,99,1,0,0,0,92,1,0,7,0,99,0,1,0,0,98,1,0,0,1,96,0,3,1,0,47,0,52,1,0,97,3
25,Zaporiz'ka oblast,UA-23,15,33,15,4,33,33,36,30,1,0,91,0,0,0,9,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,83,0,17,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,97,1,1,0,1,100,0
26,Zhytomyrs'ka oblast,UA-18,18,34,14,6,28,28,21,25,25,1,100,0,0,0,0,97,0,2,1,0,95,5,0,0,0,97,0,2,1,0,44,56,0,0,0,95,1,0,0,4,92,2,5,1,0,97,0,0,0,3,93,0,7,0,0,92,3,4,1,0,35,64,0,1,0,92,1,0,1,6,90,10
