,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,17,34,16,2,31,29,26,31,14,0,100,0,0,0,0,93,1,0,1,5,90,3,1,3,3,35,1,0,64,0,99,0,0,1,0,96,0,0,3,1,94,5,1,0,0,96,1,0,3,0,85,5,4,3,3,30,0,0,70,0,96,0,2,1,1,91,1,0,5,3,90,10
1,Chernihivs'ka oblast,UA-74,27,36,15,2,20,25,21,27,26,1,100,0,0,0,0,89,0,0,11,0,38,0,0,62,0,95,5,0,0,0,95,0,5,0,0,100,0,0,0,0,89,5,6,0,0,90,5,5,0,0,37,0,0,63,0,89,5,0,6,0,95,0,5,0,0,100,0,0,0,0,95,5
2,Chernivets'ka oblast,UA-77,22,26,21,2,29,22,29,35,13,1,94,0,6,0,0,97,0,3,0,0,94,0,0,0,6,44,1,1,0,54,91,0,0,3,6,97,0,0,0,3,86,2,6,0,6,97,0,0,0,3,86,0,0,2,12,33,2,2,0,63,86,6,0,3,5,97,0,0,0,3,91,9
3,Crimea,UA-43,25,32,18,0,25,32,32,36,0,0,100,0,0,0,0,38,0,0,62,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,18,37,16,3,26,34,31,33,2,0,84,0,14,2,0,96,0,1,3,0,97,0,0,1,2,98,1,0,0,1,98,0,0,0,2,99,0,0,1,0,82,0,1,0,17,95,5,0,0,0,96,1,0,1,2,97,2,0,0,1,96,0,0,2,2,98,0,0,2,0,100,0
5,Donetsk Oblast,UA-14,22,38,13,2,25,35,38,27,0,0,97,0,2,1,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,1,0,2,98,2,0,0,0,100,0,0,0,0,99,0,1,0,0,99,0,0,1,0,99,0,0,0,1,98,2
6,Ivano-Frankivs'ka oblast,UA-26,19,33,13,5,30,34,25,29,12,0,96,0,1,1,2,92,5,0,2,1,92,0,3,1,4,92,1,3,0,4,52,0,0,0,48,94,2,2,1,1,93,4,2,0,1,84,2,2,12,0,93,2,0,1,4,91,2,3,0,4,44,0,0,0,56,91,2,4,1,2,95,5
7,Kharkiv Oblast,UA-63,22,35,17,1,25,32,27,32,2,7,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,3,0,0,0,99,0,1,0,0,99,0,1,0,0,76,0,24,0,0,100,0,0,0,0,97,0,2,0,1,95,5,0,0,0,97,0,2,1,0,97,1,2,0,0,100,0
8,Khersons'ka oblast,UA-65,21,36,12,0,31,36,31,32,1,0,100,0,0,0,0,92,0,4,4,0,70,0,0,0,30,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,0,0,4,54,0,0,0,46,96,0,0,4,0,100,0,0,0,0,100,0,0,0,0,96,4
9,Khmel'nyts'ka oblast,UA-68,22,34,19,2,23,28,25,31,16,0,90,1,1,5,3,90,1,3,5,1,93,2,1,3,1,43,1,56,0,0,99,1,0,0,0,88,7,2,3,0,90,5,3,1,1,84,4,5,4,3,92,1,3,3,1,36,1,63,0,0,94,3,2,1,0,82,10,2,2,4,93,7
10,Kirovohrads'ka oblast,UA-35,20,39,11,1,29,39,29,26,6,0,92,0,2,4,2,98,0,0,0,2,88,2,2,0,8,100,0,0,0,0,100,0,0,0,0,63,0,0,37,0,98,0,0,0,2,88,6,2,0,4,88,2,2,0,8,100,0,0,0,0,100,0,0,0,0,56,0,0,44,0,96,4
11,Kyiv city,UA-30,17,32,18,2,31,17,15,19,49,0,98,1,0,0,1,96,1,0,3,0,94,3,1,2,0,98,0,0,2,0,99,1,0,0,0,100,0,0,0,0,89,9,0,2,0,94,0,2,3,1,93,1,3,3,0,95,1,0,3,1,96,3,1,0,0,98,0,0,0,2,85,15
12,Kyivs'ka oblast,UA-32,19,32,18,3,28,16,17,20,47,0,97,0,1,1,1,100,0,0,0,0,95,1,0,3,1,97,0,2,1,0,95,0,5,0,0,97,0,2,0,1,44,55,1,0,0,92,4,2,0,2,93,0,2,4,1,94,1,4,1,0,92,2,5,0,1,95,0,4,0,1,35,65
13,Luhans'ka oblast,UA-09,28,32,16,1,23,26,44,30,0,0,100,0,0,0,0,89,0,0,7,4,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,5,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,98,2
14,Lviv Oblast,UA-46,21,36,14,2,27,26,27,29,17,1,96,0,1,2,1,51,49,0,0,0,93,2,2,2,1,92,0,4,2,2,93,2,0,4,1,92,2,2,1,3,88,5,6,0,1,42,1,0,56,1,89,3,4,3,1,88,1,5,4,2,89,4,1,5,1,91,3,2,1,3,93,7
15,Mykolaivs'ka oblast,UA-48,26,35,16,2,21,34,26,40,0,0,100,0,0,0,0,59,0,39,2,0,97,0,0,0,3,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,60,0,0,0,40,94,0,0,3,3,94,3,3,0,0,100,0,0,0,0,97,0,0,0,3,100,0
16,Odessa Oblast,UA-51,17,32,18,5,28,32,35,32,1,0,78,21,1,0,0,100,0,0,0,0,98,1,1,0,0,99,0,0,1,0,100,0,0,0,0,99,0,0,1,0,69,0,0,30,1,98,0,0,1,1,94,1,0,2,3,99,0,0,1,0,100,0,0,0,0,99,0,0,1,0,100,0
