,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,19,27,30,1,23,19,30,33,18,0,100,0,0,0,0,94,3,0,3,0,89,0,9,0,2,47,0,1,50,2,97,0,3,0,0,97,0,0,3,0,84,16,0,0,0,94,3,0,3,0,97,0,0,0,3,39,0,1,59,1,92,6,2,0,0,97,0,0,3,0,84,16
1,Chernihivs'ka oblast,UA-74,9,38,29,0,24,32,20,12,36,0,100,0,0,0,0,76,0,0,24,0,20,0,0,80,0,76,0,0,24,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,76,0,24,0,0,14,0,0,86,0,76,0,0,24,0,100,0,0,0,0,100,0,0,0,0,76,24
2,Chernivets'ka oblast,UA-77,25,29,18,1,27,18,31,38,12,1,100,0,0,0,0,98,0,2,0,0,100,0,0,0,0,63,0,0,0,37,100,0,0,0,0,100,0,0,0,0,95,0,5,0,0,93,0,2,0,5,100,0,0,0,0,55,1,1,0,43,98,2,0,0,0,95,3,0,2,0,98,2
3,Crimea,UA-43,20,29,25,2,24,25,40,35,0,0,100,0,0,0,0,45,0,0,55,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,15,30,20,3,32,34,31,35,0,0,78,0,20,1,1,98,1,0,1,0,84,0,0,0,16,98,1,1,0,0,100,0,0,0,0,98,0,0,1,1,73,2,2,0,23,91,3,1,4,1,83,0,0,0,17,96,1,3,0,0,100,0,0,0,0,98,0,0,1,1,96,4
5,Donetsk Oblast,UA-14,22,30,18,4,26,31,28,40,1,0,97,0,0,3,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,2,0,1,93,7,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,18,36,22,6,18,24,30,30,16,0,98,0,0,2,0,92,2,2,4,0,96,0,2,0,2,98,0,2,0,0,57,2,2,0,39,94,4,2,0,0,92,4,0,4,0,88,4,0,4,4,96,2,0,0,2,92,2,4,0,2,40,2,2,0,56,90,4,2,0,4,90,10
7,Kharkiv Oblast,UA-63,22,32,13,1,32,26,25,37,3,9,100,0,0,0,0,98,0,0,2,0,98,2,0,0,0,98,0,2,0,0,98,0,2,0,0,100,0,0,0,0,79,2,19,0,0,95,0,0,0,5,95,2,3,0,0,98,0,2,0,0,95,0,5,0,0,100,0,0,0,0,98,2
8,Khersons'ka oblast,UA-65,11,40,14,0,35,38,33,27,2,0,100,0,0,0,0,84,0,8,8,0,56,0,0,0,44,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,0,0,0,8,92,0,0,0,8,46,0,0,0,54,100,0,0,0,0,92,0,8,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,23,38,15,3,21,24,27,33,16,0,96,2,0,0,2,98,0,0,0,2,94,2,2,0,2,56,1,41,2,0,94,4,0,2,0,98,2,0,0,0,98,0,0,2,0,90,2,6,2,0,92,2,4,0,2,46,1,51,2,0,90,6,0,4,0,90,6,2,0,2,96,4
