,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,26,28,21,5,20,24,20,36,20,0,98,2,0,0,0,95,0,2,0,3,90,3,0,2,5,40,1,0,59,0,95,2,3,0,0,100,0,0,0,0,85,6,5,2,2,95,0,0,0,5,88,2,2,3,5,30,1,0,69,0,95,2,3,0,0,100,0,0,0,0,92,8
1,Chernihivs'ka oblast,UA-74,23,26,22,5,24,18,24,23,35,0,100,0,0,0,0,100,0,0,0,0,39,0,0,61,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,91,0,0,0,9,100,0,0,0,0,29,0,0,71,0,91,9,0,0,0,91,0,0,9,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,17,36,16,2,29,27,33,30,10,0,90,2,0,6,2,95,0,0,0,5,98,0,0,0,2,57,0,0,0,43,98,0,0,2,0,95,3,0,0,2,95,0,2,3,0,90,5,2,0,3,93,2,0,2,3,52,0,0,0,48,98,0,0,2,0,93,2,0,2,3,95,5
3,Crimea,UA-43,17,32,20,4,27,31,32,37,0,0,100,0,0,0,0,40,0,0,60,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,24,35,14,3,24,35,30,30,4,1,82,0,14,3,1,98,1,0,1,0,99,1,0,0,0,100,0,0,0,0,98,0,2,0,0,100,0,0,0,0,81,0,2,0,17,90,3,5,2,0,98,0,0,0,2,96,1,0,2,1,97,0,2,0,1,100,0,0,0,0,100,0
5,Donetsk Oblast,UA-14,24,28,17,3,28,28,36,36,0,0,98,0,0,2,0,93,0,0,7,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,91,7,2,0,0,100,0,0,0,0,95,0,3,0,2,100,0,0,0,0,100,0,0,0,0,98,2
6,Ivano-Frankivs'ka oblast,UA-26,20,32,15,5,28,24,23,37,15,1,88,0,2,8,2,88,6,4,0,2,92,4,2,2,0,94,0,0,0,6,50,2,0,0,48,92,2,2,2,2,90,2,4,2,2,77,7,2,9,5,88,2,4,4,2,92,2,0,0,6,42,1,0,0,57,92,2,2,2,2,96,4
7,Kharkiv Oblast,UA-63,16,35,16,3,30,28,31,30,3,8,98,0,2,0,0,95,3,0,2,0,100,0,0,0,0,95,5,0,0,0,98,2,0,0,0,100,0,0,0,0,64,1,31,0,4,95,0,0,5,0,98,0,2,0,0,95,5,0,0,0,95,2,3,0,0,98,0,0,0,2,98,2
8,Khersons'ka oblast,UA-65,22,24,17,0,37,26,38,34,2,0,100,0,0,0,0,86,7,0,7,0,70,0,0,0,30,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,86,7,0,7,0,62,0,0,0,38,86,7,0,7,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,17,35,17,4,27,31,23,28,18,0,93,0,1,4,2,93,0,4,1,2,90,3,5,0,2,44,0,56,0,0,93,4,0,2,1,100,0,0,0,0,89,5,4,1,1,87,3,4,1,5,93,2,3,0,2,36,0,64,0,0,93,4,0,2,1,93,2,1,2,2,89,11
10,Kirovohrads'ka oblast,UA-35,23,37,15,3,22,38,25,28,8,1,85,2,2,8,3,85,0,8,2,5,97,3,0,0,0,97,0,0,3,0,97,0,3,0,0,61,0,0,39,0,92,0,3,3,2,81,7,5,0,7,92,6,2,0,0,95,2,0,3,0,95,0,3,2,0,53,0,0,46,1,100,0
11,Kyiv city,UA-30,19,34,17,3,27,17,17,19,47,0,99,0,1,0,0,96,2,1,0,1,96,1,2,1,0,99,0,0,1,0,98,2,0,0,0,100,0,0,0,0,88,8,3,0,1,95,1,0,2,2,93,1,2,4,0,98,0,1,1,0,96,3,0,1,0,100,0,0,0,0,88,12
12,Kyivs'ka oblast,UA-32,23,34,13,5,25,18,17,17,48,0,99,0,0,0,1,94,0,3,1,2,94,0,0,5,1,97,0,2,1,0,90,6,3,0,1,97,2,0,0,1,50,47,1,2,0,90,1,5,1,3,92,1,0,6,1,94,1,1,4,0,87,6,5,1,1,94,2,0,1,3,42,58
13,Luhans'ka oblast,UA-09,24,31,17,4,24,36,38,26,0,0,100,0,0,0,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,23,32,16,4,25,22,26,31,20,1,89,2,3,3,3,48,49,2,0,1,92,4,1,1,2,92,2,3,1,2,89,4,2,3,2,90,4,1,0,5,88,1,5,2,4,41,1,1,55,2,86,5,5,1,3,88,3,5,2,2,85,5,3,4,3,87,4,2,0,7,94,6
15,Mykolaivs'ka oblast,UA-48,20,32,16,4,28,26,40,31,3,0,100,0,0,0,0,61,0,39,0,0,80,5,0,0,15,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,89,5,6,0,0,56,0,0,0,44,72,4,5,0,19,100,0,0,0,0,100,0,0,0,0,94,0,0,0,6,94,6
16,Odessa Oblast,UA-51,22,31,17,3,27,30,37,30,3,0,87,12,1,0,0,92,0,3,5,0,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,79,0,0,19,2,95,0,0,1,4,98,0,1,0,1,99,0,0,1,0,99,1,0,0,0,99,0,1,0,0,100,0
17,Poltavs'ka oblast,UA-53,26,31,16,2,25,27,30,27,15,1,86,0,5,8,1,97,0,2,1,0,99,1,0,0,0,66,34,0,0,0,100,0,0,0,0,94,0,2,3,1,81,4,11,0,4,88,10,1,0,1,97,2,1,0,0,54,46,0,0,0,99,1,0,0,0,92,0,3,3,2,90,10
18,Rivnens'ka oblast,UA-56,25,32,14,5,24,25,25,28,22,0,87,2,0,5,6,89,3,0,2,6,97,0,3,0,0,97,0,3,0,0,38,1,0,61,0,82,2,0,0,16,94,0,0,6,0,76,5,5,10,4,92,5,0,3,0,95,3,2,0,0,32,1,0,67,0,76,2,2,0,20,87,13
19,Sevastopol' city,UA-40,15,33,12,6,34,27,25,48,0,0,100,0,0,0,0,3,0,0,97,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,23,38,13,1,25,38,29,26,7,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,51,0,49,0,0,100,0,0,0,0,93,0,7,0,0,100,0,0,0,0,93,0,0,3,4,100,0,0,0,0,37,1,62,0,0,100,0,0,0,0,100,0
21,Ternopil's'ka oblast,UA-61,19,32,20,6,23,27,29,30,14,0,87,0,9,4,0,95,0,0,0,5,93,2,2,0,3,100,0,0,0,0,98,0,0,0,2,48,50,0,0,2,91,0,0,0,9,81,4,2,13,0,91,5,2,0,2,95,0,3,0,2,98,0,0,0,2,39,57,0,0,4,93,7
22,Vinnyts'ka oblast,UA-05,21,32,14,5,28,28,25,27,20,0,87,5,5,0,3,99,1,0,0,0,38,62,0,0,0,93,2,4,1,0,91,4,2,0,3,99,1,0,0,0,90,0,0,5,5,85,0,5,7,3,30,0,70,0,0,91,2,3,4,0,88,6,3,0,3,97,2,0,0,1,93,7
23,Volyns'ka oblast,UA-07,13,41,17,4,25,29,19,32,19,1,100,0,0,0,0,85,13,0,0,2,94,0,0,0,6,94,3,3,0,0,97,0,0,3,0,46,1,0,1,52,87,2,5,6,0,80,0,0,20,0,89,5,0,0,6,92,3,2,0,3,92,0,0,8,0,43,1,0,1,55,94,6
