,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,20,30,20,3,27,28,21,28,23,0,98,0,0,0,2,88,4,2,3,3,93,0,1,4,2,48,0,1,51,0,93,0,5,2,0,100,0,0,0,0,86,13,1,0,0,90,1,4,4,1,91,3,0,4,2,38,0,1,61,0,91,0,5,2,2,98,0,0,0,2,85,15
1,Chernihivs'ka oblast,UA-74,11,39,11,5,34,32,13,22,31,2,100,0,0,0,0,91,0,0,9,0,46,0,9,45,0,100,0,0,0,0,91,0,9,0,0,100,0,0,0,0,91,0,9,0,0,100,0,0,0,0,38,0,0,62,0,91,0,9,0,0,91,0,9,0,0,91,0,0,0,9,91,9
2,Chernivets'ka oblast,UA-77,13,34,22,6,25,34,28,26,12,0,97,0,0,0,3,100,0,0,0,0,97,3,0,0,0,51,0,0,0,49,94,0,3,0,3,94,6,0,0,0,97,3,0,0,0,91,0,3,0,6,97,0,3,0,0,39,0,0,0,61,86,0,2,6,6,89,6,0,3,2,89,11
3,Crimea,UA-43,20,30,16,2,32,29,37,34,0,0,100,0,0,0,0,44,0,0,56,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,20,32,18,4,26,32,27,34,7,0,92,0,6,0,2,91,3,0,5,1,95,2,1,0,2,98,0,0,2,0,97,0,2,1,0,96,3,0,0,1,85,4,2,0,9,91,2,2,5,0,93,2,3,0,2,95,1,0,4,0,95,0,3,1,1,96,3,0,0,1,96,4
5,Donetsk Oblast,UA-14,21,37,16,2,24,41,31,27,1,0,96,0,0,4,0,96,0,0,4,0,99,0,1,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,91,8,0,1,0,97,1,1,0,1,99,0,1,0,0,98,1,1,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,18,37,15,3,27,32,27,33,8,0,98,0,0,0,2,96,2,1,1,0,90,2,4,2,2,99,0,1,0,0,61,0,1,0,38,99,0,1,0,0,96,4,0,0,0,90,0,4,6,0,94,0,2,2,2,97,1,1,1,0,47,0,1,0,52,98,0,1,0,1,93,7
7,Kharkiv Oblast,UA-63,19,34,15,2,30,32,35,29,0,4,99,0,0,1,0,97,0,0,3,0,100,0,0,0,0,95,2,1,2,0,100,0,0,0,0,100,0,0,0,0,82,0,18,0,0,97,3,0,0,0,100,0,0,0,0,94,4,1,1,0,100,0,0,0,0,100,0,0,0,0,99,1
8,Khersons'ka oblast,UA-65,29,29,14,0,28,37,31,30,2,0,100,0,0,0,0,94,0,0,6,0,67,0,0,0,33,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,61,0,0,0,39,100,0,0,0,0,100,0,0,0,0,94,0,0,0,6,94,6
9,Khmel'nyts'ka oblast,UA-68,12,34,18,3,33,29,26,29,15,1,95,0,0,1,4,94,3,0,3,0,92,2,5,0,1,49,0,50,1,0,97,0,0,3,0,91,8,0,1,0,84,9,6,1,0,89,1,5,5,0,94,0,3,2,1,39,0,60,0,1,92,0,3,5,0,89,10,0,1,0,89,11
