,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,20,30,20,5,25,28,24,23,24,1,93,0,0,7,0,96,0,0,4,0,96,0,4,0,0,39,0,0,61,0,100,0,0,0,0,93,0,0,7,0,96,0,4,0,0,89,7,0,4,0,93,0,0,4,3,34,0,0,66,0,100,0,0,0,0,89,4,0,7,0,93,7
1,Chernihivs'ka oblast,UA-74,11,39,22,0,28,23,23,6,48,0,100,0,0,0,0,100,0,0,0,0,43,0,0,57,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,36,0,0,64,0,100,0,0,0,0,87,0,0,13,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,22,42,10,4,22,26,35,28,11,0,90,0,0,7,3,97,0,0,3,0,100,0,0,0,0,54,0,0,0,46,97,0,0,0,3,100,0,0,0,0,97,0,0,0,3,90,7,3,0,0,97,0,3,0,0,48,0,0,0,52,97,0,0,0,3,97,3,0,0,0,100,0
3,Crimea,UA-43,19,30,18,0,33,27,39,34,0,0,100,0,0,0,0,42,0,0,58,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,16,36,18,2,28,36,30,31,3,0,86,0,12,2,0,99,0,1,0,0,100,0,0,0,0,97,0,1,1,1,100,0,0,0,0,100,0,0,0,0,86,1,1,0,12,97,2,0,0,1,99,1,0,0,0,96,0,2,1,1,99,0,1,0,0,100,0,0,0,0,98,2
5,Donetsk Oblast,UA-14,20,37,20,1,22,36,36,28,0,0,92,0,0,8,0,94,4,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,89,7,0,4,0,98,0,2,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,23,38,12,4,23,28,32,28,12,0,96,0,0,4,0,88,6,4,0,2,98,0,0,2,0,98,0,0,0,2,53,1,0,1,45,92,4,2,0,2,92,4,2,2,0,81,4,4,8,3,94,2,2,2,0,98,0,0,0,2,46,1,0,1,52,92,4,2,0,2,96,4
7,Kharkiv Oblast,UA-63,18,28,18,5,31,23,42,29,0,6,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,95,1,2,2,0,100,0,0,0,0,100,0,0,0,0,82,0,18,0,0,97,3,0,0,0,100,0,0,0,0,95,2,1,2,0,100,0,0,0,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,16,16,17,16,35,28,28,44,0,0,100,0,0,0,0,49,0,0,51,0,32,0,0,0,68,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,32,0,0,0,68,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,21,28,11,2,38,24,30,30,15,1,93,0,3,4,0,90,7,0,0,3,100,0,0,0,0,39,0,61,0,0,93,0,0,7,0,100,0,0,0,0,87,3,7,0,3,82,6,0,9,3,93,4,3,0,0,35,0,64,0,1,90,0,0,10,0,97,3,0,0,0,97,3
