,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,19,28,21,7,25,32,38,19,11,0,98,0,2,0,0,92,6,0,0,2,94,2,2,0,2,51,0,0,49,0,94,0,2,4,0,100,0,0,0,0,83,6,5,4,2,90,0,0,8,2,92,2,2,2,2,42,0,0,58,0,94,0,2,4,0,94,2,2,0,2,92,8
1,Chernihivs'ka oblast,UA-74,17,37,9,0,37,27,31,18,24,0,95,0,0,5,0,95,0,0,5,0,53,0,0,47,0,95,5,0,0,0,95,0,5,0,0,100,0,0,0,0,100,0,0,0,0,90,5,0,5,0,45,0,0,55,0,95,5,0,0,0,95,0,5,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,29,35,15,4,17,31,36,23,10,0,97,3,0,0,0,97,0,0,0,3,97,3,0,0,0,58,0,0,0,42,100,0,0,0,0,94,6,0,0,0,97,0,0,3,0,100,0,0,0,0,89,3,3,5,0,49,0,0,0,51,100,0,0,0,0,94,6,0,0,0,97,3
3,Crimea,UA-43,20,34,13,3,30,32,42,26,0,0,100,0,0,0,0,39,0,0,61,0,98,0,2,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,17,35,17,4,27,36,31,32,1,0,83,0,16,1,0,92,1,1,5,1,95,2,2,0,1,97,2,0,1,0,100,0,0,0,0,99,0,0,1,0,80,0,0,0,20,94,1,1,2,2,96,1,2,0,1,96,3,0,1,0,100,0,0,0,0,98,0,0,2,0,99,1
5,Donetsk Oblast,UA-14,20,40,16,1,23,40,34,26,0,0,94,0,2,4,0,96,0,0,4,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,0,2,88,8,4,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,17,30,22,3,28,23,31,31,14,1,97,0,2,1,0,87,9,1,0,3,97,1,2,0,0,99,1,0,0,0,58,0,0,2,40,92,8,0,0,0,90,0,7,0,3,85,3,0,11,1,92,5,2,0,1,95,1,2,0,2,47,0,0,1,52,90,9,1,0,0,99,1
7,Kharkiv Oblast,UA-63,21,27,16,2,34,21,35,39,2,3,100,0,0,0,0,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,85,0,14,1,0,98,0,0,2,0,98,2,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2
8,Khersons'ka oblast,UA-65,19,43,8,0,30,35,38,27,0,0,100,0,0,0,0,100,0,0,0,0,74,0,0,0,26,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,71,0,0,0,29,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,23,31,19,3,24,30,27,28,13,2,89,0,0,6,5,92,0,0,5,3,84,2,9,3,2,33,1,64,0,2,94,6,0,0,0,94,3,3,0,0,89,3,8,0,0,87,6,5,2,0,84,6,5,3,2,30,1,67,1,1,94,6,0,0,0,87,9,2,0,2,92,8
