,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,17,39,9,3,32,30,28,28,14,0,100,0,0,0,0,100,0,0,0,0,92,3,0,0,5,47,1,0,52,0,100,0,0,0,0,97,0,0,3,0,92,0,3,5,0,100,0,0,0,0,92,0,3,0,5,39,1,0,60,0,100,0,0,0,0,97,0,0,3,0,100,0
1,Chernihivs'ka oblast,UA-74,15,38,6,0,41,27,31,15,27,0,100,0,0,0,0,100,0,0,0,0,56,4,0,40,0,100,0,0,0,0,94,0,6,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,52,0,3,45,0,100,0,0,0,0,88,0,12,0,0,100,0,0,0,0,94,6
2,Chernivets'ka oblast,UA-77,29,26,8,9,28,22,43,25,9,1,97,0,3,0,0,97,3,0,0,0,97,3,0,0,0,61,0,1,0,38,97,0,0,0,3,100,0,0,0,0,95,0,3,0,2,95,0,0,2,3,95,0,5,0,0,57,0,1,0,42,97,0,0,0,3,100,0,0,0,0,95,5
3,Crimea,UA-43,17,34,17,0,32,31,39,30,0,0,100,0,0,0,0,49,0,0,51,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,19,30,19,3,29,35,37,28,0,0,89,0,9,2,0,96,0,0,2,2,94,1,1,0,4,98,0,2,0,0,99,0,0,1,0,97,0,2,1,0,86,0,2,0,12,96,2,2,0,0,92,3,1,0,4,98,0,2,0,0,98,0,1,1,0,97,0,2,1,0,99,1
5,Donetsk Oblast,UA-14,15,34,14,4,33,33,36,31,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,3,0,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,16,33,15,2,34,26,33,30,8,3,96,0,2,2,0,90,8,0,2,0,96,0,0,0,4,98,0,0,0,2,50,1,0,0,49,90,8,2,0,0,90,0,8,0,2,86,2,2,10,0,96,0,0,0,4,98,0,0,0,2,45,1,0,0,54,90,8,2,0,0,96,4
7,Kharkiv Oblast,UA-63,20,36,16,0,28,32,28,33,4,3,100,0,0,0,0,97,3,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,88,0,12,0,0,94,0,3,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,27,23,18,5,27,33,34,31,2,0,100,0,0,0,0,86,0,7,7,0,76,0,0,0,24,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,0,0,0,7,93,0,0,0,7,51,0,8,0,41,93,0,7,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,21,39,16,4,20,27,20,31,21,1,96,0,0,4,0,96,4,0,0,0,91,0,0,9,0,30,2,66,1,1,91,0,0,9,0,87,5,4,4,0,84,8,4,0,4,84,12,0,4,0,91,0,0,9,0,28,1,69,1,1,87,0,4,9,0,80,12,4,4,0,87,13
