,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,21,25,22,4,28,25,28,29,18,0,97,0,0,3,0,97,0,0,3,0,100,0,0,0,0,34,1,1,64,0,97,3,0,0,0,89,0,0,11,0,92,6,2,0,0,92,6,0,2,0,94,0,0,3,3,30,1,0,69,0,97,3,0,0,0,87,2,0,11,0,89,11
1,Chernihivs'ka oblast,UA-74,25,33,17,8,17,19,25,24,32,0,100,0,0,0,0,100,0,0,0,0,53,0,0,47,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,91,9,0,0,0,91,9,0,0,0,39,3,0,58,0,91,0,9,0,0,100,0,0,0,0,100,0,0,0,0,84,16
2,Chernivets'ka oblast,UA-77,15,42,14,1,28,25,36,29,10,0,89,0,0,11,0,100,0,0,0,0,98,2,0,0,0,69,0,0,0,31,98,0,2,0,0,98,2,0,0,0,98,0,0,0,2,87,11,0,0,2,95,0,5,0,0,62,0,0,0,38,95,0,5,0,0,95,5,0,0,0,100,0
3,Crimea,UA-43,25,31,14,2,28,30,36,34,0,0,100,0,0,0,0,37,0,0,63,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,19,32,17,3,29,33,30,35,2,0,92,0,5,3,0,98,0,0,2,0,97,0,2,0,1,98,0,1,1,0,99,0,0,0,1,99,0,0,1,0,87,0,3,0,10,94,4,1,1,0,98,1,0,0,1,97,0,1,2,0,97,1,1,0,1,99,0,0,1,0,98,2
5,Donetsk Oblast,UA-14,20,34,20,1,25,35,40,25,0,0,93,0,0,7,0,99,1,0,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,7,0,1,0,100,0,0,0,0,97,1,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,18,31,22,3,26,27,33,29,11,0,97,0,1,2,0,91,5,1,0,3,100,0,0,0,0,99,0,0,0,1,60,1,0,1,38,91,7,1,0,1,92,1,3,2,2,90,1,1,7,1,95,3,2,0,0,99,0,0,0,1,53,1,0,0,46,91,7,1,0,1,99,1
7,Kharkiv Oblast,UA-63,20,23,19,2,36,22,35,36,0,7,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,93,2,2,3,0,100,0,0,0,0,100,0,0,0,0,76,0,24,0,0,96,4,0,0,0,100,0,0,0,0,93,2,2,3,0,100,0,0,0,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,19,27,13,8,33,33,46,21,0,0,100,0,0,0,0,82,0,6,12,0,60,0,0,0,40,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,0,0,0,7,52,0,0,0,48,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,25,30,14,2,29,24,32,27,17,0,95,0,2,3,0,100,0,0,0,0,95,0,3,0,2,49,0,50,1,0,95,0,0,5,0,95,3,0,2,0,98,0,0,0,2,95,3,0,2,0,95,0,3,0,2,41,0,56,1,2,93,0,0,5,2,89,7,0,4,0,100,0
