,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,16,30,20,5,29,29,26,28,17,0,94,2,0,4,0,93,1,4,2,0,94,2,2,2,0,43,0,0,57,0,100,0,0,0,0,100,0,0,0,0,96,2,0,2,0,86,3,0,7,4,94,2,2,2,0,30,0,0,70,0,98,0,2,0,0,100,0,0,0,0,96,4
1,Chernihivs'ka oblast,UA-74,23,37,16,1,23,39,28,20,13,0,96,4,0,0,0,96,0,0,4,0,51,2,0,47,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,89,8,0,3,0,96,0,0,0,4,45,0,1,54,0,96,4,0,0,0,100,0,0,0,0,100,0,0,0,0,93,7
2,Chernivets'ka oblast,UA-77,22,25,23,1,29,26,38,31,5,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,65,0,1,0,34,97,0,0,2,1,97,0,3,0,0,100,0,0,0,0,97,0,0,1,2,100,0,0,0,0,61,0,0,1,38,96,0,1,2,1,97,0,3,0,0,99,1
3,Crimea,UA-43,22,31,18,2,27,33,37,30,0,0,100,0,0,0,0,51,0,0,49,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,32,17,3,27,35,32,31,2,0,92,0,8,0,0,99,0,0,1,0,98,0,0,2,0,99,0,0,0,1,100,0,0,0,0,99,0,0,1,0,90,0,0,0,10,98,0,0,2,0,99,0,0,1,0,98,1,0,1,0,100,0,0,0,0,99,0,0,1,0,100,0
5,Donetsk Oblast,UA-14,20,35,16,3,26,34,32,33,1,0,96,0,0,4,0,96,1,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,95,4,0,1,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1
6,Ivano-Frankivs'ka oblast,UA-26,18,29,25,5,23,26,33,29,12,0,100,0,0,0,0,95,5,0,0,0,100,0,0,0,0,99,0,0,0,1,60,0,0,0,40,100,0,0,0,0,100,0,0,0,0,89,1,0,10,0,98,2,0,0,0,98,1,0,0,1,46,0,0,0,54,100,0,0,0,0,95,5
7,Kharkiv Oblast,UA-63,19,31,20,2,28,30,35,34,0,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,93,0,7,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0
8,Khersons'ka oblast,UA-65,22,31,19,4,24,33,34,30,3,0,100,0,0,0,0,98,0,0,2,0,89,0,0,0,11,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,0,4,0,73,0,0,0,27,100,0,0,0,0,96,2,0,0,2,98,0,0,2,0,100,0
9,Khmel'nyts'ka oblast,UA-68,23,30,18,3,26,27,30,29,14,0,99,1,0,0,0,97,1,0,2,0,100,0,0,0,0,41,0,58,0,1,97,3,0,0,0,100,0,0,0,0,95,0,2,1,2,95,0,1,4,0,100,0,0,0,0,35,0,64,0,1,92,3,0,5,0,99,1,0,0,0,97,3
