,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,the2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,the3,Львівська область,Миколаївська область,Севастополь,Луганська область,the4,Вінницька область,Криму,Чернігівська область,Херсонська область,the5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,the6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,the7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,the8,Київська область,Харківська,Одеська,Дніпропетровська,the9,Донецька,Запорізька,Львівська,Миколаївська,the10,Луганська,Вінницька,Чернігівська,Херсонська,the11,Полтавська,Хмельницька,Черкаська,Чернівецька,the12,Житомирська,Сумська,Рівненська,Івано-Франківська,the13,Тернопільська,Закарпатська,Кіровоградська,Волинська,the14,Київська
0,Cherkas'ka oblast,UA-71,13,35,17,1,34,24,23,28,25,0,98,0,0,0,2,89,9,0,2,0,100,0,0,0,0,51,0,0,49,0,94,2,2,2,0,96,0,0,4,0,98,2,0,0,0,86,2,2,10,0,100,0,0,0,0,43,0,0,57,0,89,7,2,2,0,91,2,2,5,0,93,7
1,Chernihivs'ka oblast,UA-74,33,28,11,0,28,15,36,44,5,0,100,0,0,0,0,84,0,0,16,0,34,0,6,60,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,72,28,0,0,0,84,16,0,0,0,34,0,0,66,0,100,0,0,0,0,84,0,0,16,0,84,0,16,0,0,63,37
2,Chernivets'ka oblast,UA-77,23,30,12,5,30,27,32,31,10,0,97,3,0,0,0,86,11,3,0,0,97,3,0,0,0,51,0,3,0,46,97,0,0,0,3,94,3,3,0,0,94,3,0,3,0,81,0,0,17,2,86,0,5,0,9,41,0,4,4,51,81,5,0,5,9,86,9,5,0,0,94,6
3,Crimea,UA-43,18,38,13,2,29,31,41,28,0,0,100,0,0,0,0,42,0,0,58,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,18,34,16,3,29,36,28,34,2,0,87,0,12,1,0,93,2,0,5,0,96,2,1,0,1,100,0,0,0,0,100,0,0,0,0,98,0,0,1,1,83,1,0,0,16,96,0,1,3,0,95,1,1,1,2,99,1,0,0,0,98,1,0,0,1,96,0,0,1,3,98,2
5,Donetsk Oblast,UA-14,21,33,16,2,28,33,34,33,0,0,90,0,0,10,0,97,1,0,1,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,84,15,0,1,0,97,1,1,0,1,99,1,0,0,0,100,0,0,0,0,99,0,1,0,0,99,1
6,Ivano-Frankivs'ka oblast,UA-26,23,38,13,1,25,22,27,35,16,0,94,4,0,0,2,80,13,3,3,1,92,0,0,0,8,98,0,0,0,2,49,2,0,1,48,89,6,3,2,0,78,14,1,7,0,79,0,5,13,3,86,1,0,2,11,94,0,0,0,6,30,2,0,1,67,81,7,7,2,3,81,19
7,Kharkiv Oblast,UA-63,19,36,13,3,29,29,28,36,1,6,100,0,0,0,0,96,4,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,76,0,24,0,0,94,2,0,4,0,98,0,0,0,2,98,0,0,2,0,96,2,0,0,2,98,0,2,0,0,96,4
8,Khersons'ka oblast,UA-65,19,32,20,3,26,39,32,28,1,0,100,0,0,0,0,77,0,13,10,0,81,0,2,0,17,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,0,0,3,81,0,0,0,19,64,0,0,0,36,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,20,33,20,3,24,31,24,30,15,0,98,0,2,0,0,96,4,0,0,0,94,0,4,0,2,43,0,57,0,0,88,4,0,6,2,90,6,0,4,0,86,8,2,2,2,88,0,4,8,0,94,0,0,0,6,34,0,65,0,1,80,11,0,7,2,83,13,0,4,0,86,14
