,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,23,27,18,3,29,16,23,25,36,0,100,0,0,0,0,100,0,0,0,0,93,3,2,0,2,42,0,1,57,0,95,2,0,3,0,98,0,0,2,0,89,9,0,2,0,100,0,0,0,0,95,0,3,0,2,33,0,0,67,0,95,2,0,3,0,98,0,0,2,0,89,11
1,Chernihivs'ka oblast,UA-74,19,37,15,3,26,18,26,22,33,1,100,0,0,0,0,86,7,0,7,0,36,0,0,64,0,93,0,0,7,0,100,0,0,0,0,100,0,0,0,0,86,7,7,0,0,93,0,0,7,0,30,0,0,70,0,93,0,0,7,0,100,0,0,0,0,100,0,0,0,0,93,7
2,Chernivets'ka oblast,UA-77,22,32,14,4,28,19,27,40,14,0,100,0,0,0,0,97,0,0,3,0,100,0,0,0,0,77,0,2,0,21,97,0,0,1,2,100,0,0,0,0,97,3,0,0,0,99,0,1,0,0,99,1,0,0,0,64,0,3,0,33,95,0,1,2,2,100,0,0,0,0,97,3
3,Crimea,UA-43,25,33,14,2,26,28,36,36,0,0,100,0,0,0,0,60,0,0,40,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,35,15,4,25,30,31,36,3,0,92,0,8,0,0,99,0,0,0,1,99,0,0,0,1,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,85,0,1,0,14,98,0,2,0,0,98,1,0,0,1,100,0,0,0,0,97,0,3,0,0,99,0,0,1,0,100,0
5,Donetsk Oblast,UA-14,21,30,19,2,28,30,40,30,0,0,93,0,1,6,0,94,0,0,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,0,0,3,89,11,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,18,36,18,0,28,19,15,29,37,0,100,0,0,0,0,92,5,0,2,1,97,0,1,0,2,92,0,1,3,4,65,2,0,1,32,99,0,1,0,0,88,8,3,1,0,87,4,0,9,0,95,3,0,0,2,91,0,3,3,3,34,2,2,0,62,95,2,2,0,1,92,8
7,Kharkiv Oblast,UA-63,21,31,14,1,33,29,31,37,1,2,100,0,0,0,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,89,0,11,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,22,37,13,4,24,31,30,35,4,0,100,0,0,0,0,91,0,3,6,0,79,0,0,0,21,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,97,0,3,0,0,94,0,0,0,6,42,0,0,0,58,97,0,0,0,3,100,0,0,0,0,97,3,0,0,0,97,3
9,Khmel'nyts'ka oblast,UA-68,26,32,16,4,22,18,22,22,38,0,98,0,0,0,2,91,7,0,2,0,98,2,0,0,0,41,0,59,0,0,91,2,7,0,0,87,9,2,0,2,98,0,2,0,0,87,0,2,11,0,91,4,5,0,0,26,0,73,0,1,85,4,7,4,0,79,11,2,0,8,95,5
