,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,24,32,14,2,28,26,28,27,18,1,95,3,0,2,0,95,5,0,0,0,90,5,0,5,0,50,0,0,49,1,100,0,0,0,0,99,0,0,0,1,82,12,3,3,0,89,3,1,7,0,90,0,5,5,0,39,0,1,58,2,99,0,0,0,1,99,0,0,0,1,86,14
1,Chernihivs'ka oblast,UA-74,29,29,17,4,21,23,25,22,30,0,100,0,0,0,0,100,0,0,0,0,57,0,2,41,0,97,0,0,3,0,93,7,0,0,0,100,0,0,0,0,100,0,0,0,0,90,10,0,0,0,43,0,0,57,0,92,4,0,4,0,90,7,3,0,0,97,0,0,0,3,97,3
2,Chernivets'ka oblast,UA-77,19,38,14,4,25,32,32,27,9,0,96,2,2,0,0,98,0,0,0,2,100,0,0,0,0,61,0,1,0,38,98,0,0,0,2,100,0,0,0,0,96,0,0,2,2,98,0,0,2,0,98,2,0,0,0,55,0,1,0,44,98,0,0,0,2,100,0,0,0,0,100,0
3,Crimea,UA-43,27,29,18,1,25,26,42,32,0,0,100,0,0,0,0,52,0,0,48,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,19,34,16,3,28,35,33,30,2,0,94,0,6,0,0,99,1,0,0,0,99,1,0,0,0,99,0,1,0,0,100,0,0,0,0,99,1,0,0,0,91,0,0,1,8,100,0,0,0,0,97,1,2,0,0,99,0,0,1,0,100,0,0,0,0,99,0,1,0,0,100,0
5,Donetsk Oblast,UA-14,23,30,17,1,29,31,38,30,1,0,95,0,0,5,0,98,0,0,2,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,91,9,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,22,34,18,4,22,28,27,36,9,0,100,0,0,0,0,90,6,0,0,4,97,3,0,0,0,97,0,0,0,3,52,0,0,0,48,96,3,0,1,0,94,1,3,2,0,85,4,0,11,0,89,8,3,0,0,97,0,0,0,3,42,0,0,0,58,93,3,1,1,2,97,3
7,Kharkiv Oblast,UA-63,18,31,16,4,31,31,33,34,1,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,0,8,0,0,99,0,0,1,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
8,Khersons'ka oblast,UA-65,19,38,12,2,29,40,36,22,2,0,100,0,0,0,0,98,0,0,2,0,83,0,0,0,17,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,2,0,2,96,0,0,2,2,62,0,0,0,38,98,0,0,2,0,100,0,0,0,0,98,0,0,0,2,100,0
9,Khmel'nyts'ka oblast,UA-68,22,33,17,7,21,29,27,30,14,0,98,0,0,2,0,88,0,4,2,6,98,2,0,0,0,35,0,63,1,1,96,4,0,0,0,98,2,0,0,0,96,2,0,2,0,81,10,0,5,4,92,6,2,0,0,30,0,69,0,1,88,10,0,0,2,92,8,0,0,0,98,2
10,Kirovohrads'ka oblast,UA-35,19,28,17,3,33,27,37,28,8,0,100,0,0,0,0,95,0,3,0,2,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,62,0,0,38,0,98,0,2,0,0,95,3,0,0,2,98,2,0,0,0,100,0,0,0,0,95,0,2,0,3,57,0,0,43,0,98,2
11,Kyiv city,UA-30,19,32,16,3,30,21,22,24,33,0,99,1,0,0,0,97,3,0,0,0,97,2,1,0,0,98,0,1,1,0,95,1,0,2,2,98,0,0,1,1,94,4,0,2,0,93,2,0,5,0,95,1,3,1,0,96,1,1,2,0,92,3,1,2,2,98,0,0,0,2,91,9
12,Kyivs'ka oblast,UA-32,21,32,18,1,28,22,18,23,37,0,98,0,1,1,0,99,1,0,0,0,97,1,2,0,0,92,0,2,6,0,96,3,0,0,1,97,1,1,0,1,61,36,2,1,0,93,3,0,3,1,95,1,3,1,0,90,1,2,7,0,96,3,0,0,1,97,1,1,0,1,56,44
13,Luhans'ka oblast,UA-09,23,36,11,3,27,33,42,25,0,0,99,0,0,1,0,91,0,0,1,8,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,1,0,0,97,2,1,0,0,86,14,0,0,0,100,0,0,0,0,99,0,1,0,0,100,0,0,0,0,100,0
