,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,in2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,in3,Львівська область,Миколаївська область,Севастополь,Луганська область,in4,Вінницька область,Криму,Чернігівська область,Херсонська область,in5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,in6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,in7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,in8,Київська область,Харківська,Одеська,Дніпропетровська,in9,Донецька,Запорізька,Львівська,Миколаївська,in10,Луганська,Вінницька,Чернігівська,Херсонська,in11,Полтавська,Хмельницька,Черкаська,Чернівецька,in12,Житомирська,Сумська,Рівненська,Івано-Франківська,in13,Тернопільська,Закарпатська,Кіровоградська,Волинська,in14,Київська
0,Cherkas'ka oblast,UA-71,19,32,17,3,29,26,24,31,19,0,90,5,0,2,3,100,0,0,0,0,93,3,2,0,2,38,2,1,59,0,95,3,0,2,0,92,0,0,8,0,82,9,4,5,0,90,8,2,0,0,93,0,2,0,5,31,1,1,67,0,95,3,0,2,0,93,0,0,7,0,88,12
1,Chernihivs'ka oblast,UA-74,23,35,13,6,23,25,18,27,30,0,100,0,0,0,0,100,0,0,0,0,53,0,0,47,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,85,15,0,0,0,86,7,0,7,0,42,3,0,55,0,92,0,8,0,0,100,0,0,0,0,100,0,0,0,0,79,21
2,Chernivets'ka oblast,UA-77,18,37,17,1,27,26,33,27,13,1,89,0,0,11,0,97,3,0,0,0,97,3,0,0,0,61,0,1,0,38,97,0,3,0,0,97,3,0,0,0,97,0,3,0,0,85,11,0,2,2,95,0,2,0,3,55,0,1,0,44,95,0,5,0,0,92,3,3,2,0,100,0
3,Crimea,UA-43,25,31,17,2,25,32,39,29,0,0,100,0,0,0,0,41,0,0,59,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,19,34,16,5,26,32,31,33,3,1,87,0,11,1,1,98,0,0,2,0,95,0,3,0,2,100,0,0,0,0,100,0,0,0,0,98,0,0,2,0,79,0,5,0,16,93,4,2,1,0,94,1,1,2,2,99,0,0,1,0,99,0,0,0,1,98,0,0,1,1,99,1
5,Donetsk Oblast,UA-14,14,36,18,2,30,36,39,25,0,0,96,0,1,3,0,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,92,8,0,0,0,99,0,1,0,0,99,0,0,1,0,99,1,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,21,29,20,4,26,25,28,31,15,1,95,2,1,2,0,92,5,0,0,3,99,0,1,0,0,99,0,0,0,1,54,0,0,0,46,91,7,1,0,1,91,0,7,1,1,88,3,0,9,0,97,3,0,0,0,99,0,0,0,1,47,0,0,1,52,91,7,1,0,1,95,5
7,Kharkiv Oblast,UA-63,24,24,18,0,34,24,30,33,2,11,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,100,0,0,0,0,100,0,0,0,0,65,3,32,0,0,100,0,0,0,0,100,0,0,0,0,95,5,0,0,0,100,0,0,0,0,100,0,0,0,0,95,5
8,Khersons'ka oblast,UA-65,25,33,15,4,23,37,39,24,0,0,100,0,0,0,0,95,0,5,0,0,59,0,0,0,41,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,0,0,5,5,53,0,0,0,47,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,25,27,16,1,31,24,31,27,18,0,100,0,0,0,0,92,2,4,0,2,92,2,2,2,2,43,0,55,2,0,100,0,0,0,0,96,2,0,2,0,96,0,2,0,2,88,2,2,4,4,88,2,6,2,2,36,1,61,1,1,96,0,0,0,4,86,6,2,4,2,100,0
10,Kirovohrads'ka oblast,UA-35,22,36,14,3,25,23,33,35,8,1,100,0,0,0,0,97,0,3,0,0,100,0,0,0,0,97,0,0,3,0,100,0,0,0,0,63,0,0,37,0,91,0,6,3,0,97,0,0,0,3,97,0,0,3,0,94,3,0,3,0,97,0,0,3,0,56,0,1,43,0,100,0
11,Kyiv city,UA-30,24,28,15,3,30,14,19,17,50,0,98,0,0,2,0,98,0,0,0,2,96,0,0,3,1,97,0,0,2,1,96,1,2,1,0,100,0,0,0,0,91,6,0,3,0,95,2,0,2,1,94,2,1,2,1,95,1,0,3,1,95,2,1,1,1,98,0,1,0,1,90,10
12,Kyivs'ka oblast,UA-32,19,29,22,2,28,12,17,19,52,0,95,0,0,3,2,97,0,2,1,0,94,0,2,3,1,95,0,4,0,1,99,1,0,0,0,100,0,0,0,0,50,50,0,0,0,92,4,3,0,1,92,2,0,5,1,92,0,7,0,1,92,7,1,0,0,95,0,0,3,2,42,58
13,Luhans'ka oblast,UA-09,21,32,20,4,23,32,40,28,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,20,33,18,3,26,23,26,31,20,0,94,1,1,4,0,59,39,1,1,0,93,2,2,1,2,95,1,4,0,0,91,2,0,5,2,94,2,0,2,2,91,2,4,1,2,49,2,0,47,2,90,1,4,2,3,92,1,5,2,0,89,3,1,5,2,91,4,0,2,3,94,6
15,Mykolaivs'ka oblast,UA-48,19,18,19,5,39,19,37,36,8,0,100,0,0,0,0,59,0,41,0,0,100,0,0,0,0,93,0,0,7,0,100,0,0,0,0,100,0,0,0,0,93,0,0,0,7,48,0,0,0,52,93,7,0,0,0,87,0,0,13,0,100,0,0,0,0,93,0,0,0,7,93,7
16,Odessa Oblast,UA-51,25,31,13,2,29,36,34,28,2,0,84,16,0,0,0,96,1,0,2,1,93,1,2,0,4,100,0,0,0,0,100,0,0,0,0,99,0,0,0,1,80,1,0,19,0,98,0,0,1,1,94,1,1,0,4,98,0,0,1,1,99,0,1,0,0,99,0,0,0,1,99,1
17,Poltavs'ka oblast,UA-53,17,36,18,3,26,30,32,26,11,1,96,0,1,1,2,94,1,0,3,2,99,0,1,0,0,63,35,0,1,1,91,0,7,1,1,97,0,1,2,0,93,1,5,0,1,94,4,1,1,0,96,2,1,1,0,55,44,0,1,0,88,1,7,1,3,97,0,1,2,0,99,1
18,Rivnens'ka oblast,UA-56,19,36,11,2,32,29,26,24,21,0,100,0,0,0,0,92,8,0,0,0,90,0,8,2,0,95,2,3,0,0,47,0,0,53,0,95,3,0,0,2,92,2,6,0,0,92,0,0,8,0,98,0,0,2,0,92,2,6,0,0,39,0,1,60,0,92,3,0,0,5,85,15
