,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,20,30,17,3,30,16,24,28,32,0,100,0,0,0,0,100,0,0,0,0,97,3,0,0,0,44,0,1,55,0,97,3,0,0,0,100,0,0,0,0,93,4,0,3,0,100,0,0,0,0,97,0,3,0,0,35,0,1,64,0,97,3,0,0,0,100,0,0,0,0,97,3
1,Chernihivs'ka oblast,UA-74,21,32,16,5,26,19,29,26,23,3,100,0,0,0,0,100,0,0,0,0,40,0,0,60,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,89,0,11,0,0,100,0,0,0,0,33,0,0,67,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
2,Chernivets'ka oblast,UA-77,24,29,13,1,33,17,28,44,11,0,100,0,0,0,0,95,0,0,5,0,100,0,0,0,0,78,0,4,0,18,100,0,0,0,0,100,0,0,0,0,98,2,0,0,0,98,0,2,0,0,100,0,0,0,0,63,0,5,0,32,98,0,2,0,0,100,0,0,0,0,98,2
3,Crimea,UA-43,24,33,15,2,26,29,37,34,0,0,100,0,0,0,0,58,0,0,42,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,22,33,15,4,26,29,33,37,1,0,93,0,7,0,0,99,0,0,0,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,91,0,1,0,8,98,0,2,0,0,99,1,0,0,0,100,0,0,0,0,98,0,2,0,0,100,0,0,0,0,100,0
5,Donetsk Oblast,UA-14,22,28,17,3,30,27,41,32,0,0,93,0,2,5,0,93,0,0,6,1,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,0,0,4,90,10,0,0,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
6,Ivano-Frankivs'ka oblast,UA-26,20,34,15,1,30,18,16,32,34,0,100,0,0,0,0,92,6,0,2,0,96,0,2,0,2,90,0,2,4,4,73,1,0,1,25,98,0,2,0,0,90,6,2,2,0,85,6,0,9,0,98,0,0,0,2,90,0,2,4,4,41,2,2,0,55,94,2,2,0,2,92,8
7,Kharkiv Oblast,UA-63,23,30,14,1,32,29,33,37,1,0,100,0,0,0,0,95,0,0,5,0,100,0,0,0,0,99,1,0,0,0,99,0,1,0,0,99,0,0,0,1,94,0,5,1,0,100,0,0,0,0,100,0,0,0,0,99,1,0,0,0,98,0,2,0,0,99,0,0,0,1,100,0
8,Khersons'ka oblast,UA-65,22,39,8,4,27,32,31,36,1,0,100,0,0,0,0,96,0,0,4,0,84,0,0,0,16,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,4,0,0,96,0,0,0,4,50,0,0,0,50,100,0,0,0,0,100,0,0,0,0,96,4,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,29,32,14,4,21,21,22,25,32,0,97,0,0,0,3,97,3,0,0,0,100,0,0,0,0,45,0,55,0,0,97,0,3,0,0,97,0,0,0,3,97,0,3,0,0,90,0,3,7,0,100,0,0,0,0,28,0,70,1,1,87,3,3,7,0,87,3,0,0,10,97,3
10,Kirovohrads'ka oblast,UA-35,20,35,13,2,30,27,33,29,10,1,100,0,0,0,0,90,0,5,0,5,95,0,5,0,0,95,5,0,0,0,85,0,15,0,0,63,0,0,37,0,95,0,5,0,0,85,0,5,5,5,85,5,0,5,5,90,5,0,5,0,85,0,15,0,0,46,0,0,54,0,100,0
11,Kyiv city,UA-30,19,35,17,2,27,14,16,24,46,0,99,0,1,0,0,99,1,0,0,0,95,3,0,1,1,93,0,3,4,0,92,2,2,2,2,97,1,0,0,2,89,7,3,1,0,94,0,1,5,0,92,0,5,2,1,89,2,5,4,0,86,4,3,3,4,95,3,0,0,2,88,12
12,Kyivs'ka oblast,UA-32,21,36,14,1,28,15,19,28,38,0,100,0,0,0,0,99,0,0,1,0,95,2,0,3,0,98,1,0,1,0,95,4,1,0,0,98,1,1,0,0,80,20,0,0,0,99,0,1,0,0,91,1,2,6,0,97,1,1,1,0,94,4,1,0,1,98,1,1,0,0,67,33
13,Luhans'ka oblast,UA-09,20,29,22,4,25,34,29,37,0,0,100,0,0,0,0,89,0,0,0,11,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,2,0,0,100,0,0,0,0,82,18,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
14,Lviv Oblast,UA-46,18,32,18,3,29,19,25,38,18,0,99,1,0,0,0,63,36,0,1,0,99,0,1,0,0,98,0,0,2,0,98,0,2,0,0,99,0,0,0,1,95,0,3,2,0,53,0,0,47,0,98,2,0,0,0,95,0,1,2,2,95,1,3,1,0,98,0,0,0,2,96,4
15,Mykolaivs'ka oblast,UA-48,12,41,22,3,22,34,32,32,2,0,100,0,0,0,0,74,0,20,6,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,60,0,0,0,40,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
16,Odessa Oblast,UA-51,16,32,16,3,33,26,38,36,0,0,93,7,0,0,0,96,0,0,4,0,99,1,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,83,2,0,15,0,100,0,0,0,0,97,0,1,0,2,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,98,2
17,Poltavs'ka oblast,UA-53,17,32,21,1,29,24,36,30,10,0,97,0,0,3,0,100,0,0,0,0,92,3,0,5,0,51,49,0,0,0,84,0,14,0,2,94,0,0,0,6,88,12,0,0,0,97,3,0,0,0,89,2,3,6,0,42,58,0,0,0,82,0,14,2,2,92,0,0,3,5,84,16
18,Rivnens'ka oblast,UA-56,14,38,19,2,27,17,26,27,30,0,100,0,0,0,0,88,8,4,0,0,100,0,0,0,0,96,0,0,0,4,46,6,4,44,0,88,0,0,0,12,92,4,0,4,0,85,0,0,11,4,96,0,0,0,4,92,0,4,0,4,36,5,5,53,1,88,0,0,0,12,82,18
19,Sevastopol' city,UA-40,15,43,23,0,19,40,34,24,2,0,100,0,0,0,0,3,0,0,97,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
20,Sums'ka oblast,UA-59,21,23,29,4,23,19,26,39,16,0,100,0,0,0,0,96,0,0,4,0,96,0,0,0,4,96,4,0,0,0,58,0,42,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,96,0,0,0,4,96,4,0,0,0,48,0,52,0,0,100,0,0,0,0,92,8
21,Ternopil's'ka oblast,UA-61,11,41,16,1,31,24,21,28,27,0,95,0,0,0,5,92,8,0,0,0,95,0,5,0,0,100,0,0,0,0,97,0,0,3,0,62,37,1,0,0,91,6,3,0,0,87,0,5,8,0,100,0,0,0,0,92,0,6,2,0,87,0,2,6,5,53,46,1,0,0,92,8
22,Vinnyts'ka oblast,UA-05,17,31,21,5,26,22,21,28,29,0,100,0,0,0,0,95,0,3,0,2,44,48,1,5,2,100,0,0,0,0,95,3,0,2,0,100,0,0,0,0,87,9,2,0,2,92,0,2,0,6,30,0,65,4,1,95,2,3,0,0,95,3,0,2,0,98,0,0,2,0,85,15
23,Volyns'ka oblast,UA-07,25,36,11,1,27,21,19,29,29,2,100,0,0,0,0,97,0,0,0,3,97,0,0,3,0,97,0,0,3,0,94,3,0,3,0,56,0,0,0,44,87,3,7,3,0,97,0,3,0,0,94,3,0,3,0,97,0,0,3,0,91,3,3,3,0,49,0,0,0,51,97,3
24,Zakarpats'ka oblast,UA-21,38,27,13,0,22,19,20,43,18,0,97,0,0,0,3,97,1,0,2,0,97,0,3,0,0,100,0,0,0,0,99,0,1,0,0,80,0,20,0,0,99,0,1,0,0,96,0,3,1,0,97,1,2,0,0,100,0,0,0,0,99,0,1,0,0,72,0,28,0,0,99,1
25,Zaporiz'ka oblast,UA-23,21,32,20,0,27,33,31,35,1,0,89,0,0,0,11,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,64,0,36,0,0,97,0,0,3,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
26,Zhytomyrs'ka oblast,UA-18,25,34,17,2,22,24,16,28,32,0,100,0,0,0,0,100,0,0,0,0,94,0,0,6,0,100,0,0,0,0,41,59,0,0,0,83,6,0,0,11,93,7,0,0,0,100,0,0,0,0,88,6,0,6,0,100,0,0,0,0,25,74,1,0,0,83,6,0,0,11,94,6
