,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,24,30,17,5,24,23,23,34,20,0,95,4,0,0,1,98,0,1,0,1,92,2,1,1,4,51,1,0,48,0,97,1,1,1,0,99,0,0,1,0,88,5,3,3,1,95,1,1,0,3,91,1,2,1,5,40,1,0,59,0,97,1,1,1,0,99,0,0,1,0,94,6
1,Chernihivs'ka oblast,UA-74,22,31,18,4,25,22,19,23,36,0,100,0,0,0,0,100,0,0,0,0,52,0,0,48,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,92,4,0,0,4,96,0,0,4,0,43,0,0,57,0,96,4,0,0,0,96,0,0,4,0,100,0,0,0,0,96,4
2,Chernivets'ka oblast,UA-77,17,34,18,2,29,28,32,29,10,1,90,2,0,7,1,95,1,0,0,4,99,0,0,0,1,56,0,1,0,43,99,0,0,1,0,97,2,0,0,1,95,0,4,1,0,89,7,1,1,2,92,3,0,2,3,51,0,0,0,49,99,0,0,1,0,92,2,2,3,1,97,3
3,Crimea,UA-43,19,31,20,3,27,31,35,34,0,0,100,0,0,0,0,42,0,0,58,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,22,36,14,4,24,34,30,31,4,1,81,0,16,2,1,98,0,0,1,1,98,0,0,0,2,100,0,0,0,0,98,0,2,0,0,99,0,0,1,0,79,0,3,0,18,91,3,4,2,0,95,0,1,1,3,97,1,0,2,0,98,0,1,0,1,98,1,0,0,1,100,0
5,Donetsk Oblast,UA-14,18,32,18,3,29,31,35,34,0,0,98,0,1,1,0,96,0,0,4,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,1,0,1,91,8,1,0,0,99,0,1,0,0,98,0,1,0,1,99,1,0,0,0,100,0,0,0,0,99,1
6,Ivano-Frankivs'ka oblast,UA-26,21,31,15,5,28,23,25,35,16,1,93,1,1,5,0,93,3,2,0,2,96,2,2,0,0,97,0,0,0,3,58,1,0,0,41,97,1,1,1,0,94,1,3,2,0,85,5,1,7,2,94,2,2,2,0,97,0,0,0,3,51,1,0,0,48,97,1,1,1,0,96,4
7,Kharkiv Oblast,UA-63,19,33,16,1,31,29,32,27,3,9,99,0,1,0,0,97,1,0,2,0,100,0,0,0,0,95,5,0,0,0,99,1,0,0,0,100,0,0,0,0,63,3,32,0,2,97,0,0,3,0,99,0,1,0,0,93,7,0,0,0,97,1,2,0,0,99,0,0,0,1,95,5
8,Khersons'ka oblast,UA-65,25,31,17,1,26,33,31,35,1,0,100,0,0,0,0,92,4,0,4,0,65,0,0,0,35,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,88,4,0,8,0,61,0,0,0,39,92,4,0,4,0,100,0,0,0,0,100,0,0,0,0,100,0
9,Khmel'nyts'ka oblast,UA-68,19,34,17,3,27,29,25,28,18,0,95,0,1,3,1,90,1,5,1,3,90,4,4,1,1,41,0,59,0,0,95,3,0,1,1,100,0,0,0,0,89,4,4,1,2,85,3,4,2,6,90,3,5,1,1,34,0,66,0,0,94,3,0,1,2,93,1,2,1,3,91,9
10,Kirovohrads'ka oblast,UA-35,22,39,14,3,22,34,27,30,8,1,88,2,2,6,2,88,0,6,2,4,98,2,0,0,0,98,0,0,2,0,98,0,2,0,0,58,0,0,42,0,92,0,4,2,2,84,6,4,0,6,92,4,2,2,0,94,4,0,2,0,96,0,2,2,0,49,0,1,49,1,100,0
11,Kyiv city,UA-30,20,33,16,3,28,15,18,18,49,0,98,0,1,1,0,97,1,1,0,1,96,1,2,1,0,99,0,0,1,0,98,2,0,0,0,100,0,0,0,0,89,7,2,1,1,95,1,0,2,2,95,1,1,2,1,98,0,1,1,0,96,3,1,0,0,99,0,0,0,1,89,11
