,geoName,geoCode,a,the,and,be,of,the1,in,to,Київ,Харківська область,to2,Одеська область,Дніпропетровська область,Донецька область,Запорізька область,to3,Львівська область,Миколаївська область,Севастополь,Луганська область,to4,Вінницька область,Криму,Чернігівська область,Херсонська область,to5,Полтавська область,Хмельницька область,Черкаська область,Чернівецька область,to6,Житомирська область,Сумська область,Рівненська область,Івано-Франківська область,to7,Тернопільська область,Закарпатська область,Кіровоградська область,Волинська область,to8,Київська область,Харківська,Одеська,Дніпропетровська,to9,Донецька,Запорізька,Львівська,Миколаївська,to10,Луганська,Вінницька,Чернігівська,Херсонська,to11,Полтавська,Хмельницька,Черкаська,Чернівецька,to12,Житомирська,Сумська,Рівненська,Івано-Франківська,to13,Тернопільська,Закарпатська,Кіровоградська,Волинська,to14,Київська
0,Cherkas'ka oblast,UA-71,21,30,21,4,24,27,24,29,20,0,97,1,0,2,0,97,0,1,2,0,90,3,4,2,1,48,0,0,52,0,100,0,0,0,0,93,0,0,3,4,84,14,1,1,0,93,3,0,0,4,93,0,4,2,1,39,0,0,61,0,99,0,0,0,1,92,0,2,3,3,86,14
1,Chernihivs'ka oblast,UA-74,6,38,18,0,38,30,20,25,25,0,100,0,0,0,0,100,0,0,0,0,39,0,0,61,0,84,16,0,0,0,84,0,16,0,0,100,0,0,0,0,84,16,0,0,0,84,0,0,0,16,39,0,0,61,0,84,16,0,0,0,84,0,16,0,0,84,0,16,0,0,83,17
2,Chernivets'ka oblast,UA-77,22,33,14,3,28,32,21,30,17,0,100,0,0,0,0,96,0,0,4,0,100,0,0,0,0,59,1,0,0,40,94,0,2,0,4,96,0,2,0,2,94,6,0,0,0,98,0,0,2,0,98,0,0,2,0,50,1,2,0,47,88,2,4,0,6,96,0,2,0,2,93,7
3,Crimea,UA-43,28,32,18,1,21,28,41,31,0,0,100,0,0,0,0,42,0,0,58,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,99,0,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0
4,Dnipropetrovsk Oblast,UA-12,21,33,20,2,24,29,30,36,5,0,87,1,11,1,0,95,0,2,3,0,97,0,1,0,2,99,0,0,1,0,98,0,1,1,0,98,0,0,0,2,82,1,1,3,13,95,1,0,2,2,96,0,2,0,2,97,0,0,3,0,96,0,2,2,0,94,1,0,1,4,98,2
5,Donetsk Oblast,UA-14,26,33,16,2,23,30,41,29,0,0,92,0,0,8,0,89,1,0,10,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,87,12,0,1,0,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,98,0,0,1,1,100,0
6,Ivano-Frankivs'ka oblast,UA-26,24,34,11,2,29,29,24,30,17,0,100,0,0,0,0,90,5,2,3,0,98,1,1,0,0,99,0,0,0,1,55,0,0,0,45,93,1,3,0,3,90,5,3,2,0,82,1,0,14,3,99,0,1,0,0,98,1,0,0,1,39,0,0,1,60,92,1,4,0,3,89,11
7,Kharkiv Oblast,UA-63,18,35,17,1,29,34,25,34,1,6,100,0,0,0,0,99,0,0,1,0,95,1,4,0,0,100,0,0,0,0,99,1,0,0,0,97,0,0,0,3,79,0,20,0,1,99,0,0,0,1,99,0,1,0,0,100,0,0,0,0,99,1,0,0,0,94,0,0,0,6,100,0
8,Khersons'ka oblast,UA-65,16,37,13,0,34,36,37,27,0,0,95,5,0,0,0,100,0,0,0,0,71,0,0,0,29,100,0,0,0,0,100,0,0,0,0,100,0,0,0,0,90,0,5,5,0,100,0,0,0,0,61,0,0,0,39,95,0,0,0,5,100,0,0,0,0,100,0,0,0,0,94,6
9,Khmel'nyts'ka oblast,UA-68,20,36,12,2,30,29,25,26,20,0,95,0,4,1,0,91,3,2,4,0,91,5,4,0,0,48,0,51,1,0,95,5,0,0,0,88,3,0,1,8,90,6,0,1,3,88,1,1,8,2,95,0,5,0,0,41,0,58,1,0,91,6,0,2,1,84,5,1,1,9,94,6
